State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Maryland		24	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,444"
Massachusetts		25	1	1	8	0	0	0	0	0	0	0	0	8	100	0	0	0	0	6	75	0	0	0	0	"1,834"
Michigan		26	2	3	181	4	2.2	DS	1.1	12	6.6	9	5	148	81.8	0	0	6	3.3	40	22.1	DS	1.1	0	0	"3,626"
Minnesota		27	2	4	450	15	3.3	DS	0.4	17	3.8	365	81.1	36	8	10	2.2	5	1.1	89	19.8	5	1.1	5	1.1	"2,077"
Mississippi		28	3	6	62	0	0	0	0	0	0	42	67.7	20	32.3	0	0	0	0	14	22.6	0	0	0	0	973
Missouri		29	2	4	20	0	0	0	0	0	0	8	40	12	60	0	0	0	0	DS	10	DS	10	0	0	"2,312"
Montana		30	4	8	4	0	0	0	0	0	0	0	0	DS	50	DS	50	0	0	DS	50	0	0	0	0	781
Nebraska		31	2	4	4	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	4	100	0	0	0	0	"1,073"
Nevada		32	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649
New Hampshire		33	1	1	4	0	0	0	0	0	0	0	0	4	100	0	0	0	0	DS	50	DS	50	0	0	478
New Jersey		34	1	2	23	0	0	0	0	4	17.4	14	60.9	5	21.7	0	0	0	0	17	73.9	0	0	0	0	"2,538"
New Mexico		35	4	8	6	0	0	0	0	DS	33.3	DS	33.3	0	0	0	0	DS	33.3	6	100	0	0	DS	33.3	853
New York		36	1	2	13	0	0	DS	15.4	0	0	7	53.8	4	30.8	0	0	0	0	11	84.6	0	0	0	0	"4,864"
North Carolina		37	3	5	8	0	0	0	0	0	0	6	75	DS	25	0	0	0	0	4	50	0	0	0	0	"2,535"
North Dakota		38	2	4	4	0	0	0	0	0	0	0	0	4	100	0	0	0	0	DS	50	0	0	0	0	468
Ohio		39	2	3	117	0	0	0	0	0	0	33	28.2	84	71.8	0	0	0	0	28	23.9	DS	1.7	0	0	"3,702"
Oklahoma		40	3	7	55	8	14.5	DS	3.6	DS	3.6	20	36.4	21	38.2	0	0	DS	3.6	23	41.8	DS	3.6	DS	3.6	"1,774"
Oregon		41	9	4	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	DS	100	0	0	0	0	"1,312"
Pennsylvania		42	1	2	36	0	0	DS	5.6	0	0	23	63.9	11	30.6	0	0	0	0	12	33.3	0	0	DS	5.6	"3,220"
Rhode Island		44	1	1	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	DS	100	0	0	0	0	291
South Carolina		45	3	5	74	0	0	4	5.4	DS	2.7	56	75.7	10	13.5	DS	2.7	0	0	8	10.8	0	0	DS	2.7	"1,219"
South Dakota		46	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668
Tennessee		47	3	6	30	0	0	0	0	DS	6.7	9	30	19	63.3	0	0	0	0	21	70	0	0	DS	6.7	"1,802"
Texas		48	3	7	210	4	1.9	0	0	104	49.5	75	35.7	23	11	0	0	4	1.9	24	11.4	DS	1	12	5.7	"8,472"
Utah		49	4	8	11	0	0	0	0	4	36.4	DS	18.2	5	45.5	0	0	0	0	9	81.8	0	0	0	0	981
Vermont		50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295
Virginia		51	3	5	10	0	0	0	0	0	0	4	40	6	60	0	0	0	0	6	60	DS	20	0	0	"1,984"
Washington		53	4	9	136	5	3.7	0	0	25	18.4	DS	1.5	100	73.5	0	0	4	2.9	16	11.8	0	0	DS	1.5	"2,256"
West Virginia		54	3	5	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	DS	100	0	0	0	0	733
Wisconsin		55	2	3	144	4	2.8	DS	1.4	4	2.8	4	2.8	128	88.9	0	0	DS	1.4	24	16.7	0	0	0	0	"2,242"
Wyoming		56	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349
