County,2000 Live Births,2000 Prenatal Care,Percentage,2006 Live Births,20006 Prenatal Care,Percentage,2000-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Henry,264,232,87.90%,221,196,88.70%,0.90%,19_044,19,2,4,,
Howard,110,85,77.30%,127,96,75.60%,-2.20%,19_045,19,2,4,,
Humboldt,99,88,88.90%,125,104,83.20%,-6.40%,19_046,19,2,4,,
Ida,70,64,91.40%,92,89,96.70%,5.80%,19_047,19,2,4,,
Iowa,183,166,90.70%,206,195,94.70%,4.40%,19_048,19,2,4,,
Jackson,239,216,90.40%,229,207,90.40%,0.00%,19_049,19,2,4,,
Jasper,458,410,89.50%,402,361,89.80%,0.30%,19_050,19,2,4,,
Jefferson,145,122,84.10%,142,115,81.00%,-3.70%,19_051,19,2,4,,
Johnson,"1,382","1,279",92.50%,"1,615","1,478",91.50%,-1.10%,19_052,19,2,4,,
Jones,227,201,88.50%,212,190,89.60%,1.20%,19_053,19,2,4,,
Keokuk,154,131,85.10%,139,129,92.80%,9.10%,19_054,19,2,4,,
Kossuth,166,147,88.60%,166,142,85.50%,-3.40%,19_055,19,2,4,,
Lee,410,350,85.40%,454,403,88.80%,4.00%,19_056,19,2,4,,
Linn,"2,715","2,386",87.90%,"2,869","2,548",88.80%,1.10%,19_057,19,2,4,,
Louisa,164,139,84.80%,147,131,89.10%,5.10%,19_058,19,2,4,,
Lucas,119,97,81.50%,125,99,79.20%,-2.80%,19_059,19,2,4,,
Lyon,159,141,88.70%,175,151,86.30%,-2.70%,19_119,19,2,4,,
Madison,196,185,94.40%,205,187,91.20%,-3.40%,19_121,19,2,4,,
Mahaska,283,252,89.00%,322,293,91.00%,2.20%,19_123,19,2,4,,
Marion,383,347,90.60%,422,378,89.60%,-1.10%,19_125,19,2,4,,
Marshall,556,455,81.80%,624,477,76.40%,-6.60%,19_127,19,2,4,,
Mills,155,136,87.70%,179,159,88.80%,1.20%,19_129,19,2,4,,
Mitchell,131,99,75.60%,119,73,61.30%,-18.80%,19_131,19,2,4,,
Monona,98,89,90.80%,120,110,91.70%,0.90%,19_133,19,2,4,,
Monroe,102,85,83.30%,96,84,87.50%,5.00%,19_135,19,2,4,,
Montgomery,139,127,91.40%,137,115,83.90%,-8.10%,19_137,19,2,4,,
Muscatine,638,564,88.40%,633,568,89.70%,1.50%,19_139,19,2,4,,
O'Brien,187,181,96.80%,170,143,84.10%,-13.10%,19_141,19,2,4,,
Osceola,73,67,91.80%,70,62,88.60%,-3.50%,19_143,19,2,4,,
Page,169,151,89.30%,177,150,84.70%,-5.20%,19_145,19,2,4,,
Palo Alto,110,104,94.50%,126,113,89.70%,-5.10%,19_147,19,2,4,,
Plymouth,309,282,91.30%,306,281,91.80%,0.60%,19_149,19,2,4,,
Pocahontas,73,66,90.40%,68,59,86.80%,-4.00%,19_151,19,2,4,,
Polk,"6,216","5,518",88.80%,"6,911","5,915",85.60%,-3.60%,19_153,19,2,4,,
Pottawattamie,"1,184",991,83.70%,"1,227","1,023",83.40%,-0.40%,19_155,19,2,4,,
Poweshiek,212,195,92.00%,187,175,93.60%,1.70%,19_157,19,2,4,,
Ringgold,69,59,85.50%,59,43,72.90%,-14.80%,19_159,19,2,4,,
Sac,135,120,88.90%,119,98,82.40%,-7.40%,19_161,19,2,4,,
Scott,"2,348","1,978",84.20%,"2,247","1,836",81.70%,-3.00%,19_163,19,2,4,,
Shelby,150,134,89.30%,121,110,90.90%,1.80%,19_165,19,2,4,,
Sioux,457,405,88.60%,522,445,85.20%,-3.80%,19_167,19,2,4,,
Story,940,854,90.90%,999,919,92.00%,1.30%,19_169,19,2,4,,
Tama,251,202,80.50%,226,193,85.40%,6.10%,19_171,19,2,4,,
Taylor,87,73,83.90%,79,67,84.80%,1.10%,19_173,19,2,4,,
Union,127,116,91.30%,170,148,87.10%,-4.70%,19_175,19,2,4,,
Van Buren,97,73,75.30%,89,63,70.80%,-5.90%,19_177,19,2,4,,
Wapello,424,336,79.20%,496,404,81.50%,2.80%,19_179,19,2,4,,
Warren,513,475,92.60%,515,469,91.10%,-1.60%,19_181,19,2,4,,
Washington,290,239,82.40%,316,263,83.20%,1.00%,19_183,19,2,4,,
Wayne,79,62,78.50%,88,69,78.40%,-0.10%,19_185,19,2,4,,
Webster,492,422,85.80%,485,391,80.60%,-6.00%,19_187,19,2,4,,
Winnebago,134,104,77.60%,142,105,73.90%,-4.70%,19_189,19,2,4,,
Winneshiek,191,170,89.00%,190,164,86.30%,-3.00%,19_191,19,2,4,,
Woodbury,"1,692","1,382",81.70%,"1,697","1,521",89.60%,9.70%,19_193,19,2,4,,
Worth,84,70,83.30%,86,59,68.60%,-17.70%,19_195,19,2,4,,
Wright,168,137,81.50%,176,123,69.90%,-14.30%,19_197,19,2,4,,
State,"38,250","33,314",87.10%,"40,592","34,889",86.00%,-1.30%,,19,2,4,,
Rural,"5,650","4,855",85.90%,"5,895","4,873",82.70%,-3.80%,,,,,,IA_Rural_Counties
Small Urban,"13,351","11,576",86.70%,"14,148","12,135",85.80%,-1.10%,,,,,,IA_Urban_Counties
Metropolitan,"19,249","16,883",87.70%,"20,549","17,881",87.00%,-0.80%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","3,374,182",83.20%,"4,115,590","3,452,980",83.90%,0.80%,,,,,US_National,
