State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
New York		36	1	2	162	DS	1.2	0	0	6	3.7	28	17.3	122	75.3	0	0	4	2.5	4	2.5	DS	1.2	"4,864"
North Carolina		37	3	5	48	0	0	0	0	0	0	32	66.7	14	29.2	0	0	DS	4.2	DS	4.2	0	0	"2,535"
North Dakota		38	2	4	40	4	10	0	0	DS	5	4	10	30	75	0	0	0	0	0	0	0	0	468
Ohio		39	2	3	488	DS	0.4	0	0	12	2.5	204	41.8	247	50.6	0	0	23	4.7	DS	0.4	DS	0.4	"3,702"
Oklahoma		40	3	7	212	28	13.2	DS	0.9	15	7.1	88	41.5	68	32.1	DS	0.9	9	4.2	DS	0.9	DS	0.9	"1,774"
Oregon		41	9	4	29	0	0	0	0	4	13.8	DS	6.9	19	65.5	0	0	4	13.8	0	0	DS	6.9	"1,312"
Pennsylvania		42	1	2	244	DS	0.8	DS	0.8	4	1.6	53	21.7	181	74.2	0	0	DS	0.8	DS	0.8	0	0	"3,220"
Rhode Island		44	1	1	DS	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	DS	100	0	0	291
South Carolina		45	3	5	36	0	0	0	0	0	0	20	55.6	16	44.4	0	0	0	0	0	0	0	0	"1,219"
South Dakota		46	2	4	46	4	8.7	0	0	DS	4.3	0	0	40	87	0	0	0	0	DS	4.3	DS	4.3	668
Tennessee		47	3	6	249	0	0	0	0	DS	0.8	105	42.2	134	53.8	0	0	8	3.2	26	10.4	0	0	"1,802"
Texas		48	3	7	"2,054"	4	0.2	17	0.8	724	35.2	408	19.9	822	40	DS	0.1	77	3.7	110	5.4	72	3.5	"8,472"
Utah		49	4	8	"1,479"	23	1.6	14	0.9	354	23.9	13	0.9	"1,022"	69.1	27	1.8	26	1.8	10	0.7	151	10.2	981
Vermont		50	1	1	32	0	0	0	0	DS	6.3	DS	6.3	28	87.5	0	0	0	0	12	37.5	DS	6.3	295
Virginia		51	3	5	102	DS	2	DS	2	DS	2	65	63.7	27	26.5	0	0	4	3.9	DS	2	DS	2	"1,984"
Washington		53	4	9	766	28	3.7	6	0.8	112	14.6	16	2.1	557	72.7	DS	0.3	45	5.9	12	1.6	4	0.5	"2,256"
West Virginia		54	3	5	80	0	0	0	0	0	0	4	5	74	92.5	0	0	DS	2.5	0	0	0	0	733
Wisconsin		55	2	3	621	6	1	6	1	32	5.2	58	9.3	487	78.4	0	0	32	5.2	DS	0.3	4	0.6	"2,242"
Wyoming		56	4	8	32	DS	6.3	DS	6.3	DS	6.3	0	0	26	81.3	0	0	0	0	DS	6.3	0	0	349
