Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
One or more out-of-school suspensions total	"57,230"	100	"1,425"	2.5	"55,805"	97.5	"1,591"	2.9	"1,408"	2.5	"13,102"	23.5	"5,906"	10.6	"29,360"	52.6	700	1.3	"3,738"	6.7	"4,721"	8.2	"2,256"	53	4	9
Expulsions with educational services on males	"1,056"	78.8	48	3.6	"1,008"	75.2	19	1.5	19	1.5	313	24.4	59	4.6	527	41	6	0.5	65	5.1	104	7.8	"2,256"	53	4	9
Expulsions with educational services on females	284	21.2	7	0.5	277	20.7	8	0.6	DS	0.2	76	5.9	18	1.4	152	11.8	4	0.3	17	1.3	18	1.3	"2,256"	53	4	9
Expulsions with educational services total	"1,340"	100	55	4.1	"1,285"	95.9	27	2.1	21	1.6	389	30.3	77	6	679	52.8	10	0.8	82	6.4	122	9.1	"2,256"	53	4	9
Expulsions without educational services on males	"1,825"	78.2	65	2.8	"1,760"	75.4	73	3.2	41	1.8	474	21	107	4.7	971	43	19	0.8	75	3.3	154	6.6	"2,256"	53	4	9
Expulsions without educational services on females	510	21.8	11	0.5	499	21.4	33	1.5	11	0.5	113	5	35	1.5	263	11.6	12	0.5	32	1.4	15	0.6	"2,256"	53	4	9
Expulsions without educational services total	"2,335"	100	76	3.3	"2,259"	96.7	106	4.7	52	2.3	587	26	142	6.3	"1,234"	54.6	31	1.4	107	4.7	169	7.2	"2,256"	53	4	9
Expulsions with or without educational services on males	"2,880"	78.2	114	3.1	"2,766"	75.1	91	2.6	59	1.7	788	22.2	166	4.7	"1,494"	42.1	27	0.8	141	4	258	7	"2,256"	53	4	9
Expulsions with or without educational services on females	803	21.8	18	0.5	785	21.3	42	1.2	12	0.3	191	5.4	55	1.5	420	11.8	15	0.4	50	1.4	32	0.9	"2,256"	53	4	9
Expulsions with or without educational services total	"3,683"	100	132	3.6	"3,551"	96.4	133	3.7	71	2	979	27.6	221	6.2	"1,914"	53.9	42	1.2	191	5.4	290	7.9	"2,256"	53	4	9
Expulsions under zero-tolerance policies on males	"1,325"	76.8	40	2.3	"1,285"	74.4	39	2.3	14	0.8	360	21.5	79	4.7	705	42.1	9	0.5	79	4.7	93	5.4	"2,256"	53	4	9
Expulsions under zero-tolerance policies on females	401	23.2	10	0.6	391	22.7	16	1	6	0.4	89	5.3	23	1.4	226	13.5	4	0.2	27	1.6	14	0.8	"2,256"	53	4	9
Expulsions under zero-tolerance policies total	"1,726"	100	50	2.9	"1,676"	97.1	55	3.3	20	1.2	449	26.8	102	6.1	931	55.5	13	0.8	106	6.3	107	6.2	"2,256"	53	4	9
Referral to law enforcement on males	"2,356"	77.6	41	1.4	"2,315"	76.2	55	1.8	32	1.1	627	21	115	3.8	"1,367"	45.7	12	0.4	107	3.6	105	3.5	"2,256"	53	4	9
Referral to law enforcement on females	681	22.4	8	0.3	673	22.2	24	0.8	4	0.1	219	7.3	36	1.2	358	12	6	0.2	26	0.9	30	1	"2,256"	53	4	9
Referral to law enforcement total	"3,037"	100	49	1.6	"2,988"	98.4	79	2.6	36	1.2	846	28.3	151	5.1	"1,725"	57.7	18	0.6	133	4.5	135	4.4	"2,256"	53	4	9
School-related arrests on males	641	77.9	15	1.8	626	76.1	11	1.4	6	0.7	183	22.7	19	2.4	378	46.9	4	0.5	25	3.1	22	2.7	"2,256"	53	4	9
School-related arrests on females	182	22.1	DS	0.2	180	21.9	6	0.7	DS	0.2	56	6.9	DS	0.2	106	13.2	DS	0.2	6	0.7	6	0.7	"2,256"	53	4	9
School-related arrests total	823	100	17	2.1	806	97.9	17	2.1	8	1	239	29.7	21	2.6	484	60	6	0.7	31	3.8	28	3.4	"2,256"	53	4	9
