County,2000 Live Births,2000 Infant Deaths,2000 Rate,2008 Live Births,2008 Infant Deaths,2008 Rate,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Lucas,119,3,25.2,106,C,N/A,N/A,19_059,19,2,4,,
Lyon,159,1,6.3,170,0,0,-100.00%,19_119,19,2,4,,
Madison,196,2,10.2,218,C,N/A,N/A,19_121,19,2,4,,
Mahaska,283,9,31.8,280,C,N/A,N/A,19_123,19,2,4,,
Marion,383,1,2.6,401,4,10,282.00%,19_125,19,2,4,,
Marshall,556,3,5.4,626,C,N/A,N/A,19_127,19,2,4,,
Mills,155,0,0,182,C,N/A,N/A,19_129,19,2,4,,
Mitchell,131,1,7.6,129,0,0,-100.00%,19_131,19,2,4,,
Monona,98,0,0,96,0,0,0.00%,19_133,19,2,4,,
Monroe,102,1,9.8,101,C,N/A,N/A,19_135,19,2,4,,
Montgomery,139,1,7.2,121,0,0,-100.00%,19_137,19,2,4,,
Muscatine,638,1,1.6,644,C,N/A,N/A,19_139,19,2,4,,
O'Brien,187,1,5.3,173,0,0,-100.00%,19_141,19,2,4,,
Osceola,73,0,0,76,0,0,0.00%,19_143,19,2,4,,
Page,169,0,0,170,0,0,0.00%,19_145,19,2,4,,
Palo Alto,110,1,9.1,121,0,0,-100.00%,19_147,19,2,4,,
Plymouth,309,7,22.7,318,C,N/A,N/A,19_149,19,2,4,,
Pocahontas,73,0,0,88,0,0,0.00%,19_151,19,2,4,,
Polk,"6,216",46,7.4,"6,723",44,6.5,-11.60%,19_153,19,2,4,,
Pottawattamie,"1,184",8,6.8,"1,243",5,4,-40.50%,19_155,19,2,4,,
Poweshiek,212,0,0,184,0,0,0.00%,19_157,19,2,4,,
Ringgold,69,0,0,63,0,0,0.00%,19_159,19,2,4,,
Sac,135,0,0,105,0,0,0.00%,19_161,19,2,4,,
Scott,"2,348",20,8.5,"2,229",15,6.7,-21.00%,19_163,19,2,4,,
Shelby,150,2,13.3,117,0,0,-100.00%,19_165,19,2,4,,
Sioux,457,1,2.2,526,C,N/A,N/A,19_167,19,2,4,,
Story,940,6,6.4,"1,002",7,7,9.40%,19_169,19,2,4,,
Tama,251,1,4,234,0,0,-100.00%,19_171,19,2,4,,
Taylor,87,0,0,75,C,N/A,N/A,19_173,19,2,4,,
Union,127,2,15.7,162,0,0,-100.00%,19_175,19,2,4,,
Van Buren,97,0,0,91,0,0,0.00%,19_177,19,2,4,,
Wapello,424,2,4.7,475,C,N/A,N/A,19_179,19,2,4,,
Warren,513,3,5.8,544,6,11,88.60%,19_181,19,2,4,,
Washington,290,0,0,295,0,0,0.00%,19_183,19,2,4,,
Wayne,79,1,12.7,80,C,N/A,N/A,19_185,19,2,4,,
Webster,492,2,4.1,491,C,N/A,N/A,19_187,19,2,4,,
Winnebago,134,0,0,137,C,N/A,N/A,19_189,19,2,4,,
Winneshiek,191,1,5.2,193,0,0,-100.00%,19_191,19,2,4,,
Woodbury,"1,692",9,5.3,"1,672",12,7.2,34.90%,19_193,19,2,4,,
Worth,84,2,23.8,91,C,N/A,N/A,19_195,19,2,4,,
Wright,168,1,6,173,0,0,-100.00%,19_197,19,2,4,,
State,"38,250",241,6.3,"40,221",226,5.6,-10.80%,,19,2,4,,
Rural,"5,650",31,5.5,"5,794",27,4.7,-15.10%,,,,,,IA_Rural_Counties
Small Urban,"13,351",82,6.1,"13,994",64,4.6,-25.50%,,,,,,IA_Urban_Counties
Metropolitan,"19,249",128,6.6,"20,433",135,6.6,-0.60%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","27,983",6.9,"4,317,119","29,241",6.8,-1.80%,,,,,US_National,
