Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under  IDEA	Percent of Students With Disabilities Served Under  IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	447	20.3	DS	0.1	445	20.2	DS	0.1	0	0	82	3.8	147	6.7	201	9.2	DS	0.1	11	0.5	7	0.3	"1,458"	19	2	4
More than one out-of-school suspension total	"2,203"	100	19	0.9	"2,184"	99.1	16	0.7	8	0.4	227	10.4	629	28.8	"1,199"	54.9	4	0.2	101	4.6	60	2.7	"1,458"	19	2	4
One or more out-of-school suspensions on males	"3,884"	76.9	44	0.9	"3,840"	76	33	0.7	26	0.5	367	7.3	905	18.1	"2,310"	46.2	8	0.2	191	3.8	144	2.9	"1,458"	19	2	4
One or more out-of-school suspensions on females	"1,167"	23.1	6	0.1	"1,161"	23	12	0.2	DS	0	212	4.2	357	7.1	533	10.7	DS	0	43	0.9	44	0.9	"1,458"	19	2	4
One or more out-of-school suspensions total	"5,051"	100	50	1	"5,001"	99	45	0.9	28	0.6	579	11.6	"1,262"	25.2	"2,843"	56.8	10	0.2	234	4.7	188	3.7	"1,458"	19	2	4
Expulsions with educational services on males	33	94.3	0	0	33	94.3	0	0	0	0	7	20	DS	5.7	24	68.6	0	0	0	0	DS	5.7	"1,458"	19	2	4
Expulsions with educational services on females	DS	5.7	0	0	DS	5.7	0	0	0	0	0	0	0	0	DS	5.7	0	0	0	0	0	0	"1,458"	19	2	4
Expulsions with educational services total	35	100	0	0	35	100	0	0	0	0	7	20	DS	5.7	26	74.3	0	0	0	0	DS	5.7	"1,458"	19	2	4
Expulsions without educational services on males	13	100	0	0	13	100	0	0	DS	15.4	0	0	DS	15.4	7	53.8	0	0	DS	15.4	0	0	"1,458"	19	2	4
Expulsions without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,458"	19	2	4
Expulsions without educational services total	13	100	0	0	13	100	0	0	DS	15.4	0	0	DS	15.4	7	53.8	0	0	DS	15.4	0	0	"1,458"	19	2	4
Expulsions with or without educational services on males	45	95.7	0	0	45	95.7	0	0	DS	4.3	6	12.8	4	8.5	31	66	0	0	DS	4.3	DS	4.3	"1,458"	19	2	4
Expulsions with or without educational services on females	DS	4.3	0	0	DS	4.3	0	0	0	0	0	0	0	0	DS	4.3	0	0	0	0	0	0	"1,458"	19	2	4
Expulsions with or without educational services total	47	100	0	0	47	100	0	0	DS	4.3	6	12.8	4	8.5	33	70.2	0	0	DS	4.3	DS	4.3	"1,458"	19	2	4
Expulsions under zero-tolerance policies on males	6	60	0	0	6	60	0	0	DS	20	DS	20	0	0	DS	20	0	0	0	0	0	0	"1,458"	19	2	4
Expulsions under zero-tolerance policies on females	4	40	0	0	4	40	0	0	0	0	0	0	DS	20	DS	20	0	0	0	0	0	0	"1,458"	19	2	4
Expulsions under zero-tolerance policies total	10	100	0	0	10	100	0	0	DS	20	DS	20	DS	20	4	40	0	0	0	0	0	0	"1,458"	19	2	4
Referral to law enforcement on males	538	78.5	8	1.2	530	77.4	DS	0.3	DS	0.3	52	7.7	128	19	324	48	0	0	22	3.3	11	1.6	"1,458"	19	2	4
Referral to law enforcement on females	147	21.5	DS	0.3	145	21.2	0	0	0	0	10	1.5	42	6.2	86	12.7	DS	0.3	5	0.7	6	0.9	"1,458"	19	2	4
Referral to law enforcement total	685	100	10	1.5	675	98.5	DS	0.3	DS	0.3	62	9.2	170	25.2	410	60.7	DS	0.3	27	4	17	2.5	"1,458"	19	2	4
School-related arrests on males	206	77.2	6	2.2	200	74.9	DS	0.8	0	0	19	7.3	61	23.6	116	44.8	0	0	DS	0.8	6	2.2	"1,458"	19	2	4
School-related arrests on females	61	22.8	DS	0.7	59	22.1	0	0	0	0	7	2.7	15	5.8	35	13.5	0	0	DS	0.8	DS	0.7	"1,458"	19	2	4
School-related arrests total	267	100	8	3	259	97	DS	0.8	0	0	26	10	76	29.3	151	58.3	0	0	4	1.5	8	3	"1,458"	19	2	4
