County,2003 4th Gr. Reading Proficiency,2006 4th Gr. Reading Proficiency,4th Gr. 2003-2006 Change,2003 8th Gr. Reading Proficiency,2006 8th Gr. Reading Proficiency,8th Gr. 2003-2006 Change,2003 11th Gr. Reading Proficiency,2006 11th Gr. Reading Proficiency,11th Gr. 2003-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Chickasaw,77.30%,84.20%,8.90%,76.80%,73.10%,-4.80%,75.00%,83.70%,11.60%,19_019,19,2,4,,
Clarke,74.20%,80.90%,9.00%,57.90%,71.80%,24.00%,70.90%,67.20%,-5.20%,19_020,19,2,4,,
Clay,77.30%,84.40%,9.20%,72.90%,71.90%,-1.40%,81.70%,75.10%,-8.10%,19_021,19,2,4,,
Clayton,71.40%,78.60%,10.10%,65.80%,67.50%,2.60%,78.20%,77.80%,-0.50%,19_022,19,2,4,,
Clinton,77.50%,80.00%,3.20%,69.20%,72.30%,4.50%,74.40%,78.50%,5.50%,19_023,19,2,4,,
Crawford,83.10%,75.50%,-9.10%,63.10%,68.00%,7.80%,76.90%,75.10%,-2.30%,19_024,19,2,4,,
Dallas,79.80%,87.20%,9.30%,77.90%,81.00%,4.00%,81.20%,83.40%,2.70%,19_025,19,2,4,,
Davis,72.70%,77.20%,6.20%,66.50%,83.00%,24.80%,57.40%,72.70%,26.70%,19_026,19,2,4,,
Decatur,69.50%,73.00%,5.00%,67.90%,64.60%,-4.90%,75.80%,75.30%,-0.70%,19_027,19,2,4,,
Delaware,81.40%,82.80%,1.70%,76.90%,76.10%,-1.00%,79.40%,79.40%,0.00%,19_028,19,2,4,,
Des Moines,71.00%,78.30%,10.30%,65.50%,68.60%,4.70%,74.00%,75.40%,1.90%,19_029,19,2,4,,
Dickinson,85.00%,83.50%,-1.80%,75.80%,80.10%,5.70%,78.30%,82.30%,5.10%,19_030,19,2,4,,
Dubuque,69.30%,77.00%,11.10%,65.80%,70.70%,7.40%,75.70%,76.20%,0.70%,19_031,19,2,4,,
Emmet,77.20%,75.40%,-2.30%,68.40%,70.20%,2.60%,69.90%,69.20%,-1.00%,19_032,19,2,4,,
Fayette,73.80%,81.80%,10.80%,68.80%,71.00%,3.20%,72.60%,78.90%,8.70%,19_033,19,2,4,,
Floyd,76.60%,80.60%,5.20%,69.10%,74.00%,7.10%,74.00%,77.10%,4.20%,19_034,19,2,4,,
Franklin,69.60%,79.50%,14.20%,64.00%,71.00%,10.90%,77.00%,68.10%,-11.60%,19_035,19,2,4,,
Fremont,71.20%,76.70%,7.70%,67.00%,65.20%,-2.70%,79.20%,69.80%,-11.90%,19_036,19,2,4,,
Greene,76.00%,80.60%,6.10%,73.00%,72.80%,-0.30%,76.60%,74.50%,-2.70%,19_037,19,2,4,,
Grundy,84.90%,80.00%,-5.80%,73.20%,78.20%,6.80%,80.40%,77.90%,-3.10%,19_038,19,2,4,,
Guthrie,81.70%,80.10%,-2.00%,66.20%,80.20%,21.10%,77.80%,75.50%,-3.00%,19_039,19,2,4,,
Hamilton,82.20%,84.30%,2.60%,69.10%,73.60%,6.50%,72.50%,79.20%,9.20%,19_040,19,2,4,,
Hancock,78.30%,73.60%,-6.00%,72.80%,76.10%,4.50%,82.20%,76.60%,-6.80%,19_041,19,2,4,,
Hardin,74.50%,76.40%,2.60%,70.30%,71.20%,1.30%,73.30%,77.50%,5.70%,19_042,19,2,4,,
Harrison,74.20%,74.90%,0.90%,62.70%,76.30%,21.70%,78.90%,75.10%,-4.80%,19_043,19,2,4,,
Henry,77.10%,78.20%,1.40%,70.40%,65.40%,-7.10%,74.60%,73.50%,-1.50%,19_044,19,2,4,,
Howard,77.90%,78.00%,0.10%,70.30%,67.90%,-3.40%,70.10%,77.90%,11.10%,19_045,19,2,4,,
Humboldt,83.70%,82.10%,-1.90%,78.00%,73.70%,-5.50%,79.20%,80.60%,1.80%,19_046,19,2,4,,
Ida,79.70%,85.80%,7.70%,73.10%,79.90%,9.30%,78.60%,78.40%,-0.30%,19_047,19,2,4,,
Iowa,75.20%,83.30%,10.80%,63.90%,66.40%,3.90%,77.10%,80.80%,4.80%,19_048,19,2,4,,
Jackson,78.00%,85.50%,9.60%,67.80%,70.90%,4.60%,69.50%,72.10%,3.70%,19_049,19,2,4,,
Jasper,77.30%,78.50%,1.60%,68.90%,67.60%,-1.90%,77.50%,76.90%,-0.80%,19_050,19,2,4,,
Jefferson,83.00%,84.70%,2.00%,73.40%,73.20%,-0.30%,83.60%,78.80%,-5.70%,19_051,19,2,4,,
Johnson,80.10%,79.80%,-0.40%,75.80%,74.90%,-1.20%,86.70%,83.60%,-3.60%,19_052,19,2,4,,
Jones,78.70%,79.60%,1.10%,71.90%,71.00%,-1.30%,70.90%,79.20%,11.70%,19_053,19,2,4,,
Keokuk,74.30%,81.80%,10.10%,65.10%,69.00%,6.00%,61.10%,65.50%,7.20%,19_054,19,2,4,,
Kossuth,81.30%,83.30%,2.50%,74.10%,82.60%,11.50%,78.30%,82.80%,5.70%,19_055,19,2,4,,
Lee,69.40%,80.30%,15.70%,63.00%,69.00%,9.50%,74.90%,71.40%,-4.70%,19_056,19,2,4,,
Linn,75.40%,78.90%,4.60%,73.70%,74.80%,1.50%,81.50%,82.20%,0.90%,19_057,19,2,4,,
Louisa,71.50%,67.60%,-5.50%,57.90%,56.00%,-3.30%,66.20%,72.00%,8.80%,19_058,19,2,4,,
Lucas,73.70%,76.30%,3.50%,54.50%,65.90%,20.90%,68.40%,75.80%,10.80%,19_059,19,2,4,,
Lyon,88.80%,82.30%,-7.30%,76.20%,80.60%,5.80%,84.00%,80.10%,-4.60%,19_119,19,2,4,,
Madison,77.80%,78.90%,1.40%,73.00%,77.90%,6.70%,75.90%,74.30%,-2.10%,19_121,19,2,4,,
Mahaska,79.80%,78.30%,-1.90%,67.20%,71.70%,6.70%,72.80%,77.00%,5.80%,19_123,19,2,4,,
Marion,77.80%,85.00%,9.30%,68.50%,71.20%,3.90%,77.80%,77.90%,0.10%,19_125,19,2,4,,
Marshall,69.80%,70.70%,1.30%,64.00%,61.30%,-4.20%,72.90%,70.40%,-3.40%,19_127,19,2,4,,
Mills,72.10%,84.10%,16.60%,71.40%,70.10%,-1.80%,79.60%,78.20%,-1.80%,19_129,19,2,4,,
Mitchell,80.20%,86.70%,8.10%,78.70%,73.30%,-6.90%,82.00%,80.60%,-1.70%,19_131,19,2,4,,
Monona,79.70%,81.40%,2.10%,75.10%,68.20%,-9.20%,79.30%,76.30%,-3.80%,19_133,19,2,4,,
Monroe,69.20%,76.40%,10.40%,65.60%,64.40%,-1.80%,78.50%,77.20%,-1.70%,19_135,19,2,4,,
Montgomery,73.00%,75.90%,4.00%,68.50%,69.80%,1.90%,80.20%,76.00%,-5.20%,19_137,19,2,4,,
Muscatine,75.20%,85.10%,13.20%,70.60%,74.90%,6.10%,68.30%,78.70%,15.20%,19_139,19,2,4,,
O'Brien,83.70%,81.90%,-2.20%,76.90%,72.40%,-5.90%,82.00%,83.30%,1.60%,19_141,19,2,4,,
Osceola,80.40%,88.10%,9.60%,72.00%,88.30%,22.60%,80.10%,75.50%,-5.70%,19_143,19,2,4,,
Page,74.80%,73.90%,-1.20%,63.00%,71.00%,12.70%,79.50%,80.20%,0.90%,19_145,19,2,4,,
Palo Alto,78.80%,83.90%,6.50%,67.60%,69.20%,2.40%,79.80%,78.20%,-2.00%,19_147,19,2,4,,
Plymouth,78.60%,82.60%,5.10%,72.20%,76.70%,6.20%,80.60%,77.50%,-3.80%,19_149,19,2,4,,
Pocahontas,78.90%,80.90%,2.50%,75.20%,70.90%,-5.70%,77.10%,75.60%,-1.90%,19_151,19,2,4,,
Polk,75.40%,76.80%,1.90%,68.00%,70.50%,3.70%,78.70%,76.00%,-3.40%,19_153,19,2,4,,
Pottawattamie,66.80%,70.90%,6.10%,64.10%,65.90%,2.80%,75.80%,72.70%,-4.10%,19_155,19,2,4,,
Poweshiek,80.50%,82.80%,2.90%,70.70%,73.30%,3.70%,78.60%,83.00%,5.60%,19_157,19,2,4,,
Ringgold,83.50%,85.00%,1.80%,68.00%,73.10%,7.50%,75.20%,81.00%,7.70%,19_159,19,2,4,,
Sac,84.40%,72.50%,-14.10%,74.00%,77.50%,4.70%,77.80%,77.70%,-0.10%,19_161,19,2,4,,
Scott,70.30%,77.20%,9.80%,64.50%,67.00%,3.90%,74.80%,72.50%,-3.10%,19_163,19,2,4,,
Shelby,82.70%,83.20%,0.60%,77.90%,83.40%,7.10%,83.30%,81.90%,-1.70%,19_165,19,2,4,,
Sioux,85.60%,87.70%,2.50%,76.20%,75.10%,-1.40%,79.20%,81.50%,2.90%,19_167,19,2,4,,
Story,84.10%,86.70%,3.10%,77.80%,80.50%,3.50%,82.20%,84.20%,2.40%,19_169,19,2,4,,
Tama,72.00%,73.60%,2.20%,68.00%,73.90%,8.70%,75.00%,78.00%,4.00%,19_171,19,2,4,,
Taylor,79.50%,75.40%,-5.20%,62.40%,68.30%,9.50%,71.90%,75.70%,5.30%,19_173,19,2,4,,
Union,75.30%,76.70%,1.90%,73.20%,69.80%,-4.60%,77.40%,79.80%,3.10%,19_175,19,2,4,,
Van Buren,76.60%,79.20%,3.40%,62.60%,64.40%,2.90%,80.10%,68.00%,-15.10%,19_177,19,2,4,,
Wapello,68.70%,72.40%,5.40%,60.10%,69.30%,15.30%,63.70%,68.80%,8.00%,19_179,19,2,4,,
Warren,80.30%,83.60%,4.10%,73.80%,73.70%,-0.10%,79.50%,82.30%,3.50%,19_181,19,2,4,,
Washington,73.10%,71.40%,-2.30%,71.60%,67.90%,-5.20%,77.90%,80.70%,3.60%,19_183,19,2,4,,
Wayne,80.80%,73.10%,-9.50%,68.00%,72.00%,5.90%,70.30%,71.10%,1.10%,19_185,19,2,4,,
Webster,71.90%,72.00%,0.10%,66.90%,67.70%,1.20%,67.40%,73.70%,9.30%,19_187,19,2,4,,
Winnebago,84.90%,84.80%,-0.10%,69.90%,73.60%,5.30%,79.10%,74.70%,-5.60%,19_189,19,2,4,,
Winneshiek,79.80%,81.90%,2.60%,79.40%,78.80%,-0.80%,77.80%,84.30%,8.40%,19_191,19,2,4,,
Woodbury,70.40%,71.90%,2.10%,60.70%,64.50%,6.30%,72.30%,68.20%,-5.70%,19_193,19,2,4,,
Worth,66.30%,79.60%,20.10%,64.20%,67.30%,4.80%,78.40%,77.80%,-0.80%,19_195,19,2,4,,
Wright,79.50%,78.30%,-1.50%,71.60%,71.50%,-0.10%,73.60%,73.80%,0.30%,19_197,19,2,4,,
State,75.90%,78.40%,3.30%,69.30%,71.30%,2.90%,77.00%,77.00%,0.00%,,19,2,4,,
Rural,77.70%,79.70%,2.50%,69.70%,72.60%,4.20%,75.70%,76.40%,0.90%,,,,,,IA_Rural_Counties
Small Urban,76.90%,80.00%,4.00%,69.90%,72.20%,3.20%,75.80%,77.70%,2.60%,,,,,,IA_Urban_Counties
Metropolitan,73.50%,76.70%,4.40%,67.90%,70.20%,3.40%,77.80%,76.80%,-1.30%,,,,,,IA_Metropolitan_Counties
United States*,60.00%,60.00%,0.00%,60.00%,60.00%,0.00%,60.00%,60.00%,0.00%,,,,,US_National,
