,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retention of students,Wyoming,2,Female,16 ,31.4 ,0 ,0.0 ,0 ,0.0 ,1-3 ,3.9 ,0 ,0.0 ,12 ,23.5 ,1-3 ,3.9 ,0 ,0.0 ,1-3 ,3.9 ,1-3 ,3.9 ,1-3 ,3.9 ,193 ,100.0 
Retention of students,Wyoming,,Total,51 ,100.0 ,1-3 ,3.9 ,1-3 ,3.9 ,7 ,13.7 ,0 ,0.0 ,38 ,74.5 ,1-3 ,3.9 ,0 ,0.0 ,7 ,13.7 ,1-3 ,3.9 ,4 ,7.8 ,193 ,100.0 
Retention of students,Wyoming,,Male,14 ,50.0 ,1-3 ,7.1 ,0 ,0.0 ,1-3 ,7.1 ,0 ,0.0 ,10 ,35.7 ,0 ,0.0 ,0 ,0.0 ,1-3 ,7.1 ,1-3 ,7.1 ,1-3 ,7.1 ,190 ,100.0 
Retention of students,Wyoming,3,Female,14 ,50.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,7.1 ,1-3 ,7.1 ,10 ,35.7 ,0 ,0.0 ,0 ,0.0 ,1-3 ,7.1 ,0 ,0.0 ,1-3 ,7.1 ,190 ,100.0 
Retention of students,Wyoming,,Total,28 ,100.0 ,1-3 ,7.1 ,0 ,0.0 ,4 ,14.3 ,1-3 ,7.1 ,20 ,71.4 ,0 ,0.0 ,0 ,0.0 ,4 ,14.3 ,1-3 ,7.1 ,4 ,14.3 ,190 ,100.0 
Retention of students,Wyoming,,Male,19 ,70.4 ,0 ,0.0 ,0 ,0.0 ,1-3 ,7.4 ,1-3 ,7.4 ,15 ,55.6 ,0 ,0.0 ,0 ,0.0 ,6 ,22.2 ,0 ,0.0 ,1-3 ,7.4 ,189 ,100.0 
Retention of students,Wyoming,4,Female,8 ,29.6 ,0 ,0.0 ,0 ,0.0 ,1-3 ,7.4 ,0 ,0.0 ,6 ,22.2 ,0 ,0.0 ,0 ,0.0 ,1-3 ,7.4 ,0 ,0.0 ,0 ,0.0 ,189 ,100.0 
Retention of students,Wyoming,,Total,27 ,100.0 ,0 ,0.0 ,0 ,0.0 ,4 ,14.8 ,1-3 ,7.4 ,21 ,77.8 ,0 ,0.0 ,0 ,0.0 ,8 ,29.6 ,0 ,0.0 ,1-3 ,7.4 ,189 ,100.0 
Retention of students,Wyoming,,Male,12 ,38.7 ,0 ,0.0 ,0 ,0.0 ,1-3 ,6.5 ,0 ,0.0 ,10 ,32.3 ,0 ,0.0 ,0 ,0.0 ,5 ,16.1 ,0 ,0.0 ,1-3 ,6.5 ,180 ,100.0 
Retention of students,Wyoming,5,Female,19 ,61.3 ,0 ,0.0 ,0 ,0.0 ,1-3 ,6.5 ,0 ,0.0 ,15 ,48.4 ,0 ,0.0 ,1-3 ,6.5 ,7 ,22.6 ,0 ,0.0 ,1-3 ,6.5 ,180 ,100.0 
Retention of students,Wyoming,,Total,31 ,100.0 ,0 ,0.0 ,0 ,0.0 ,4 ,12.9 ,0 ,0.0 ,25 ,80.6 ,0 ,0.0 ,1-3 ,6.5 ,12 ,38.7 ,0 ,0.0 ,4 ,12.9 ,180 ,100.0 
Retention of students,Wyoming,,Male,17 ,65.4 ,0 ,0.0 ,0 ,0.0 ,1-3 ,7.7 ,0 ,0.0 ,15 ,57.7 ,0 ,0.0 ,0 ,0.0 ,4 ,15.4 ,0 ,0.0 ,1-3 ,7.7 ,139 ,100.0 
Retention of students,Wyoming,6,Female,9 ,34.6 ,1-3 ,7.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,7 ,26.9 ,0 ,0.0 ,0 ,0.0 ,1-3 ,7.7 ,0 ,0.0 ,0 ,0.0 ,139 ,100.0 
Retention of students,Wyoming,,Total,26 ,100.0 ,1-3 ,7.7 ,0 ,0.0 ,1-3 ,7.7 ,0 ,0.0 ,22 ,84.6 ,0 ,0.0 ,0 ,0.0 ,6 ,23.1 ,0 ,0.0 ,1-3 ,7.7 ,139 ,100.0 
Retention of students,Wyoming,,Male,15 ,71.4 ,0 ,0.0 ,0 ,0.0 ,6 ,28.6 ,0 ,0.0 ,9 ,42.9 ,0 ,0.0 ,0 ,0.0 ,1-3 ,9.5 ,0 ,0.0 ,1-3 ,9.5 ,97 ,100.0 
Retention of students,Wyoming,7,Female,6 ,28.6 ,0 ,0.0 ,0 ,0.0 ,1-3 ,9.5 ,0 ,0.0 ,4 ,19.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,9.5 ,0 ,0.0 ,1-3 ,9.5 ,97 ,100.0 
Retention of students,Wyoming,,Total,21 ,100.0 ,0 ,0.0 ,0 ,0.0 ,8 ,38.1 ,0 ,0.0 ,13 ,61.9 ,0 ,0.0 ,0 ,0.0 ,4 ,19.0 ,0 ,0.0 ,4 ,19.0 ,97 ,100.0 
Retention of students,Wyoming,,Male,10 ,62.5 ,1-3 ,12.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,8 ,50.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,12.5 ,0 ,0.0 ,0 ,0.0 ,97 ,100.0 
Retention of students,Wyoming,8,Female,6 ,37.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,6 ,37.5 ,0 ,0.0 ,0 ,0.0 ,1-3 ,12.5 ,0 ,0.0 ,0 ,0.0 ,97 ,100.0 
Retention of students,Wyoming,,Total,16 ,100.0 ,1-3 ,12.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,14 ,87.5 ,0 ,0.0 ,0 ,0.0 ,4 ,25.0 ,0 ,0.0 ,0 ,0.0 ,97 ,100.0 
Retention of students,Wyoming,,Male,131 ,64.9 ,32 ,15.8 ,1-3 ,1.0 ,16 ,7.9 ,1-3 ,1.0 ,77 ,38.1 ,0 ,0.0 ,1-3 ,1.0 ,33 ,16.3 ,1-3 ,1.0 ,9 ,4.5 ,93 ,100.0 
Retention of students,Wyoming,9,Female,71 ,35.1 ,17 ,8.4 ,0 ,0.0 ,10 ,5.0 ,1-3 ,1.0 ,40 ,19.8 ,0 ,0.0 ,1-3 ,1.0 ,7 ,3.5 ,1-3 ,1.0 ,4 ,2.0 ,93 ,100.0 
Retention of students,Wyoming,,Total,202 ,100.0 ,49 ,24.3 ,1-3 ,1.0 ,26 ,12.9 ,4 ,2.0 ,117 ,57.9 ,0 ,0.0 ,4 ,2.0 ,40 ,19.8 ,4 ,2.0 ,13 ,6.4 ,93 ,100.0 
Retention of students,Wyoming,,Male,115 ,62.2 ,6 ,3.2 ,1-3 ,1.1 ,22 ,11.9 ,5 ,2.7 ,80 ,43.2 ,0 ,0.0 ,0 ,0.0 ,37 ,20.0 ,1-3 ,1.1 ,4 ,2.2 ,88 ,100.0 
Retention of students,Wyoming,10,Female,70 ,37.8 ,7 ,3.8 ,1-3 ,1.1 ,9 ,4.9 ,0 ,0.0 ,46 ,24.9 ,1-3 ,1.1 ,4 ,2.2 ,14 ,7.6 ,1-3 ,1.1 ,1-3 ,1.1 ,88 ,100.0 
Retention of students,Wyoming,,Total,185 ,100.0 ,13 ,7.0 ,4 ,2.2 ,31 ,16.8 ,5 ,2.7 ,126 ,68.1 ,1-3 ,1.1 ,4 ,2.2 ,51 ,27.6 ,4 ,2.2 ,6 ,3.2 ,88 ,100.0 
Retention of students,Wyoming,,Male,72 ,60.5 ,4 ,3.4 ,1-3 ,1.7 ,7 ,5.9 ,1-3 ,1.7 ,55 ,46.2 ,0 ,0.0 ,1-3 ,1.7 ,11 ,9.2 ,1-3 ,1.7 ,0 ,0.0 ,88 ,100.0 
Retention of students,Wyoming,11,Female,47 ,39.5 ,1-3 ,1.7 ,1-3 ,1.7 ,10 ,8.4 ,1-3 ,1.7 ,29 ,24.4 ,0 ,0.0 ,1-3 ,1.7 ,5 ,4.2 ,0 ,0.0 ,0 ,0.0 ,88 ,100.0 
Retention of students,Wyoming,,Total,119 ,100.0 ,6 ,5.0 ,4 ,3.4 ,17 ,14.3 ,4 ,3.4 ,84 ,70.6 ,0 ,0.0 ,4 ,3.4 ,16 ,13.4 ,1-3 ,1.7 ,0 ,0.0 ,88 ,100.0 
Retention of students,Wyoming,,Male,149 ,60.6 ,1-3 ,0.8 ,1-3 ,0.8 ,20 ,8.1 ,1-3 ,0.8 ,119 ,48.4 ,0 ,0.0 ,4 ,1.6 ,65 ,26.4 ,1-3 ,0.8 ,7 ,2.8 ,88 ,100.0 
Retention of students,Wyoming,12,Female,97 ,39.4 ,5 ,2.0 ,0 ,0.0 ,23 ,9.3 ,1-3 ,0.8 ,67 ,27.2 ,0 ,0.0 ,0 ,0.0 ,40 ,16.3 ,1-3 ,0.8 ,5 ,2.0 ,88 ,100.0 
Retention of students,Wyoming,,Total,246 ,100.0 ,7 ,2.8 ,1-3 ,0.8 ,43 ,17.5 ,4 ,1.6 ,186 ,75.6 ,0 ,0.0 ,4 ,1.6 ,105 ,42.7 ,4 ,1.6 ,12 ,4.9 ,88 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 290 public school students retained in kindergarten, 17 (5.9%) were American Indian or Alaska Native, 96 (33.1%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 1-3 (0.7%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,,,
