State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian Or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Michigan		26	2	3	"2,569"	31	1.2	17	0.7	99	3.9	438	17	"1,934"	75.3	DS	0.1	48	1.9	"1,845"	71.8	12	0.5	11	0.4	"3,626"
Minnesota		27	2	4	"2,679"	74	2.8	29	1.1	116	4.3	"1,252"	46.7	"1,130"	42.2	15	0.6	63	2.4	"1,842"	68.8	15	0.6	36	1.3	"2,077"
Mississippi		28	3	6	239	0	0	DS	0.8	DS	0.8	152	63.6	81	33.9	0	0	DS	0.8	87	36.4	0	0	DS	0.8	973
Missouri		29	2	4	"1,906"	4	0.2	6	0.3	39	2	321	16.8	"1,501"	78.8	6	0.3	29	1.5	"1,102"	57.8	12	0.6	6	0.3	"2,312"
Montana		30	4	8	152	18	11.8	0	0	6	3.9	8	5.3	112	73.7	0	0	8	5.3	89	58.6	0	0	DS	1.3	781
Nebraska		31	2	4	324	11	3.4	DS	0.6	23	7.1	35	10.8	228	70.4	DS	0.6	23	7.1	244	75.3	DS	0.6	DS	0.6	"1,073"
Nevada		32	4	8	638	6	0.9	16	2.5	127	19.9	187	29.3	253	39.7	8	1.3	41	6.4	608	95.3	DS	0.3	4	0.6	649
New Hampshire		33	1	1	524	0	0	4	0.8	17	3.2	18	3.4	481	91.8	0	0	4	0.8	443	84.5	6	1.1	6	1.1	478
New Jersey		34	1	2	"1,268"	DS	0.2	39	3.1	213	16.8	524	41.3	461	36.4	0	0	29	2.3	"1,095"	86.4	13	1	0	0	"2,538"
New Mexico		35	4	8	153	12	7.8	0	0	79	51.6	9	5.9	47	30.7	0	0	6	3.9	114	74.5	DS	1.3	21	13.7	853
New York		36	1	2	"2,370"	14	0.6	17	0.7	225	9.5	699	29.5	"1,367"	57.7	DS	0.1	46	1.9	"2,106"	88.9	11	0.5	11	0.5	"4,864"
North Carolina		37	3	5	505	4	0.8	4	0.8	16	3.2	188	37.2	269	53.3	0	0	24	4.8	410	81.2	6	1.2	6	1.2	"2,535"
North Dakota		38	2	4	104	8	7.7	0	0	DS	1.9	6	5.8	86	82.7	0	0	DS	1.9	81	77.9	DS	1.9	0	0	468
Ohio		39	2	3	"1,381"	0	0	6	0.4	30	2.2	346	25.1	885	64.1	0	0	114	8.3	"1,098"	79.5	9	0.7	6	0.4	"3,702"
Oklahoma		40	3	7	639	58	9.1	6	0.9	59	9.2	217	34	273	42.7	DS	0.3	24	3.8	315	49.3	4	0.6	26	4.1	"1,774"
Oregon		41	9	4	739	17	2.3	10	1.4	98	13.3	42	5.7	538	72.8	0	0	34	4.6	654	88.5	DS	0.3	22	3	"1,312"
Pennsylvania		42	1	2	"1,554"	DS	0.1	8	0.5	100	6.4	433	27.9	966	62.2	DS	0.1	43	2.8	"1,132"	72.8	7	0.5	8	0.5	"3,220"
Rhode Island		44	1	1	438	7	1.6	4	0.9	89	20.3	84	19.2	244	55.7	4	0.9	6	1.4	338	77.2	4	0.9	6	1.4	291
South Carolina		45	3	5	717	0	0	4	0.6	14	2	382	53.3	295	41.1	0	0	22	3.1	440	61.4	DS	0.3	6	0.8	"1,219"
South Dakota		46	2	4	272	72	26.5	4	1.5	9	3.3	22	8.1	161	59.2	0	0	4	1.5	169	62.1	0	0	6	2.2	668
Tennessee		47	3	6	947	DS	0.2	4	0.4	15	1.6	258	27.2	658	69.5	0	0	10	1.1	720	76	28	3	6	0.6	"1,802"
Texas		48	3	7	"5,607"	33	0.6	38	0.7	"1,768"	31.5	"1,358"	24.2	"2,280"	40.7	4	0.1	126	2.2	"4,273"	76.2	47	0.8	269	4.8	"8,472"
Utah		49	4	8	332	7	2.1	5	1.5	30	9	19	5.7	265	79.8	DS	0.6	4	1.2	298	89.8	0	0	6	1.8	981
Vermont		50	1	1	396	6	1.5	4	1	10	2.5	16	4	354	89.4	0	0	6	1.5	284	71.7	27	6.8	4	1	295
Virginia		51	3	5	725	6	0.8	6	0.8	22	3	373	51.4	281	38.8	DS	0.3	35	4.8	568	78.3	4	0.6	4	0.6	"1,984"
Washington		53	4	9	873	27	3.1	12	1.4	116	13.3	46	5.3	620	71	9	1	43	4.9	538	61.6	5	0.6	11	1.3	"2,256"
West Virginia		54	3	5	402	0	0	0	0	4	1	38	9.5	352	87.6	0	0	8	2	261	64.9	DS	0.5	0	0	733
Wisconsin		55	2	3	"1,950"	64	3.3	24	1.2	84	4.3	261	13.4	"1,453"	74.5	0	0	64	3.3	"1,336"	68.5	DS	0.1	20	1	"2,242"
Wyoming		56	4	8	152	12	7.9	0	0	15	9.9	DS	1.3	117	77	0	0	6	3.9	141	92.8	0	0	DS	1.3	349
