Created,11/10/2008,,,,,,,
Updated,1/25/2011,,,,,,,
Revised,n/a,,,,,,,
,,,,,,,,
Year,State,Personnel Type,"Teachers
(Highly Qualified) /
Paraprofessionals
(Qualified)","Teachers
(Not Highly Qualified) /
Paraprofessionals
(Not Qualified)","Teachers /
Paraprofessionals
Total",Fully Certified ,Not Fully Certified,Fully Certified/Not Fully Certified Total
2006,Alaska                                       ,Speech-Language Pathologists                                                     ,          -,          -,          -,150,7,157
2006,Alaska                                       ,Interpreters                                                                     ,          -,          -,          -,23,1,23
2006,Alaska                                       ,Psychologists                                                                    ,          -,          -,          -,          -,          -,          -
2006,Alaska                                       ,Occupational Therapists                                                          ,          -,          -,          -,45,2,47
2006,Alaska                                       ,Physical Therapists                                                              ,          -,          -,          -,16,0,16
2006,Alaska                                       ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,12,3,15
2006,Alaska                                       ,Social Workers                                                                   ,          -,          -,          -,          -,          -,          -
2006,Alaska                                       ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,0,0,0
2006,Alaska                                       ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,0,0,0
2006,Alaska                                       ,Orientation and Mobility Specialists                                             ,          -,          -,          -,7,0,7
2006,American Samoa                               ,Special Education Teachers for Ages 3-5                                          ,2,12,14,          -,          -,          -
2006,American Samoa                               ,Special Education Teachers for Ages 6-21                                         ,53,111,164,          -,          -,          -
2006,American Samoa                               ,Total Special Education Teachers                                                 ,55,123,178,          -,          -,          -
2006,American Samoa                               ,Special Education Paraprofessionals for Ages 3-5                                 ,0,0,0,          -,          -,          -
2006,American Samoa                               ,Special Education Paraprofessionals for Ages 6-21                                ,3,10,13,          -,          -,          -
2006,American Samoa                               ,Total Special Education Paraprofessionals                                        ,3,10,13,          -,          -,          -
2006,American Samoa                               ,Audiologists                                                                     ,          -,          -,          -,0,0,0
2006,American Samoa                               ,Speech-Language Pathologists                                                     ,          -,          -,          -,0,0,0
2006,American Samoa                               ,Interpreters                                                                     ,          -,          -,          -,0,0,0
2006,American Samoa                               ,Psychologists                                                                    ,          -,          -,          -,5,2,7
2006,American Samoa                               ,Occupational Therapists                                                          ,          -,          -,          -,0,0,0
2006,American Samoa                               ,Physical Therapists                                                              ,          -,          -,          -,1,0,1
2006,American Samoa                               ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,0,0,0
2006,American Samoa                               ,Social Workers                                                                   ,          -,          -,          -,1,0,1
2006,American Samoa                               ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,0,2,2
2006,American Samoa                               ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,1,3,4
2006,American Samoa                               ,Orientation and Mobility Specialists                                             ,          -,          -,          -,0,2,2
2006,Arizona                                      ,Special Education Teachers for Ages 3-5                                          ,525,129,654,          -,          -,          -
2006,Arizona                                      ,Special Education Teachers for Ages 6-21                                         ,"5,144.00",832,"5,976.00",          -,          -,          -
2006,Arizona                                      ,Total Special Education Teachers                                                 ,"5,669.00",961,"6,630.00",          -,          -,          -
2006,Arizona                                      ,Special Education Paraprofessionals for Ages 3-5                                 ,774,280,"1,054.00",          -,          -,          -
2006,Arizona                                      ,Special Education Paraprofessionals for Ages 6-21                                ,"5,801.00","1,879.00","7,680.00",          -,          -,          -
2006,Arizona                                      ,Total Special Education Paraprofessionals                                        ,"6,575.00","2,159.00","8,734.00",          -,          -,          -
2006,Arizona                                      ,Audiologists                                                                     ,          -,          -,          -,59,4,63
2006,Arizona                                      ,Speech-Language Pathologists                                                     ,          -,          -,          -,"1,175.00",26,"1,201.00"
2006,Arizona                                      ,Interpreters                                                                     ,          -,          -,          -,131,91,222
2006,Arizona                                      ,Psychologists                                                                    ,          -,          -,          -,843,20,862
2006,Arizona                                      ,Occupational Therapists                                                          ,          -,          -,          -,338,3,341
2006,Arizona                                      ,Physical Therapists                                                              ,          -,          -,          -,162,1,164
2006,Arizona                                      ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,292,41,334
2006,Arizona                                      ,Social Workers                                                                   ,          -,          -,          -,204,15,219
2006,Arizona                                      ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,609,51,659
2006,Arizona                                      ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,559,36,595
2006,Arizona                                      ,Orientation and Mobility Specialists                                             ,          -,          -,          -,54,3,57
2006,Arkansas                                     ,Special Education Teachers for Ages 3-5                                          ,431,123,554,          -,          -,          -
2006,Arkansas                                     ,Special Education Teachers for Ages 6-21                                         ,"3,489.00",314,"3,803.00",          -,          -,          -
2006,Arkansas                                     ,Total Special Education Teachers                                                 ,"3,920.00",437,"4,357.00",          -,          -,          -
2006,Arkansas                                     ,Special Education Paraprofessionals for Ages 3-5                                 ,333,438,771,          -,          -,          -
2006,Arkansas                                     ,Special Education Paraprofessionals for Ages 6-21                                ,"1,857.00",467,"2,324.00",          -,          -,          -
2006,Arkansas                                     ,Total Special Education Paraprofessionals                                        ,"2,190.00",905,"3,095.00",          -,          -,          -
2006,Arkansas                                     ,Audiologists                                                                     ,          -,          -,          -,4,0,4
2006,Arkansas                                     ,Speech-Language Pathologists                                                     ,          -,          -,          -,          -,          -,          -
2006,Arkansas                                     ,Interpreters                                                                     ,          -,          -,          -,44,8,51
2006,Arkansas                                     ,Psychologists                                                                    ,          -,          -,          -,173,2,175
2006,Arkansas                                     ,Occupational Therapists                                                          ,          -,          -,          -,217,0,218
2006,Arkansas                                     ,Physical Therapists                                                              ,          -,          -,          -,134,1,135
2006,Arkansas                                     ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,1,0,1
2006,Arkansas                                     ,Social Workers                                                                   ,          -,          -,          -,13,2,15
2006,Arkansas                                     ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,66,9,75
2006,Arkansas                                     ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,32,1,33
2006,Arkansas                                     ,Orientation and Mobility Specialists                                             ,          -,          -,          -,156,30,186
2006,Bur. of Indian Affairs                       ,Special Education Teachers for Ages 3-5                                          ,33,5,38,          -,          -,          -
2006,Bur. of Indian Affairs                       ,Special Education Teachers for Ages 6-21                                         ,470,35,505,          -,          -,          -
2006,Bur. of Indian Affairs                       ,Total Special Education Teachers                                                 ,502,40,542,          -,          -,          -
2006,Bur. of Indian Affairs                       ,Special Education Paraprofessionals for Ages 3-5                                 ,33,27,60,          -,          -,          -
2006,Bur. of Indian Affairs                       ,Special Education Paraprofessionals for Ages 6-21                                ,589,36,625,          -,          -,          -
2006,Bur. of Indian Affairs                       ,Total Special Education Paraprofessionals                                        ,622,63,685,          -,          -,          -
2006,Bur. of Indian Affairs                       ,Audiologists                                                                     ,          -,          -,          -,12,0,12
2006,Bur. of Indian Affairs                       ,Speech-Language Pathologists                                                     ,          -,          -,          -,123,6,128
2006,Bur. of Indian Affairs                       ,Interpreters                                                                     ,          -,          -,          -,5,0,5
2006,Bur. of Indian Affairs                       ,Psychologists                                                                    ,          -,          -,          -,102,2,104
2006,Bur. of Indian Affairs                       ,Occupational Therapists                                                          ,          -,          -,          -,66,0,66
2006,Bur. of Indian Affairs                       ,Physical Therapists                                                              ,          -,          -,          -,36,1,37
2006,Bur. of Indian Affairs                       ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,24,5,29
2006,Bur. of Indian Affairs                       ,Social Workers                                                                   ,          -,          -,          -,29,1,30
2006,Bur. of Indian Affairs                       ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,23,0,23
2006,Bur. of Indian Affairs                       ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,78,2,80
2006,Bur. of Indian Affairs                       ,Orientation and Mobility Specialists                                             ,          -,          -,          -,2,0,2
2006,California                                   ,Special Education Teachers for Ages 3-5                                          ,"1,831.00",192,"2,022.00",          -,          -,          -
2006,California                                   ,Special Education Teachers for Ages 6-21                                         ,"28,917.00","3,252.00","32,169.00",          -,          -,          -
2006,California                                   ,Total Special Education Teachers                                                 ,"30,748.00","3,443.00","34,191.00",          -,          -,          -
2006,California                                   ,Special Education Paraprofessionals for Ages 3-5                                 ,"3,166.00",284,"3,450.00",          -,          -,          -
2006,California                                   ,Special Education Paraprofessionals for Ages 6-21                                ,"34,623.00","9,107.00","43,730.00",          -,          -,          -
2006,California                                   ,Total Special Education Paraprofessionals                                        ,"37,789.00","9,391.00","47,180.00",          -,          -,          -
2006,California                                   ,Audiologists                                                                     ,          -,          -,          -,195,2,198
2006,California                                   ,Speech-Language Pathologists                                                     ,          -,          -,          -,"5,076.00",255,"5,331.00"
2006,California                                   ,Interpreters                                                                     ,          -,          -,          -,"1,047.00",115,"1,161.00"
2006,California                                   ,Psychologists                                                                    ,          -,          -,          -,"4,017.00",58,"4,075.00"
2006,California                                   ,Occupational Therapists                                                          ,          -,          -,          -,903,40,943
2006,California                                   ,Physical Therapists                                                              ,          -,          -,          -,260,3,263
2006,California                                   ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,913,58,972
2006,California                                   ,Social Workers                                                                   ,          -,          -,          -,228,2,230
2006,California                                   ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,"2,161.00",77,"2,237.00"
2006,California                                   ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,529,38,567
2006,California                                   ,Orientation and Mobility Specialists                                             ,          -,          -,          -,153,3,156
2006,Colorado                                     ,Special Education Teachers for Ages 3-5                                          ,235,48,283,          -,          -,          -
2006,Colorado                                     ,Special Education Teachers for Ages 6-21                                         ,"4,245.00",520,"4,765.00",          -,          -,          -
2006,Colorado                                     ,Total Special Education Teachers                                                 ,"4,480.00",568,"5,047.00",          -,          -,          -
2006,Colorado                                     ,Special Education Paraprofessionals for Ages 3-5                                 ,266,0,266,          -,          -,          -
2006,Colorado                                     ,Special Education Paraprofessionals for Ages 6-21                                ,"5,469.00",0,"5,469.00",          -,          -,          -
2006,Colorado                                     ,Total Special Education Paraprofessionals                                        ,"5,735.00",0,"5,735.00",          -,          -,          -
2006,Colorado                                     ,Audiologists                                                                     ,          -,          -,          -,54,0,54
2006,Colorado                                     ,Speech-Language Pathologists                                                     ,          -,          -,          -,914,33,947
2006,Colorado                                     ,Interpreters                                                                     ,          -,          -,          -,92,35,126
2006,Colorado                                     ,Psychologists                                                                    ,          -,          -,          -,610,19,629
2006,Colorado                                     ,Occupational Therapists                                                          ,          -,          -,          -,312,7,319
2006,Colorado                                     ,Physical Therapists                                                              ,          -,          -,          -,88,1,89
2006,Colorado                                     ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,29,2,31
2006,Colorado                                     ,Social Workers                                                                   ,          -,          -,          -,324,16,340
2006,Colorado                                     ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,175,34,209
2006,Colorado                                     ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,77,17,94
2006,Colorado                                     ,Orientation and Mobility Specialists                                             ,          -,          -,          -,5,0,6
2006,Connecticut                                  ,Special Education Teachers for Ages 3-5                                          ,31,0,31,          -,          -,          -
2006,Connecticut                                  ,Special Education Teachers for Ages 6-21                                         ,"4,892.00",0,"4,892.00",          -,          -,          -
2006,Connecticut                                  ,Total Special Education Teachers                                                 ,"4,922.00",0,"4,922.00",          -,          -,          -
2006,Connecticut                                  ,Special Education Paraprofessionals for Ages 3-5                                 ,          -,          -,          -,          -,          -,          -
2006,Connecticut                                  ,Special Education Paraprofessionals for Ages 6-21                                ,"8,538.00",0,"8,538.00",          -,          -,          -
2006,Connecticut                                  ,Total Special Education Paraprofessionals                                        ,"8,538.00",0,"8,538.00",          -,          -,          -
2006,Connecticut                                  ,Audiologists                                                                     ,          -,          -,          -,          -,          -,          -
2006,Connecticut                                  ,Speech-Language Pathologists                                                     ,          -,          -,          -,969,0,969
2006,Connecticut                                  ,Interpreters                                                                     ,          -,          -,          -,          -,          -,          -
2006,Connecticut                                  ,Psychologists                                                                    ,          -,          -,          -,888,0,888
2006,Connecticut                                  ,Occupational Therapists                                                          ,          -,          -,          -,          -,          -,          -
2006,Connecticut                                  ,Physical Therapists                                                              ,          -,          -,          -,          -,          -,          -
2006,Connecticut                                  ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,          -,          -,          -
2006,Connecticut                                  ,Social Workers                                                                   ,          -,          -,          -,746,0,746
2006,Connecticut                                  ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,          -,          -,          -
2006,Connecticut                                  ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,"1,366.00",0,"1,366.00"
2006,Connecticut                                  ,Orientation and Mobility Specialists                                             ,          -,          -,          -,          -,          -,          -
2006,Delaware                                     ,Special Education Teachers for Ages 3-5                                          ,113,2,115,          -,          -,          -
2006,Delaware                                     ,Special Education Teachers for Ages 6-21                                         ,738,727,"1,465.00",          -,          -,          -
2006,Delaware                                     ,Total Special Education Teachers                                                 ,851,729,"1,580.00",          -,          -,          -
2006,Delaware                                     ,Special Education Paraprofessionals for Ages 3-5                                 ,0,0,0,          -,          -,          -
2006,Delaware                                     ,Special Education Paraprofessionals for Ages 6-21                                ,450,553,"1,003.00",          -,          -,          -
2006,Delaware                                     ,Total Special Education Paraprofessionals                                        ,450,553,"1,003.00",          -,          -,          -
2006,Delaware                                     ,Audiologists                                                                     ,          -,          -,          -,9,4,13
2006,Delaware                                     ,Speech-Language Pathologists                                                     ,          -,          -,          -,72,56,128
2006,Delaware                                     ,Interpreters                                                                     ,          -,          -,          -,0,0,0
2006,Delaware                                     ,Psychologists                                                                    ,          -,          -,          -,112,2,114
2006,Delaware                                     ,Occupational Therapists                                                          ,          -,          -,          -,5,26,31
2006,Delaware                                     ,Physical Therapists                                                              ,          -,          -,          -,4,6,10
2006,Delaware                                     ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,0,0,0
2006,Delaware                                     ,Social Workers                                                                   ,          -,          -,          -,0,0,0
2006,Delaware                                     ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,0,0,0
2006,Delaware                                     ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,0,0,0
2006,Delaware                                     ,Orientation and Mobility Specialists                                             ,          -,          -,          -,0,0,0
2006,District of Columbia                         ,Special Education Teachers for Ages 3-5                                          ,565,203,768,          -,          -,          -
2006,District of Columbia                         ,Special Education Teachers for Ages 6-21                                         ,          -,          -,          -,          -,          -,          -
2006,District of Columbia                         ,Total Special Education Teachers                                                 ,565,203,768,          -,          -,          -
2006,District of Columbia                         ,Special Education Paraprofessionals for Ages 3-5                                 ,496,800,"1,296.00",          -,          -,          -
2006,District of Columbia                         ,Special Education Paraprofessionals for Ages 6-21                                ,          -,          -,          -,          -,          -,          -
2006,District of Columbia                         ,Total Special Education Paraprofessionals                                        ,496,800,"1,296.00",          -,          -,          -
2006,District of Columbia                         ,Audiologists                                                                     ,          -,          -,          -,3,0,3
2006,District of Columbia                         ,Speech-Language Pathologists                                                     ,          -,          -,          -,85,5,90
2006,District of Columbia                         ,Interpreters                                                                     ,          -,          -,          -,0,0,0
2006,District of Columbia                         ,Psychologists                                                                    ,          -,          -,          -,72,2,74
2006,District of Columbia                         ,Occupational Therapists                                                          ,          -,          -,          -,29,0,29
2006,District of Columbia                         ,Physical Therapists                                                              ,          -,          -,          -,9,0,9
2006,District of Columbia                         ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,11,8,19
2006,District of Columbia                         ,Social Workers                                                                   ,          -,          -,          -,106,8,114
2006,District of Columbia                         ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,0,0,0
2006,District of Columbia                         ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,28,4,32
2006,District of Columbia                         ,Orientation and Mobility Specialists                                             ,          -,          -,          -,0,0,0
2006,Florida                                      ,Special Education Teachers for Ages 3-5                                          ,9,"1,383.00","1,392.00",          -,          -,          -
2006,Florida                                      ,Special Education Teachers for Ages 6-21                                         ,"7,879.00","9,276.00","17,155.00",          -,          -,          -
2006,Florida                                      ,Total Special Education Teachers                                                 ,"7,887.00","10,659.00","18,546.00",          -,          -,          -
2006,Florida                                      ,Special Education Paraprofessionals for Ages 3-5                                 ,611,715,"1,326.00",          -,          -,          -
2006,Florida                                      ,Special Education Paraprofessionals for Ages 6-21                                ,"5,623.00","7,177.00","12,800.00",          -,          -,          -
2006,Florida                                      ,Total Special Education Paraprofessionals                                        ,"6,234.00","7,892.00","14,126.00",          -,          -,          -
2006,Florida                                      ,Audiologists                                                                     ,          -,          -,          -,59,1,60
2006,Florida                                      ,Speech-Language Pathologists                                                     ,          -,          -,          -,"2,838.00",11,"2,849.00"
2006,Florida                                      ,Interpreters                                                                     ,          -,          -,          -,411,72,483
2006,Florida                                      ,Psychologists                                                                    ,          -,          -,          -,925,7,932
2006,Florida                                      ,Occupational Therapists                                                          ,          -,          -,          -,554,7,560
2006,Florida                                      ,Physical Therapists                                                              ,          -,          -,          -,225,0,225
2006,Florida                                      ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,226,0,226
2006,Florida                                      ,Social Workers                                                                   ,          -,          -,          -,399,0,399
2006,Florida                                      ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,"1,041.00",0,"1,041.00"
2006,Florida                                      ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,465,5,470
2006,Florida                                      ,Orientation and Mobility Specialists                                             ,          -,          -,          -,81,2,83
2006,Georgia                                      ,Special Education Teachers for Ages 3-5                                          ,572,162,734,          -,          -,          -
2006,Georgia                                      ,Special Education Teachers for Ages 6-21                                         ,"13,609.00","1,767.00","15,376.00",          -,          -,          -
2006,Georgia                                      ,Total Special Education Teachers                                                 ,"14,182.00","1,929.00","16,110.00",          -,          -,          -
2006,Georgia                                      ,Special Education Paraprofessionals for Ages 3-5                                 ,734,0,734,          -,          -,          -
2006,Georgia                                      ,Special Education Paraprofessionals for Ages 6-21                                ,"11,626.00",0,"11,626.00",          -,          -,          -
2006,Georgia                                      ,Total Special Education Paraprofessionals                                        ,"12,360.00",0,"12,360.00",          -,          -,          -
2006,Georgia                                      ,Audiologists                                                                     ,          -,          -,          -,26,0,26
2006,Georgia                                      ,Speech-Language Pathologists                                                     ,          -,          -,          -,"1,895.00",0,"1,895.00"
2006,Georgia                                      ,Interpreters                                                                     ,          -,          -,          -,66,186,252
2006,Georgia                                      ,Psychologists                                                                    ,          -,          -,          -,721,0,721
2006,Georgia                                      ,Occupational Therapists                                                          ,          -,          -,          -,268,0,268
2006,Georgia                                      ,Physical Therapists                                                              ,          -,          -,          -,106,0,106
2006,Georgia                                      ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,92,0,92
2006,Georgia                                      ,Social Workers                                                                   ,          -,          -,          -,112,0,112
2006,Georgia                                      ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,56,0,56
2006,Georgia                                      ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,20,0,20
2006,Georgia                                      ,Orientation and Mobility Specialists                                             ,          -,          -,          -,5,0,5
2006,Guam                                         ,Special Education Teachers for Ages 3-5                                          ,7,0,7,          -,          -,          -
2006,Guam                                         ,Special Education Teachers for Ages 6-21                                         ,147,90,237,          -,          -,          -
2006,Guam                                         ,Total Special Education Teachers                                                 ,154,90,244,          -,          -,          -
2006,Guam                                         ,Special Education Paraprofessionals for Ages 3-5                                 ,0,15,15,          -,          -,          -
2006,Guam                                         ,Special Education Paraprofessionals for Ages 6-21                                ,0,284,284,          -,          -,          -
2006,Guam                                         ,Total Special Education Paraprofessionals                                        ,0,299,299,          -,          -,          -
2006,Guam                                         ,Audiologists                                                                     ,          -,          -,          -,1,0,1
2006,Guam                                         ,Speech-Language Pathologists                                                     ,          -,          -,          -,22,0,22
2006,Guam                                         ,Interpreters                                                                     ,          -,          -,          -,0,0,0
2006,Guam                                         ,Psychologists                                                                    ,          -,          -,          -,1,0,1
2006,Guam                                         ,Occupational Therapists                                                          ,          -,          -,          -,2,0,2
2006,Guam                                         ,Physical Therapists                                                              ,          -,          -,          -,1,0,1
2006,Guam                                         ,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          -,          -,          -,3,0,3
2006,Guam                                         ,Social Workers                                                                   ,          -,          -,          -,10,0,10
2006,Guam                                         ,Medical/Nursing Service Staff                                                    ,          -,          -,          -,2,0,2
2006,Guam                                         ,Counselors and Rehabilitation Counselors                                         ,          -,          -,          -,0,0,0
2006,Guam                                         ,Orientation and Mobility Specialists                                             ,          -,          -,          -,0,0,0
2006,Hawaii                                       ,Special Education Teachers for Ages 3-5                                          ,338,73,411,          -,          -,          -
2006,Hawaii                                       ,Special Education Teachers for Ages 6-21                                         ,"1,366.00",447,"1,813.00",          -,          -,          -
2006,Hawaii                                       ,Total Special Education Teachers                                                 ,"1,704.00",520,"2,224.00",          -,          -,          -
2006,Hawaii                                       ,Special Education Paraprofessionals for Ages 3-5                                 ,420,27,447,          -,          -,          -
2006,Hawaii                                       ,Special Education Paraprofessionals for Ages 6-21                                ,"1,640.00",159,"1,799.00",          -,          -,          -
2006,Hawaii                                       ,Total Special Education Paraprofessionals                                        ,"2,060.00",186,"2,246.00",          -,          -,          -
