"sep=,Discipline by gender"	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools 	State_ID	Region_ID	Division_ID
More than one out-of-school suspension females	"4,277"	29.6	30	0.2	"4,247"	29.3	22	0.2	17	0.1	237	1.7	"2,553"	17.8	"1,336"	9.3	24	0.2	58	0.4	149	1	"1,097"	5	3	7
More than one out-of-school suspension totals	"14,471"	100	136	0.9	"14,335"	99.1	69	0.5	60	0.4	982	6.9	"7,581"	52.9	"5,386"	37.6	90	0.6	167	1.2	621	4.3	"1,097"	5	3	7
One or more out-of-school suspensions males	"25,160"	69	245	0.7	"24,915"	68.3	104	0.3	108	0.3	"1,681"	4.7	"11,687"	32.3	"11,025"	30.5	117	0.3	193	0.5	966	2.6	"1,097"	5	3	7
One or more out-of-school suspensions females	"11,301"	31	79	0.2	"11,222"	30.8	43	0.1	30	0.1	621	1.7	"6,498"	18	"3,887"	10.8	45	0.1	98	0.3	331	0.9	"1,097"	5	3	7
One or more out-of-school suspensions total	"36,461"	100	324	0.9	"36,137"	99.1	147	0.4	138	0.4	"2,302"	6.4	"18,185"	50.3	"14,912"	41.3	162	0.4	291	0.8	"1,297"	3.6	"1,097"	5	3	7
Expulsions with educational services males	220	77.2	9	3.2	211	74	DS	0.7	DS	0.7	8	2.9	71	25.9	122	44.5	DS	0.7	4	1.5	4	1.4	"1,097"	5	3	7
Expulsions with educational services females	65	22.8	DS	0.7	63	22.1	DS	0.7	0	0	DS	0.7	24	8.8	35	12.8	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions with educational services total	285	100	11	3.9	274	96.1	4	1.5	DS	0.7	10	3.6	95	34.7	157	57.3	DS	0.7	4	1.5	4	1.4	"1,097"	5	3	7
Expulsions without educational services males	345	78.2	7	1.6	338	76.6	DS	0.5	DS	0.5	25	5.8	109	25.2	196	45.4	DS	0.5	DS	0.5	20	4.5	"1,097"	5	3	7
Expulsions without educational services females	96	21.8	DS	0.5	94	21.3	0	0	DS	0.5	7	1.6	24	5.6	61	14.1	0	0	0	0	4	0.9	"1,097"	5	3	7
Expulsions without educational services total	441	100	9	2	432	98	DS	0.5	4	0.9	32	7.4	133	30.8	257	59.5	DS	0.5	DS	0.5	24	5.4	"1,097"	5	3	7
Expulsions with or without educational services males	563	77.3	16	2.2	547	75.1	5	0.7	DS	0.3	36	5.1	179	25.2	314	44.2	4	0.6	7	1	23	3.2	"1,097"	5	3	7
Expulsions with or without educational services females	165	22.7	DS	0.3	163	22.4	DS	0.3	DS	0.3	10	1.4	52	7.3	97	13.7	0	0	0	0	4	0.5	"1,097"	5	3	7
Expulsions with or without educational services total	728	100	18	2.5	710	97.5	7	1	4	0.6	46	6.5	231	32.5	411	57.9	4	0.6	7	1	27	3.7	"1,097"	5	3	7
Expulsions under zero-tolerance policies males	132	81	DS	1.2	130	79.8	DS	1.2	0	0	DS	1.2	44	27.3	82	50.9	0	0	0	0	DS	1.2	"1,097"	5	3	7
Expulsions under zero-tolerance policies females	31	19	0	0	31	19	0	0	0	0	DS	1.2	9	5.6	20	12.4	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions under zero-tolerance policies total	163	100	DS	1.2	161	98.8	DS	1.2	0	0	4	2.5	53	32.9	102	63.4	0	0	0	0	DS	1.2	"1,097"	5	3	7
Referral to law enforcement males	885	75.7	16	1.4	869	74.3	4	0.3	4	0.3	63	5.5	256	22.4	530	46.3	4	0.3	8	0.7	33	2.8	"1,097"	5	3	7
Referral to law enforcement females	284	24.3	9	0.8	275	23.5	0	0	DS	0.2	25	2.2	117	10.2	129	11.3	0	0	DS	0.2	14	1.2	"1,097"	5	3	7
Referral to law enforcement total	"1,169"	100	25	2.1	"1,144"	97.9	4	0.3	6	0.5	88	7.7	373	32.6	659	57.6	4	0.3	10	0.9	47	4	"1,097"	5	3	7
School-related arrests males	323	71.8	7	1.6	316	70.2	0	0	DS	0.5	29	6.6	102	23.1	175	39.7	4	0.9	4	0.9	20	4.4	"1,097"	5	3	7
School-related arrests females	127	28.2	DS	0.4	125	27.8	DS	0.5	0	0	14	3.2	60	13.6	49	11.1	0	0	0	0	9	DS	"1,097"	5	3	7
School-related arrests total	450	100	9	DS	441	98	DS	0.5	DS	0.5	43	9.8	162	36.7	224	50.8	4	0.9	4	0.9	29	6.4	"1,097"	5	3	7
