,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retention of students,District of Columbia,2,Female,44 ,44.0 ,0 ,0.0 ,0 ,0.0 ,4 ,4.0 ,36 ,36.0 ,1-3 ,1-3 ,0 ,0.0 ,1-3 ,1-3 ,5 ,5.0 ,1-3 ,1-3 ,5 ,5.0 ,123 ,99.2 
Retention of students,District of Columbia,,Total,100 ,100.0 ,0 ,0.0 ,0 ,0.0 ,15 ,15.0 ,77 ,77.0 ,4 ,4.0 ,0 ,0.0 ,4 ,4.0 ,15 ,15.0 ,1-3 ,1-3 ,14 ,14.0 ,123 ,99.2 
Retention of students,District of Columbia,,Male,68 ,64.8 ,0 ,0.0 ,0 ,0.0 ,7 ,6.7 ,61 ,58.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,6 ,5.7 ,0 ,0.0 ,7 ,6.7 ,122 ,99.2 
Retention of students,District of Columbia,3,Female,37 ,35.2 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.9 ,33 ,31.4 ,1-3 ,1.9 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.9 ,0 ,0.0 ,1-3 ,1.9 ,122 ,99.2 
Retention of students,District of Columbia,,Total,105 ,100.0 ,0 ,0.0 ,0 ,0.0 ,9 ,8.6 ,94 ,89.5 ,1-3 ,1.9 ,0 ,0.0 ,0 ,0.0 ,8 ,7.6 ,0 ,0.0 ,9 ,8.6 ,122 ,99.2 
Retention of students,District of Columbia,,Male,38 ,61.3 ,0 ,0.0 ,0 ,0.0 ,1-3 ,3.2 ,34 ,54.8 ,1-3 ,3.2 ,0 ,0.0 ,0 ,0.0 ,13 ,21.0 ,0 ,0.0 ,1-3 ,3.2 ,120 ,99.2 
Retention of students,District of Columbia,4,Female,24 ,38.7 ,0 ,0.0 ,0 ,0.0 ,4 ,6.5 ,18 ,29.0 ,1-3 ,3.2 ,0 ,0.0 ,0 ,0.0 ,4 ,6.5 ,0 ,0.0 ,4 ,6.5 ,120 ,99.2 
Retention of students,District of Columbia,,Total,62 ,100.0 ,0 ,0.0 ,0 ,0.0 ,6 ,9.7 ,52 ,83.9 ,4 ,6.5 ,0 ,0.0 ,0 ,0.0 ,17 ,27.4 ,0 ,0.0 ,6 ,9.7 ,120 ,99.2 
Retention of students,District of Columbia,,Male,49 ,75.4 ,0 ,0.0 ,0 ,0.0 ,6 ,9.2 ,41 ,63.1 ,1-3 ,3.1 ,0 ,0.0 ,0 ,0.0 ,13 ,20.0 ,0 ,0.0 ,5 ,7.7 ,121 ,99.2 
Retention of students,District of Columbia,5,Female,16 ,24.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,16 ,24.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,4 ,6.2 ,0 ,0.0 ,1-3 ,3.1 ,121 ,99.2 
Retention of students,District of Columbia,,Total,65 ,100.0 ,0 ,0.0 ,0 ,0.0 ,6 ,9.2 ,57 ,87.7 ,1-3 ,3.1 ,0 ,0.0 ,0 ,0.0 ,17 ,26.2 ,0 ,0.0 ,7 ,10.8 ,121 ,99.2 
Retention of students,District of Columbia,,Male,53 ,64.6 ,0 ,0.0 ,1-3 ,2.4 ,1-3 ,2.4 ,49 ,59.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,17 ,20.7 ,1-3 ,2.4 ,1-3 ,2.4 ,75 ,98.7 
Retention of students,District of Columbia,6,Female,29 ,35.4 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.4 ,27 ,32.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,9 ,11.0 ,0 ,0.0 ,0 ,0.0 ,75 ,98.7 
Retention of students,District of Columbia,,Total,82 ,100.0 ,0 ,0.0 ,1-3 ,2.4 ,4 ,4.9 ,76 ,92.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,26 ,31.7 ,1-3 ,2.4 ,1-3 ,2.4 ,75 ,98.7 
Retention of students,District of Columbia,,Male,52 ,72.2 ,0 ,0.0 ,0 ,0.0 ,5 ,6.9 ,47 ,65.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,15 ,20.8 ,0 ,0.0 ,1-3 ,2.8 ,73 ,98.6 
Retention of students,District of Columbia,7,Female,20 ,27.8 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.8 ,18 ,25.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.8 ,0 ,0.0 ,0 ,0.0 ,73 ,98.6 
Retention of students,District of Columbia,,Total,72 ,100.0 ,0 ,0.0 ,0 ,0.0 ,7 ,9.7 ,65 ,90.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,17 ,23.6 ,0 ,0.0 ,1-3 ,2.8 ,73 ,98.6 
Retention of students,District of Columbia,,Male,38 ,66.7 ,0 ,0.0 ,0 ,0.0 ,6 ,10.5 ,32 ,56.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,13 ,22.8 ,0 ,0.0 ,6 ,10.5 ,73 ,98.6 
Retention of students,District of Columbia,8,Female,19 ,33.3 ,0 ,0.0 ,0 ,0.0 ,1-3 ,3.5 ,17 ,29.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,5 ,8.8 ,0 ,0.0 ,0 ,0.0 ,73 ,98.6 
Retention of students,District of Columbia,,Total,57 ,100.0 ,0 ,0.0 ,0 ,0.0 ,8 ,14.0 ,49 ,86.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,18 ,31.6 ,0 ,0.0 ,6 ,10.5 ,73 ,98.6 
Retention of students,District of Columbia,,Male,645 ,56.8 ,0 ,0.0 ,5 ,0.4 ,90 ,7.9 ,546 ,48.1 ,1-3 ,0.2 ,0 ,0.0 ,1-3 ,0.2 ,238 ,21.0 ,5 ,0.4 ,50 ,4.4 ,44 ,100.0 
Retention of students,District of Columbia,9,Female,490 ,43.2 ,1-3 ,0.2 ,6 ,0.5 ,64 ,5.6 ,411 ,36.2 ,5 ,0.4 ,0 ,0.0 ,1-3 ,0.2 ,115 ,10.1 ,1-3 ,0.2 ,47 ,4.1 ,44 ,100.0 
Retention of students,District of Columbia,,Total,"1,135 ",100.0 ,1-3 ,0.2 ,11 ,1.0 ,154 ,13.6 ,957 ,84.3 ,7 ,0.6 ,0 ,0.0 ,4 ,0.4 ,353 ,31.1 ,7 ,0.6 ,97 ,8.5 ,44 ,100.0 
Retention of students,District of Columbia,,Male,193 ,54.7 ,0 ,0.0 ,1-3 ,0.6 ,18 ,5.1 ,167 ,47.3 ,1-3 ,0.6 ,1-3 ,0.6 ,1-3 ,0.6 ,67 ,19.0 ,1-3 ,0.6 ,6 ,1.7 ,39 ,100.0 
Retention of students,District of Columbia,10,Female,160 ,45.3 ,0 ,0.0 ,0 ,0.0 ,17 ,4.8 ,141 ,39.9 ,1-3 ,0.6 ,0 ,0.0 ,0 ,0.0 ,35 ,9.9 ,1-3 ,0.6 ,6 ,1.7 ,39 ,100.0 
Retention of students,District of Columbia,,Total,353 ,100.0 ,0 ,0.0 ,1-3 ,0.6 ,35 ,9.9 ,308 ,87.3 ,4 ,1.1 ,1-3 ,0.6 ,1-3 ,0.6 ,102 ,28.9 ,4 ,1.1 ,12 ,3.4 ,39 ,100.0 
Retention of students,District of Columbia,,Male,127 ,53.8 ,1-3 ,0.8 ,1-3 ,0.8 ,17 ,7.2 ,106 ,44.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,45 ,19.1 ,0 ,0.0 ,5 ,2.1 ,39 ,100.0 
Retention of students,District of Columbia,11,Female,109 ,46.2 ,0 ,0.0 ,1-3 ,0.8 ,10 ,4.2 ,95 ,40.3 ,0 ,0.0 ,0 ,0.0 ,1-3 ,0.8 ,8 ,3.4 ,1-3 ,0.8 ,5 ,2.1 ,39 ,100.0 
Retention of students,District of Columbia,,Total,236 ,100.0 ,1-3 ,0.8 ,4 ,1.7 ,27 ,11.4 ,201 ,85.2 ,0 ,0.0 ,0 ,0.0 ,1-3 ,0.8 ,53 ,22.5 ,1-3 ,0.8 ,10 ,4.2 ,39 ,100.0 
Retention of students,District of Columbia,,Male,48 ,60.8 ,0 ,0.0 ,0 ,0.0 ,7 ,8.9 ,41 ,51.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,16 ,20.3 ,0 ,0.0 ,1-3 ,2.5 ,39 ,100.0 
Retention of students,District of Columbia,12,Female,31 ,39.2 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.5 ,29 ,36.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,9 ,11.4 ,0 ,0.0 ,1-3 ,2.5 ,39 ,100.0 
Retention of students,District of Columbia,,Total,79 ,100.0 ,0 ,0.0 ,0 ,0.0 ,9 ,11.4 ,70 ,88.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,25 ,31.6 ,0 ,0.0 ,4 ,5.1 ,39 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 154 public school students retained in kindergarten, 1-3 (1.3%) were American Indian or Alaska Native, 30 (19.5%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 1-3 (1.3%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,,,
