County,2000 Assessment Conducted,2000 Fully Immunized,Percentage,2007 Assessment Conducted,2007 Fully Immunized,Percentage,2000-2007 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Greene,65,59,90.80%,44,40,90.90%,0.20%,19_037,19,2,4,,
Grundy,24,21,87.50%,1,1,100.00%,14.30%,19_038,19,2,4,,
Guthrie,30,26,86.70%,5,4,80.00%,-7.70%,19_039,19,2,4,,
Hamilton,109,103,94.50%,45,40,88.90%,-5.90%,19_040,19,2,4,,
Hancock,21,19,90.50%,6,4,66.70%,-26.30%,19_041,19,2,4,,
Hardin,58,53,91.40%,5,4,80.00%,-12.50%,19_042,19,2,4,,
Harrison,27,22,81.50%,5,4,80.00%,-1.80%,19_043,19,2,4,,
Henry,162,135,83.30%,134,112,83.60%,0.30%,19_044,19,2,4,,
Howard,100,94,94.00%,44,40,90.90%,-3.30%,19_045,19,2,4,,
Humboldt,71,65,91.50%,8,8,100.00%,9.20%,19_046,19,2,4,,
Ida,46,43,93.50%,30,30,100.00%,7.00%,19_047,19,2,4,,
Iowa,57,45,78.90%,7,6,85.70%,8.60%,19_048,19,2,4,,
Jackson,94,65,69.10%,1,1,100.00%,44.60%,19_049,19,2,4,,
Jasper,116,75,64.70%,108,100,92.60%,43.20%,19_050,19,2,4,,
Jefferson,65,57,87.70%,9,7,77.80%,-11.30%,19_051,19,2,4,,
Johnson,169,106,62.70%,28,24,85.70%,36.70%,19_052,19,2,4,,
Jones,34,32,94.10%,13,12,92.30%,-1.90%,19_053,19,2,4,,
Keokuk,3,2,66.70%,5,5,100.00%,50.00%,19_054,19,2,4,,
Kossuth,101,96,95.00%,69,63,91.30%,-3.90%,19_055,19,2,4,,
Lee,91,81,89.00%,128,108,84.40%,-5.20%,19_056,19,2,4,,
Linn,346,326,94.20%,95,87,91.60%,-2.80%,19_057,19,2,4,,
Louisa,113,77,68.10%,15,13,86.70%,27.20%,19_058,19,2,4,,
Lucas,11,8,72.70%,6,4,66.70%,-8.30%,19_059,19,2,4,,
Lyon,59,55,93.20%,55,48,87.30%,-6.40%,19_119,19,2,4,,
Madison,7,7,100.00%,0,0,0.00%,NA,19_121,19,2,4,,
Mahaska,92,44,47.80%,11,7,63.60%,33.10%,19_123,19,2,4,,
Marion,86,78,90.70%,74,53,71.60%,-21.00%,19_125,19,2,4,,
Marshall,116,91,78.40%,51,34,66.70%,-15.00%,19_127,19,2,4,,
Mills,28,27,96.40%,4,4,100.00%,3.70%,19_129,19,2,4,,
Mitchell,52,50,96.20%,33,27,81.80%,-14.90%,19_131,19,2,4,,
Monona,92,85,92.40%,32,27,84.40%,-8.70%,19_133,19,2,4,,
Monroe,17,15,88.20%,2,1,50.00%,-43.30%,19_135,19,2,4,,
Montgomery,46,40,87.00%,5,2,40.00%,-54.00%,19_137,19,2,4,,
Muscatine,179,121,67.60%,33,30,90.90%,34.50%,19_139,19,2,4,,
O'Brien,55,46,83.60%,13,9,69.20%,-17.20%,19_141,19,2,4,,
Osceola,94,89,94.70%,49,48,98.00%,3.50%,19_143,19,2,4,,
Page,114,96,84.20%,45,40,88.90%,5.60%,19_145,19,2,4,,
Palo Alto,158,149,94.30%,100,91,91.00%,-3.50%,19_147,19,2,4,,
Plymouth,252,233,92.50%,140,126,90.00%,-2.70%,19_149,19,2,4,,
Pocahontas,41,37,90.20%,28,26,92.90%,2.90%,19_151,19,2,4,,
Polk,192,162,84.40%,315,275,87.30%,3.50%,19_153,19,2,4,,
Pottawattamie,119,99,83.20%,63,47,74.60%,-10.30%,19_155,19,2,4,,
Poweshiek,139,129,92.80%,53,49,92.50%,-0.40%,19_157,19,2,4,,
Ringgold,55,52,94.50%,39,34,87.20%,-7.80%,19_159,19,2,4,,
Sac,23,22,95.70%,7,5,71.40%,-25.30%,19_161,19,2,4,,
Scott,440,383,87.00%,406,374,92.10%,5.80%,19_163,19,2,4,,
Shelby,79,68,86.10%,18,18,100.00%,16.20%,19_165,19,2,4,,
Sioux,175,162,92.60%,124,119,96.00%,3.70%,19_167,19,2,4,,
Story,125,119,95.20%,29,23,79.30%,-16.70%,19_169,19,2,4,,
Tama,64,46,71.90%,4,3,75.00%,4.30%,19_171,19,2,4,,
Taylor,52,50,96.20%,18,18,100.00%,4.00%,19_173,19,2,4,,
Union,100,84,84.00%,110,107,97.30%,15.80%,19_175,19,2,4,,
Van Buren,44,29,65.90%,10,5,50.00%,-24.10%,19_177,19,2,4,,
Wapello,256,214,83.60%,109,77,70.60%,-15.50%,19_179,19,2,4,,
Warren,31,29,93.50%,8,6,75.00%,-19.80%,19_181,19,2,4,,
Washington,108,90,83.30%,64,58,90.60%,8.70%,19_183,19,2,4,,
Wayne,17,14,82.40%,10,8,80.00%,-2.90%,19_185,19,2,4,,
Webster,155,134,86.50%,108,92,85.20%,-1.50%,19_187,19,2,4,,
Winnebago,16,12,75.00%,1,1,100.00%,33.30%,19_189,19,2,4,,
Winneshiek,141,133,94.30%,46,45,97.80%,3.70%,19_191,19,2,4,,
Woodbury,"1,003",907,90.40%,553,500,90.40%,0.00%,19_193,19,2,4,,
Worth,7,4,57.10%,8,8,100.00%,75.00%,19_195,19,2,4,,
Wright,57,32,56.10%,29,28,96.60%,72.00%,19_197,19,2,4,,
State,"10,253","8,811",85.90%,"5,786","5,116",88.40%,2.90%,,19,2,4,,
Rural,"2,343","2,025",86.40%,"1,160","1,030",88.80%,2.70%,,,,,,IA_Rural_Counties
Small Urban,"4,901","4,173",85.10%,"2,615","2,264",86.60%,1.70%,,,,,,IA_Urban_Counties
Metropolitan,"3,009","2,613",86.80%,"2,011","1,822",90.60%,4.30%,,,,,,IA_Metropolitan_Counties
United States*,"30,000","21,210",70.70%,"30,000","22,920",76.40%,8.10%,,,,,US_National,
