State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites 	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Florida		12	3	5	"5,563"	22	0.4	28	0.5	"1,424"	25.6	"1,731"	31.1	"2,174"	39.1	6	0.1	178	3.2	868	15.6	302	5.4	343	6.2	"1,376"
Georgia		13	3	5	"7,973"	15	0.2	104	1.3	"1,001"	12.6	"4,411"	55.3	"2,235"	28	4	0.1	203	2.5	"1,028"	12.9	63	0.8	378	4.7	648
Hawaii		15	4	9	155	DS	1.3	32	20.6	9	5.8	4	2.6	16	10.3	81	52.3	11	7.1	23	14.8	4	2.6	26	16.8	81
Idaho		16	4	8	142	6	4.2	DS	1.4	22	15.5	DS	1.4	106	74.6	DS	1.4	DS	1.4	9	6.3	6	4.2	4	2.8	220
Illinois		17	2	3	912	DS	0.2	6	0.7	174	19.1	298	32.7	398	43.6	0	0	34	3.7	91	10	9	1	58	6.4	"1,585"
Indiana		18	2	3	463	0	0	4	0.9	29	6.3	130	28.1	271	58.5	0	0	29	6.3	132	28.5	8	1.7	15	3.2	506
Iowa		19	2	4	112	4	3.6	4	3.6	8	7.1	11	9.8	81	72.3	DS	1.8	DS	1.8	21	18.8	DS	1.8	4	3.6	397
Kansas		20	2	4	46	DS	4.3	0	0	12	26.1	4	8.7	26	56.5	0	0	DS	4.3	11	23.9	0	0	6	13	424
Kentucky		21	3	6	323	DS	0.6	DS	0.6	10	3.1	41	12.7	262	81.1	0	0	6	1.9	59	18.3	DS	0.6	4	1.2	443
Louisiana		22	3	7	"6,354"	58	0.9	19	0.3	151	2.4	"3,980"	62.6	"2,109"	33.2	4	0.1	33	0.5	"1,036"	16.3	449	7.1	88	1.4	579
Maine		23	1	1	56	DS	3.6	0	0	DS	3.6	4	7.1	46	82.1	0	0	DS	3.6	18	32.1	4	7.1	0	0	206
Maryland		24	3	5	634	DS	0.3	9	1.4	54	8.5	393	62	149	23.5	4	0.6	23	3.6	126	19.9	29	4.6	11	1.7	384
Massachusetts		25	1	1	563	DS	0.4	27	4.8	158	28.1	111	19.7	234	41.6	0	0	31	5.5	155	27.5	18	3.2	71	12.6	486
Michigan		26	2	3	"1,065"	25	2.3	7	0.7	56	5.3	386	36.2	568	53.3	0	0	23	2.2	209	19.6	11	1	19	1.8	"1,059"
Minnesota		27	2	4	235	9	3.8	4	1.7	29	12.3	28	11.9	157	66.8	DS	0.9	6	2.6	57	24.3	DS	0.9	7	3	714
Mississippi		28	3	6	"1,154"	6	0.5	4	0.3	23	2	641	55.5	480	41.6	0	0	0	0	38	3.3	4	0.3	4	0.3	321
Missouri		29	2	4	397	DS	0.5	4	1	40	10.1	198	49.9	149	37.5	0	0	4	1	41	10.3	DS	0.5	15	3.8	764
Montana		30	4	8	30	14	46.7	0	0	0	0	0	0	14	46.7	0	0	DS	6.7	9	30	0	0	8	26.7	317
Nebraska		31	2	4	61	7	11.5	0	0	13	21.3	DS	3.3	37	60.7	0	0	DS	3.3	14	23	DS	3.3	DS	3.3	336
Nevada		32	4	8	379	6	1.6	4	1.1	188	49.6	73	19.3	91	24	7	1.8	10	2.6	40	10.6	10	2.6	51	13.5	166
New Hampshire		33	1	1	94	0	0	4	4.3	13	13.8	DS	2.1	73	77.7	0	0	DS	2.1	15	16	4	4.3	DS	2.1	142
New Jersey		34	1	2	624	DS	0.3	17	2.7	213	34.1	185	29.6	201	32.2	0	0	6	1	77	12.3	19	3	35	5.6	792
New Mexico		35	4	8	231	57	24.7	DS	0.9	118	51.1	4	1.7	50	21.6	0	0	0	0	43	18.6	4	1.7	34	14.7	234
New York		36	1	2	"2,786"	22	0.8	107	3.8	971	34.9	"1,110"	39.8	556	20	12	0.4	8	0.3	465	16.7	46	1.7	469	16.8	"1,499"
North Carolina		37	3	5	"1,339"	21	1.6	54	4	150	11.2	518	38.7	543	40.6	4	0.3	49	3.7	238	17.8	85	6.3	89	6.6	708
North Dakota		38	2	4	41	9	22	0	0	DS	4.9	0	0	30	73.2	0	0	0	0	7	17.1	DS	4.9	0	0	189
Ohio		39	2	3	706	0	0	4	0.6	21	3	261	37	388	55	0	0	32	4.5	133	18.8	19	2.7	11	1.6	"1,140"
Oklahoma		40	3	7	260	46	17.7	DS	0.8	28	10.8	21	8.1	155	59.6	DS	0.8	6	2.3	37	14.2	DS	0.8	6	2.3	593
Oregon		41	9	4	173	9	5.2	0	0	27	15.6	6	3.5	108	62.4	4	2.3	19	11	43	24.9	DS	1.2	4	2.3	456
Pennsylvania		42	1	2	"1,173"	4	0.3	4	0.3	124	10.6	220	18.8	784	66.8	0	0	37	3.2	222	18.9	14	1.2	30	2.6	971
Rhode Island		44	1	1	109	DS	1.8	4	3.7	26	23.9	8	7.3	63	57.8	0	0	6	5.5	28	25.7	DS	1.8	DS	1.8	59
South Carolina		45	3	5	834	4	0.5	10	1.2	48	5.8	362	43.4	385	46.2	DS	0.2	23	2.8	144	17.3	26	3.1	25	3	329
South Dakota		46	2	4	35	20	57.1	0	0	4	11.4	0	0	11	31.4	0	0	0	0	6	17.1	0	0	6	17.1	262
Tennessee		47	3	6	966	0	0	4	0.4	46	4.8	558	57.8	352	36.4	0	0	6	0.6	150	15.5	6	0.6	25	2.6	603
Texas		48	3	7	"8,305"	22	0.3	198	2.4	"4,778"	57.5	874	10.5	"2,261"	27.2	17	0.2	155	1.9	"1,422"	17.1	264	3.2	836	10.1	"2,421"
Utah		49	4	8	354	12	3.4	4	1.1	47	13.3	4	1.1	281	79.4	4	1.1	DS	0.6	72	20.3	DS	0.6	13	3.7	261
Vermont		50	1	1	23	0	0	0	0	0	0	4	17.4	19	82.6	0	0	0	0	7	30.4	DS	8.7	DS	8.7	120
Virginia		51	3	5	"1,086"	4	0.4	21	1.9	180	16.6	456	42	396	36.5	4	0.4	25	2.3	313	28.8	29	2.7	135	12.4	466
Washington		53	4	9	177	22	12.4	4	2.3	54	30.5	4	2.3	86	48.6	0	0	7	4	38	21.5	4	2.3	8	4.5	656
West Virginia		54	3	5	220	0	0	DS	0.9	4	1.8	19	8.6	191	86.8	0	0	4	1.8	23	10.5	DS	0.9	DS	0.9	207
Wisconsin		55	2	3	223	4	1.8	12	5.4	26	11.7	92	41.3	85	38.1	0	0	4	1.8	55	24.7	0	0	21	9.4	695
Wyoming		56	4	8	16	DS	12.5	0	0	0	0	0	0	14	87.5	0	0	0	0	4	25	0	0	0	0	97
