State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Montana		30	4	8	28	DS	7.1	0	0	DS	7.1	4	14.3	20	71.4	0	0	0	0	22	78.6	0	0	0	0	781
Nebraska		31	2	4	57	DS	3.5	0	0	DS	3.5	10	17.5	37	64.9	0	0	6	10.5	40	70.2	0	0	0	0	"1,073"
Nevada		32	4	8	106	DS	1.9	DS	1.9	17	16	35	33	44	41.5	DS	1.9	4	3.8	102	96.2	0	0	DS	1.9	649
New Hampshire		33	1	1	105	0	0	0	0	DS	1.9	6	5.7	97	92.4	0	0	0	0	88	83.8	0	0	DS	1.9	478
New Jersey		34	1	2	228	0	0	7	3.1	43	18.9	99	43.4	68	29.8	0	0	11	4.8	189	82.9	4	1.8	0	0	"2,538"
New Mexico		35	4	8	30	DS	6.7	0	0	16	53.3	DS	6.7	8	26.7	0	0	DS	6.7	19	63.3	0	0	7	23.3	853
New York		36	1	2	565	DS	0.4	9	1.6	72	12.7	187	33.1	286	50.6	DS	0.4	7	1.2	489	86.5	DS	0.4	DS	0.4	"4,864"
North Carolina		37	3	5	77	0	0	0	0	4	5.2	34	44.2	37	48.1	0	0	DS	2.6	60	77.9	DS	2.6	DS	2.6	"2,535"
North Dakota		38	2	4	19	4	21.1	0	0	0	0	DS	10.5	11	57.9	0	0	DS	10.5	15	78.9	0	0	0	0	468
Ohio		39	2	3	269	0	0	DS	0.7	4	1.5	93	34.6	146	54.3	0	0	24	8.9	197	73.2	DS	0.7	0	0	"3,702"
Oklahoma		40	3	7	133	15	11.3	DS	1.5	10	7.5	45	33.8	49	36.8	DS	1.5	10	7.5	49	36.8	DS	1.5	6	4.5	"1,774"
Oregon		41	9	4	95	DS	2.1	DS	2.1	10	10.5	8	8.4	71	74.7	0	0	DS	2.1	86	90.5	0	0	DS	2.1	"1,312"
Pennsylvania		42	1	2	342	0	0	DS	0.6	17	5	127	37.1	185	54.1	DS	0.6	9	2.6	194	56.7	DS	0.6	DS	0.6	"3,220"
Rhode Island		44	1	1	70	0	0	0	0	24	34.3	13	18.6	31	44.3	0	0	DS	2.9	40	57.1	DS	2.9	DS	2.9	291
South Carolina		45	3	5	179	0	0	DS	1.1	DS	1.1	111	62	57	31.8	0	0	7	3.9	78	43.6	DS	1.1	0	0	"1,219"
South Dakota		46	2	4	73	29	39.7	0	0	DS	2.7	7	9.6	35	47.9	0	0	0	0	45	61.6	0	0	DS	2.7	668
Tennessee		47	3	6	146	0	0	DS	1.4	6	4.1	49	33.6	87	59.6	0	0	DS	1.4	101	69.2	DS	1.4	DS	1.4	"1,802"
Texas		48	3	7	997	7	0.7	4	0.4	305	30.6	256	25.7	407	40.8	0	0	18	1.8	693	69.5	DS	0.2	39	3.9	"8,472"
Utah		49	4	8	45	0	0	0	0	DS	4.4	5	11.1	36	80	0	0	DS	4.4	43	95.6	0	0	0	0	981
Vermont		50	1	1	69	4	5.8	DS	2.9	4	5.8	4	5.8	55	79.7	0	0	0	0	47	68.1	5	7.2	0	0	295
Virginia		51	3	5	146	DS	1.4	4	2.7	4	2.7	86	58.9	44	30.1	0	0	6	4.1	94	64.4	DS	1.4	0	0	"1,984"
Washington		53	4	9	220	8	3.6	DS	0.9	31	14.1	13	5.9	150	68.2	4	1.8	12	5.5	85	38.6	0	0	0	0	"2,256"
West Virginia		54	3	5	85	0	0	0	0	0	0	7	8.2	78	91.8	0	0	0	0	46	54.1	0	0	0	0	733
Wisconsin		55	2	3	383	19	5	4	1	9	2.3	50	13.1	293	76.5	0	0	8	2.1	206	53.8	0	0	DS	0.5	"2,242"
Wyoming		56	4	8	29	DS	6.9	0	0	DS	6.9	0	0	23	79.3	0	0	DS	6.9	27	93.1	0	0	0	0	349
