Disicipline by gender		Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaskan Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaskan Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number Hispanic or Latino Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of Whites Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more Races Students With Disabilities Served Under IDEA	Percent of Two or more Races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions without educational services males	Male	15	78.9	DS	10.5	13	68.4	DS	13.3	0	0	DS	13.3	DS	13.3	7	46.7	0	0	0	0	0	0	"1,920"	4	4	8
Expulsions without educational services females	Female	4	21.1	DS	10.5	DS	10.5	0	0	0	0	0	0	0	0	DS	13.3	0	0	0	0	0	0	"1,920"	4	4	8
Expulsions without educational services total	Total	19	100	4	21.1	15	78.9	DS	13.3	0	0	DS	13.3	DS	13.3	9	60	0	0	0	0	0	0	"1,920"	4	4	8
Expulsions with or without educational services males	Male	70	89.7	5	6.4	65	83.3	12	16.9	0	0	20	28.2	5	7	26	36.6	0	0	DS	2.8	0	0	"1,920"	4	4	8
Expulsions with or without educational services females	Female	8	10.3	DS	2.6	6	7.7	DS	2.8	0	0	DS	2.8	0	0	DS	2.8	0	0	0	0	0	0	"1,920"	4	4	8
Expulsions with or without educational services total	Total	78	100	7	9	71	91	14	19.7	0	0	22	31	5	7	28	39.4	0	0	DS	2.8	0	0	"1,920"	4	4	8
Expulsions under zero-tolerance policies males	Male	38	90.5	0	0	38	90.5	5	11.9	0	0	15	35.7	DS	4.8	14	33.3	0	0	DS	4.8	0	0	"1,920"	4	4	8
Expulsions under zero-tolerance policies females	Female	4	9.5	0	0	4	9.5	0	0	0	0	DS	4.8	0	0	DS	4.8	0	0	0	0	0	0	"1,920"	4	4	8
Expulsions under zero-tolerance policies total	Total	42	100	0	0	42	100	5	11.9	0	0	17	40.5	DS	4.8	16	38.1	0	0	DS	4.8	0	0	"1,920"	4	4	8
Referral to law enforcement males	Male	850	84.7	24	2.4	826	82.4	107	11	5	0.5	351	36	56	5.7	283	29.1	6	0.6	18	1.8	20	2	"1,920"	4	4	8
Referral to law enforcement females	Female	153	15.3	5	0.5	148	14.8	16	1.6	DS	0.2	63	6.5	16	1.6	49	5	0	0	DS	0.2	4	0.4	"1,920"	4	4	8
Referral to law enforcement total	Total	"1,003"	100	29	2.9	974	97.1	123	12.6	7	0.7	414	42.5	72	7.4	332	34.1	6	0.6	20	2.1	24	2.4	"1,920"	4	4	8
School-related arrests males	Male	334	85.6	8	2.1	326	83.6	44	11.6	DS	0.5	158	41.6	25	6.6	89	23.4	DS	0.5	6	1.6	7	1.8	"1,920"	4	4	8
School-related arrests females	Female	56	14.4	DS	0.5	54	13.8	7	1.8	0	0	20	5.3	9	2.4	13	3.4	0	0	5	1.3	0	0	"1,920"	4	4	8
School-related arrests total	Total	390	100	10	2.6	380	97.4	51	13.4	DS	0.5	178	46.8	34	8.9	102	26.8	DS	0.5	11	2.9	7	1.8	"1,920"	4	4	8
