"reported to have been harassed or bullied on the basis of race, color or national origin",California,"376,264 ","4,482 ",1.2 ,"17,258 ",4.6 ,"210,753 ",56.0 ,"38,682 ",10.3 ,"91,162 ",24.2 ,"3,371 ",0.9 ,"10,556 ",2.8 ,"79,108 ",21.0 ,"5,731 ",1.5 ,"79,026 ",21.0 ,"9,883 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Colorado,"71,271 ",786 ,1.1 ,"1,261 ",1.8 ,"31,838 ",44.7 ,"4,684 ",6.6 ,"30,253 ",42.4 ,185 ,0.3 ,"2,264 ",3.2 ,"12,589 ",17.7 ,"1,007 ",1.4 ,"8,915 ",12.5 ,"1,841 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Connecticut,"39,619 ",95 ,0.2 ,"1,876 ",4.7 ,"11,526 ",29.1 ,"7,400 ",18.7 ,"17,572 ",44.4 ,45 ,0.1 ,"1,105 ",2.8 ,"9,054 ",22.9 ,"1,890 ",4.8 ,"3,530 ",8.9 ,"1,140 ",99.9 
"reported to have been harassed or bullied on the basis of race, color or national origin",Delaware,"10,174 ",51 ,0.5 ,176 ,1.7 ,"1,432 ",14.1 ,"3,805 ",37.4 ,"4,469 ",43.9 ,7 ,0.1 ,234 ,2.3 ,"2,601 ",25.6 ,409 ,4.0 ,451 ,4.4 ,227 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",District of Columbia,"11,807 ",8 ,0.1 ,88 ,0.7 ,"1,545 ",13.1 ,"9,577 ",81.1 ,463 ,3.9 ,14 ,0.1 ,112 ,0.9 ,"2,800 ",23.7 ,188 ,1.6 ,817 ,6.9 ,204 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Florida,"235,951 ",943 ,0.4 ,"2,894 ",1.2 ,"72,360 ",30.7 ,"55,506 ",23.5 ,"96,599 ",40.9 ,289 ,0.1 ,"7,360 ",3.1 ,"60,339 ",25.6 ,"8,648 ",3.7 ,"18,963 ",8.0 ,"3,954 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Georgia,"97,367 ",227 ,0.2 ,"1,320 ",1.4 ,"11,850 ",12.2 ,"38,583 ",39.6 ,"42,111 ",43.2 ,96 ,0.1 ,"3,180 ",3.3 ,"20,908 ",21.5 ,"1,533 ",1.6 ,"4,351 ",4.5 ,"2,444 ",99.8 
"reported to have been harassed or bullied on the basis of race, color or national origin",Hawaii,"18,986 ",107 ,0.6 ,"3,329 ",17.5 ,"2,099 ",11.1 ,233 ,1.2 ,"2,486 ",13.1 ,"8,832 ",46.5 ,"1,900 ",10.0 ,511 ,2.7 ,19 ,0.1 ,"2,615 ",13.8 ,287 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Idaho,"14,780 ",382 ,2.6 ,131 ,0.9 ,"2,642 ",17.9 ,140 ,0.9 ,"11,063 ",74.9 ,48 ,0.3 ,374 ,2.5 ,"2,225 ",15.1 ,583 ,3.9 ,810 ,5.5 ,715 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Illinois,"132,449 ",424 ,0.3 ,"3,233 ",2.4 ,"30,028 ",22.7 ,"38,740 ",29.2 ,"55,502 ",41.9 ,129 ,0.1 ,"4,393 ",3.3 ,"28,409 ",21.4 ,"3,323 ",2.5 ,"9,178 ",6.9 ,"4,134 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Indiana,"49,102 ",131 ,0.3 ,444 ,0.9 ,"5,221 ",10.6 ,"8,642 ",17.6 ,"31,881 ",64.9 ,26 ,0.1 ,"2,757 ",5.6 ,"10,945 ",22.3 ,945 ,1.9 ,"2,779 ",5.7 ,"1,864 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Iowa,"30,700 ",216 ,0.7 ,470 ,1.5 ,"4,066 ",13.2 ,"2,795 ",9.1 ,"21,851 ",71.2 ,89 ,0.3 ,"1,213 ",4.0 ,"7,100 ",23.1 ,533 ,1.7 ,"1,767 ",5.8 ,"1,424 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Kansas,"33,728 ",524 ,1.6 ,523 ,1.6 ,"7,160 ",21.2 ,"3,784 ",11.2 ,"19,691 ",58.4 ,83 ,0.2 ,"1,963 ",5.8 ,"7,418 ",22.0 ,273 ,0.8 ,"3,574 ",10.6 ,"1,396 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Kentucky,"48,504 ",81 ,0.2 ,259 ,0.5 ,"1,910 ",3.9 ,"5,700 ",11.8 ,"39,291 ",81.0 ,32 ,0.1 ,"1,231 ",2.5 ,"10,569 ",21.8 ,218 ,0.4 ,881 ,1.8 ,"1,422 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Louisiana,"46,579 ",464 ,1.0 ,310 ,0.7 ,"2,212 ",4.7 ,"22,130 ",47.5 ,"20,597 ",44.2 ,28 ,0.1 ,838 ,1.8 ,"8,531 ",18.3 ,"4,045 ",8.7 ,944 ,2.0 ,"1,343 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Maine,"12,896 ",123 ,1.0 ,124 ,1.0 ,280 ,2.2 ,426 ,3.3 ,"11,685 ",90.6 ,4 ,0.0 ,254 ,2.0 ,"3,226 ",25.0 ,578 ,4.5 ,600 ,4.7 ,573 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Maryland,"66,916 ",239 ,0.4 ,"2,124 ",3.2 ,"8,607 ",12.9 ,"27,031 ",40.4 ,"26,094 ",39.0 ,81 ,0.1 ,"2,740 ",4.1 ,"14,966 ",22.4 ,"3,200 ",4.8 ,"3,625 ",5.4 ,"1,435 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Massachusetts,"60,404 ",214 ,0.4 ,"2,141 ",3.5 ,"18,008 ",29.8 ,"8,280 ",13.7 ,"29,717 ",49.2 ,49 ,0.1 ,"1,995 ",3.3 ,"18,065 ",29.9 ,"3,138 ",5.2 ,"7,476 ",12.4 ,"1,859 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Michigan,"145,477 ","1,279 ",0.9 ,"3,073 ",2.1 ,"10,388 ",7.1 ,"49,211 ",33.8 ,"76,507 ",52.6 ,84 ,0.1 ,"4,935 ",3.4 ,"30,989 ",21.3 ,"1,291 ",0.9 ,"7,374 ",5.1 ,"3,672 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Minnesota,"52,660 ","2,742 ",5.2 ,"2,324 ",4.4 ,"5,723 ",10.9 ,"8,912 ",16.9 ,"30,855 ",58.6 ,43 ,0.1 ,"2,061 ",3.9 ,"13,829 ",26.3 ,742 ,1.4 ,"4,094 ",7.8 ,"2,056 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Mississippi,"39,850 ",93 ,0.2 ,221 ,0.6 ,"1,000 ",2.5 ,"18,211 ",45.7 ,"20,223 ",50.7 ,14 ,0.0 ,88 ,0.2 ,"5,452 ",13.7 ,110 ,0.3 ,379 ,1.0 ,967 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Missouri,"53,829 ",279 ,0.5 ,562 ,1.0 ,"3,256 ",6.0 ,"11,365 ",21.1 ,"36,393 ",67.6 ,158 ,0.3 ,"1,816 ",3.4 ,"10,941 ",20.3 ,"1,037 ",1.9 ,"1,625 ",3.0 ,"2,281 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Montana,"12,702 ","2,382 ",18.8 ,64 ,0.5 ,590 ,4.6 ,167 ,1.3 ,"9,179 ",72.3 ,35 ,0.3 ,285 ,2.2 ,"2,076 ",16.3 ,217 ,1.7 ,476 ,3.7 ,794 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Nebraska,"15,883 ",523 ,3.3 ,269 ,1.7 ,"3,844 ",24.2 ,"2,335 ",14.7 ,"8,212 ",51.7 ,27 ,0.2 ,673 ,4.2 ,"3,903 ",24.6 ,105 ,0.7 ,872 ,5.5 ,"1,050 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Nevada,"42,546 ",661 ,1.6 ,"1,110 ",2.6 ,"17,469 ",41.1 ,"6,101 ",14.3 ,"14,274 ",33.5 ,542 ,1.3 ,"2,389 ",5.6 ,"8,775 ",20.6 ,735 ,1.7 ,"5,742 ",13.5 ,652 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",New Hampshire,"12,074 ",38 ,0.3 ,245 ,2.0 ,"1,081 ",9.0 ,319 ,2.6 ,"10,175 ",84.3 ,10 ,0.1 ,206 ,1.7 ,"2,973 ",24.6 ,735 ,6.1 ,601 ,5.0 ,482 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",New Jersey,"80,933 ",123 ,0.2 ,"4,047 ",5.0 ,"22,767 ",28.1 ,"17,416 ",21.5 ,"35,212 ",43.5 ,120 ,0.1 ,"1,248 ",1.5 ,"20,526 ",25.4 ,"2,012 ",2.5 ,"3,150 ",3.9 ,"2,469 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",New Mexico,"18,756 ","1,518 ",8.1 ,86 ,0.5 ,"11,769 ",62.7 ,462 ,2.5 ,"4,613 ",24.6 ,31 ,0.2 ,277 ,1.5 ,"3,743 ",20.0 ,213 ,1.1 ,"3,101 ",16.5 ,872 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",New York,"154,542 ","1,386 ",0.9 ,"4,895 ",3.2 ,"34,852 ",22.6 ,"34,420 ",22.3 ,"75,618 ",48.9 ,159 ,0.1 ,"3,212 ",2.1 ,"37,686 ",24.4 ,"4,423 ",2.9 ,"10,843 ",7.0 ,"4,894 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",North Carolina,"108,850 ","1,909 ",1.8 ,"1,473 ",1.4 ,"14,914 ",13.7 ,"32,281 ",29.7 ,"53,738 ",49.4 ,107 ,0.1 ,"4,428 ",4.1 ,"24,439 ",22.5 ,"2,257 ",2.1 ,"6,120 ",5.6 ,"2,587 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",North Dakota,"4,985 ","1,209 ",24.3 ,61 ,1.2 ,247 ,5.0 ,231 ,4.6 ,"3,196 ",64.1 ,11 ,0.2 ,30 ,0.6 ,873 ,17.5 ,136 ,2.7 ,227 ,4.6 ,451 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Ohio,"133,926 ",222 ,0.2 ,"1,184 ",0.9 ,"7,443 ",5.6 ,"36,345 ",27.1 ,"81,788 ",61.1 ,71 ,0.1 ,"6,873 ",5.1 ,"34,705 ",25.9 ,"2,176 ",1.6 ,"3,315 ",2.5 ,"3,609 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Oklahoma,"38,579 ","6,612 ",17.1 ,297 ,0.8 ,"5,797 ",15.0 ,"4,622 ",12.0 ,"18,863 ",48.9 ,118 ,0.3 ,"2,270 ",5.9 ,"6,925 ",18.0 ,466 ,1.2 ,"2,160 ",5.6 ,"1,811 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Oregon,"63,696 ","1,594 ",2.5 ,987 ,1.5 ,"14,859 ",23.3 ,"1,984 ",3.1 ,"40,001 ",62.8 ,561 ,0.9 ,"3,710 ",5.8 ,"12,917 ",20.3 ,"1,164 ",1.8 ,"5,260 ",8.3 ,"1,309 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Pennsylvania,"132,785 ",231 ,0.2 ,"2,392 ",1.8 ,"17,070 ",12.9 ,"35,906 ",27.0 ,"72,511 ",54.6 ,59 ,0.0 ,"4,616 ",3.5 ,"27,966 ",21.1 ,"2,257 ",1.7 ,"4,966 ",3.7 ,"3,056 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Rhode Island,"13,875 ",154 ,1.1 ,341 ,2.5 ,"5,491 ",39.6 ,"1,396 ",10.1 ,"5,960 ",43.0 ,18 ,0.1 ,515 ,3.7 ,"3,731 ",26.9 ,318 ,2.3 ,"1,261 ",9.1 ,293 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",South Carolina,"32,628 ",132 ,0.4 ,149 ,0.5 ,"1,963 ",6.0 ,"11,887 ",36.4 ,"17,405 ",53.3 ,35 ,0.1 ,"1,057 ",3.2 ,"6,832 ",20.9 ,523 ,1.6 ,"1,199 ",3.7 ,"1,226 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",South Dakota,"7,748 ","2,668 ",34.4 ,100 ,1.3 ,520 ,6.7 ,252 ,3.3 ,"3,918 ",50.6 ,8 ,0.1 ,282 ,3.6 ,"1,616 ",20.9 ,138 ,1.8 ,297 ,3.8 ,687 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Tennessee,"63,714 ",105 ,0.2 ,412 ,0.6 ,"3,557 ",5.6 ,"25,253 ",39.6 ,"33,664 ",52.8 ,31 ,0.0 ,692 ,1.1 ,"11,861 ",18.6 ,683 ,1.1 ,732 ,1.1 ,"1,798 ",98.4 
"reported to have been harassed or bullied on the basis of race, color or national origin",Texas,"305,242 ","1,368 ",0.4 ,"4,482 ",1.5 ,"155,839 ",51.1 ,"43,714 ",14.3 ,"93,460 ",30.6 ,400 ,0.1 ,"5,979 ",2.0 ,"50,717 ",16.6 ,"16,335 ",5.4 ,"35,525 ",11.6 ,"8,574 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Utah,"49,724 ",941 ,1.9 ,477 ,1.0 ,"9,557 ",19.2 ,720 ,1.4 ,"35,796 ",72.0 ,"1,038 ",2.1 ,"1,195 ",2.4 ,"9,454 ",19.0 ,477 ,1.0 ,"3,796 ",7.6 ,990 ,99.9 
"reported to have been harassed or bullied on the basis of race, color or national origin",Vermont,"4,700 ",48 ,1.0 ,74 ,1.6 ,73 ,1.6 ,111 ,2.4 ,"4,281 ",91.1 ,1 to 3,0.1 ,110 ,2.3 ,"1,070 ",22.8 ,343 ,7.3 ,79 ,1.7 ,307 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Virginia,"85,770 ",300 ,0.3 ,"3,410 ",4.0 ,"11,706 ",13.6 ,"24,397 ",28.4 ,"42,149 ",49.1 ,131 ,0.2 ,"3,677 ",4.3 ,"19,428 ",22.7 ,"2,162 ",2.5 ,"7,048 ",8.2 ,"1,969 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Washington,"132,110 ","3,440 ",2.6 ,"5,288 ",4.0 ,"30,773 ",23.3 ,"7,058 ",5.3 ,"74,459 ",56.4 ,"1,791 ",1.4 ,"9,301 ",7.0 ,"29,681 ",22.5 ,"4,416 ",3.3 ,"13,051 ",9.9 ,"2,282 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",West Virginia,"20,563 ",23 ,0.1 ,57 ,0.3 ,231 ,1.1 ,"1,112 ",5.4 ,"18,718 ",91.0 ,1 to 3,0.0 ,419 ,2.0 ,"4,028 ",19.6 ,343 ,1.7 ,68 ,0.3 ,730 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Wisconsin,"68,867 ","1,668 ",2.4 ,"1,703 ",2.5 ,"9,559 ",13.9 ,"15,965 ",23.2 ,"38,032 ",55.2 ,51 ,0.1 ,"1,889 ",2.7 ,"18,218 ",26.5 ,582 ,0.8 ,"3,835 ",5.6 ,"2,244 ",99.6 
"reported to have been harassed or bullied on the basis of race, color or national origin",Wyoming,"6,806 ",675 ,9.9 ,35 ,0.5 ,"1,134 ",16.7 ,63 ,0.9 ,"4,767 ",70.0 ,5 ,0.1 ,127 ,1.9 ,"1,261 ",18.5 ,91 ,1.3 ,231 ,3.4 ,360 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads (for US Totals):  Of all 3,441,394 public school male students reported to have been harassed or bullied on the basis of race, color or national origin, 56,234 (1.6%) were American Indian or Alaska Native, 736,069 (21.4%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 86,034 (2.5%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1 to 3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that a midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,
,            Data reported in this table represent 99.9% of responding schools.,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2013-14, available at http://ocrdata.ed.gov. SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2013-14, available at http://ocrdata.ed.gov.  Data notes are available on the Data Notes page, under Additional Resources at  http://ocrdata.ed.gov/DataNotes. ",,,,,,,,,,,,,,,,,,,,,,,
