"Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID",,,,,
"Expulsions without educational services total	15	100	0	0	15	100	0	0	0	0	0	0	6	40	9	60	0	0	0	0	0	0	""1","432""	1	3	6",,,,
"Expulsions with or without educational services males	168	70.3	DS	0.8	166	69.5	DS	0.9	0	0	0	0	90	38.3	72	30.6	0	0	DS	0.9	0	0	""1","432""	1	3	6",,,,
"Expulsions with or without educational services females	71	29.7	DS	0.8	69	28.9	0	0	0	0	0	0	33	14	36	15.3	0	0	0	0	0	0	""1","432""	1	3	6",,,,
"Expulsions with or without educational services total	239	100	4	1.7	235	98.3	DS	0.9	0	0	0	0	123	52.3	108	46	0	0	DS	0.9	0	0	""1","432""	1	3	6",,,,
"Expulsions under zero-tolerance policies males	29	87.9	DS	6.1	27	81.8	0	0	0	0	0	0	16	51.6	9	29	0	0	DS	6.5	0	0	""1","432""	1	3	6",,,,
"Expulsions under zero-tolerance policies females	4	12.1	0	0	4	12.1	0	0	0	0	0	0	4	12.9	0	0	0	0	0	0	0	0	""1","432""	1	3	6",,,,
"Expulsions under zero-tolerance policies total	33	100	DS	6.1	31	93.9	0	0	0	0	0	0	20	64.5	9	29	0	0	DS	6.5	0	0	""1","432""	1	3	6",,,,
"Referral to law enforcement males	390	78.9	7	1.4	383	77.5	0	0	4	0.8	4	0.8	252	52	119	24.5	0	0	4	0.8	0	0	""1","432""	1	3	6",,,,
"Referral to law enforcement females	104	21.1	DS	0.4	102	20.6	0	0	0	0	DS	0.4	77	15.9	21	4.3	0	0	DS	0.4	0	0	""1","432""	1	3	6",,,,
"Referral to law enforcement total	494	100	9	1.8	485	98.2	0	0	4	0.8	6	1.2	329	67.8	140	28.9	0	0	6	1.2	0	0	""1","432""	1	3	6",,,,
"School-related arrests males	239	78.1	DS	0.7	237	77.5	0	0	5	1.7	DS	0.7	171	56.6	57	18.9	0	0	DS	0.7	0	0	""1","432""	1	3	6",,,,
"School-related arrests females	67	21.9	DS	0.7	65	21.2	0	0	0	0	0	0	52	17.2	13	4.3	0	0	0	0	0	0	""1","432""	1	3	6",,,,
"School-related arrests total	306	100	4	1.3	302	98.7	0	0	5	1.7	DS	0.7	223	73.8	70	23.2	0	0	DS	0.7	0	0	""1","432""	1	3	6",,,,
