County,2000 Age 15-19 Population,2000 Deaths,2000 Rate,2009 Age 15-19 Population,2009 Deaths,2009 Rate,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Dubuque,"7,075",3,42,"6,944",C,N/A,N/A,19_031,19,2,4,,
Emmet,"1,039",0,0,851,C,N/A,N/A,19_032,19,2,4,,
Fayette,"1,701",2,118,"1,522",C,N/A,N/A,19_033,19,2,4,,
Floyd,"1,200",0,0,"1,095",0,0,0.00%,19_034,19,2,4,,
Franklin,847,0,0,704,0,0,0.00%,19_035,19,2,4,,
Fremont,557,0,0,510,0,0,0.00%,19_036,19,2,4,,
Greene,779,1,128,673,0,0,-100.00%,19_037,19,2,4,,
Grundy,893,0,0,869,C,N/A,N/A,19_038,19,2,4,,
Guthrie,761,0,0,730,0,0,0.00%,19_039,19,2,4,,
Hamilton,"1,128",1,89,"1,009",0,0,-100.00%,19_040,19,2,4,,
Hancock,961,0,0,756,0,0,0.00%,19_041,19,2,4,,
Hardin,"1,737",0,0,"1,374",C,N/A,N/A,19_042,19,2,4,,
Harrison,"1,119",1,89,"1,086",0,0,-100.00%,19_043,19,2,4,,
Henry,"1,536",2,130,"1,427",0,0,-100.00%,19_044,19,2,4,,
Howard,741,1,135,645,0,0,-100.00%,19_045,19,2,4,,
Humboldt,832,0,0,624,C,N/A,N/A,19_046,19,2,4,,
Ida,586,0,0,471,0,0,0.00%,19_047,19,2,4,,
Iowa,"1,070",0,0,"1,170",C,N/A,N/A,19_048,19,2,4,,
Jackson,"1,498",1,67,"1,423",0,0,-100.00%,19_049,19,2,4,,
Jasper,"2,442",2,82,"2,398",0,0,-100.00%,19_050,19,2,4,,
Jefferson,"1,213",0,0,986,C,N/A,N/A,19_051,19,2,4,,
Johnson,"10,933",3,27,"12,090",5,41,50.70%,19_052,19,2,4,,
Jones,"1,378",0,0,"1,366",0,0,0.00%,19_053,19,2,4,,
Keokuk,864,3,347,741,C,N/A,N/A,19_054,19,2,4,,
Kossuth,"1,390",1,72,"1,090",0,0,-100.00%,19_055,19,2,4,,
Lee,"2,638",2,76,"2,369",4,169,122.70%,19_056,19,2,4,,
Linn,"13,891",7,50,"13,993",4,29,-43.30%,19_057,19,2,4,,
Louisa,874,0,0,849,0,0,0.00%,19_058,19,2,4,,
Lucas,678,0,0,641,C,N/A,N/A,19_059,19,2,4,,
Lyon,917,1,109,842,0,0,-100.00%,19_119,19,2,4,,
Madison,"1,031",1,97,"1,077",0,0,-100.00%,19_121,19,2,4,,
Mahaska,"1,717",0,0,"1,500",0,0,0.00%,19_123,19,2,4,,
Marion,"2,591",0,0,"2,652",C,N/A,N/A,19_125,19,2,4,,
Marshall,"2,889",0,0,"2,680",C,N/A,N/A,19_127,19,2,4,,
Mills,"1,100",2,182,"1,079",0,0,-100.00%,19_129,19,2,4,,
Mitchell,785,0,0,811,0,0,0.00%,19_131,19,2,4,,
Monona,671,1,149,579,0,0,-100.00%,19_133,19,2,4,,
Monroe,558,0,0,501,0,0,0.00%,19_135,19,2,4,,
Montgomery,820,0,0,720,C,N/A,N/A,19_137,19,2,4,,
Muscatine,"3,102",0,0,"3,008",0,0,0.00%,19_139,19,2,4,,
O'Brien,"1,198",1,83,924,0,0,-100.00%,19_141,19,2,4,,
Osceola,514,0,0,502,0,0,0.00%,19_143,19,2,4,,
Page,"1,254",1,80,"1,090",C,N/A,N/A,19_145,19,2,4,,
Palo Alto,914,1,109,654,0,0,-100.00%,19_147,19,2,4,,
Plymouth,"2,101",1,48,"1,772",C,N/A,N/A,19_149,19,2,4,,
Pocahontas,633,1,158,541,0,0,-100.00%,19_151,19,2,4,,
Polk,"25,121",11,44,"26,759",10,37,-14.70%,19_153,19,2,4,,
Pottawattamie,"6,672",2,30,"6,248",5,80,167.00%,19_155,19,2,4,,
Poweshiek,"1,626",1,62,"1,616",C,N/A,N/A,19_157,19,2,4,,
Ringgold,430,0,0,298,0,0,0.00%,19_159,19,2,4,,
Sac,830,0,0,662,C,N/A,N/A,19_161,19,2,4,,
Scott,"11,698",4,34,"11,286",6,53,55.50%,19_163,19,2,4,,
Shelby,997,0,0,888,0,0,0.00%,19_165,19,2,4,,
Sioux,"3,492",8,229,"3,109",0,0,-100.00%,19_167,19,2,4,,
Story,"9,090",1,11,"9,564",0,0,-100.00%,19_169,19,2,4,,
Tama,"1,354",1,74,"1,333",C,N/A,N/A,19_171,19,2,4,,
Taylor,527,2,380,433,C,N/A,N/A,19_173,19,2,4,,
Union,969,0,0,820,C,N/A,N/A,19_175,19,2,4,,
Van Buren,543,1,184,521,0,0,-100.00%,19_177,19,2,4,,
Wapello,"2,646",0,0,"2,484",C,N/A,N/A,19_179,19,2,4,,
Warren,"3,317",1,30,"3,464",C,N/A,N/A,19_181,19,2,4,,
Washington,"1,420",0,0,"1,438",C,N/A,N/A,19_183,19,2,4,,
Wayne,469,2,426,424,0,0,-100.00%,19_185,19,2,4,,
Webster,"3,277",1,31,"3,178",C,N/A,N/A,19_187,19,2,4,,
Winnebago,"1,026",1,97,868,C,N/A,N/A,19_189,19,2,4,,
Winneshiek,"2,259",1,44,"1,979",C,N/A,N/A,19_191,19,2,4,,
Woodbury,"7,959",2,25,"7,716",4,52,106.30%,19_193,19,2,4,,
Worth,544,0,0,499,0,0,0.00%,19_195,19,2,4,,
Wright,"1,002",1,100,822,0,0,-100.00%,19_197,19,2,4,,
State,"226,420",107,47,"217,380",90,41,-12.40%,,19,2,4,,
Rural,"36,807",28,76,"32,647",11,34,-55.70%,,,,,,IA_Rural_Counties
Samall Urban,"86,078",46,53,"79,686",39,49,-8.40%,,,,,,IA_Urban_Counties
Metropolitan,"103,535",33,32,"105,047",40,38,19.50%,,,,,,IA_Metropolitan_Counties
United States,"20,219,890","13,563",67,"21,445,610","13,631",64,-5.20%,,,,,US_National,
