Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learner Students Without Disabilities and With Disabilities Served Under IDEA	Percent of English Language Learner Students Without Disabilities and With Disabilities Served Under IDEA	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"16,116"	27.3	73	0.1	"16,043"	27.1	418	0.7	34	0.1	"1,227"	2.1	"10,074"	17.1	"3,683"	6.3	8	0	599	1	344	0.6	"2,535"	37	3	5
More than one out-of-school suspension total	"59,137"	100	386	0.7	"58,751"	99.3	"1,400"	2.4	186	0.3	"5,323"	9.1	"33,082"	56.3	"16,694"	28.4	31	0.1	"2,035"	3.5	"1,784"	3	"2,535"	37	3	5
One or more out-of-school suspensions on males	"90,643"	70.2	650	0.5	"89,993"	69.7	"2,188"	1.7	495	0.4	"9,381"	7.3	"43,672"	34	"30,999"	24.2	57	0	"3,201"	2.5	"3,424"	2.7	"2,535"	37	3	5
One or more out-of-school suspensions on females	"38,425"	29.8	156	0.1	"38,269"	29.7	"1,040"	0.8	137	0.1	"3,456"	2.7	"22,225"	17.3	"9,905"	7.7	25	0	"1,481"	1.2	"1,015"	0.8	"2,535"	37	3	5
One or more out-of-school suspensions total	"129,068"	100	806	0.6	"128,262"	99.4	"3,228"	2.5	632	0.5	"12,837"	10	"65,897"	51.4	"40,904"	31.9	82	0.1	"4,682"	3.7	"4,439"	3.4	"2,535"	37	3	5
Expulsions with educational services on males	254	79.1	DS	0.6	252	78.5	4	1.3	0	0	25	7.9	93	29.3	119	37.5	DS	0.6	9	2.8	8	2.5	"2,535"	37	3	5
Expulsions with educational services on females	67	20.9	DS	0.6	65	20.2	4	1.3	0	0	4	1.3	23	7.3	32	10.1	0	0	DS	0.6	DS	0.6	"2,535"	37	3	5
Expulsions with educational services total	321	100	4	1.2	317	98.8	8	2.5	0	0	29	9.1	116	36.6	151	47.6	DS	0.6	11	3.5	10	3.1	"2,535"	37	3	5
Expulsions without educational services on males	248	75.2	0	0	248	75.2	7	2.1	0	0	23	7	107	32.6	99	30.2	0	0	12	3.7	6	1.8	"2,535"	37	3	5
Expulsions without educational services on females	82	24.8	DS	0.6	80	24.2	4	1.2	DS	0.6	4	1.2	24	7.3	44	13.4	0	0	DS	0.6	4	1.2	"2,535"	37	3	5
Expulsions without educational services total	330	100	DS	0.6	328	99.4	11	3.4	DS	0.6	27	8.2	131	39.9	143	43.6	0	0	14	4.3	10	3	"2,535"	37	3	5
Expulsions with or without educational services on males	497	76.8	DS	0.3	495	76.5	11	1.7	0	0	47	7.3	198	30.8	217	33.7	DS	0.3	20	3.1	14	2.2	"2,535"	37	3	5
Expulsions with or without educational services on females	150	23.2	DS	0.3	148	22.9	10	1.6	DS	0.3	11	1.7	46	7.2	77	12	0	0	DS	0.3	4	0.6	"2,535"	37	3	5
Expulsions with or without educational services total	647	100	4	0.6	643	99.4	21	3.3	DS	0.3	58	9	244	37.9	294	45.7	DS	0.3	22	3.4	18	2.8	"2,535"	37	3	5
Expulsions under zero-tolerance policies on males	93	76.2	DS	1.6	91	74.6	7	5.9	0	0	19	16.1	20	16.9	39	33.1	DS	1.7	4	3.4	6	4.9	"2,535"	37	3	5
Expulsions under zero-tolerance policies on females	29	23.8	DS	1.6	27	22.1	4	3.4	0	0	DS	1.7	5	4.2	14	11.9	0	0	DS	1.7	0	0	"2,535"	37	3	5
Expulsions under zero-tolerance policies total	122	100	4	3.3	118	96.7	11	9.3	0	0	21	17.8	25	21.2	53	44.9	DS	1.7	6	5.1	6	4.9	"2,535"	37	3	5
Referral to law enforcement on males	"6,967"	74.6	66	0.7	"6,901"	73.9	337	3.6	49	0.5	632	6.8	"2,641"	28.5	"2,958"	31.9	7	0.1	277	3	263	2.8	"2,535"	37	3	5
Referral to law enforcement on females	"2,375"	25.4	15	0.2	"2,360"	25.3	162	1.7	11	0.1	178	1.9	"1,079"	11.7	843	9.1	DS	0	85	0.9	53	0.6	"2,535"	37	3	5
Referral to law enforcement total	"9,342"	100	81	0.9	"9,261"	99.1	499	5.4	60	0.6	810	8.7	"3,720"	40.2	"3,801"	41	9	0.1	362	3.9	316	3.4	"2,535"	37	3	5
School-related arrests on males	"1,080"	71.6	19	1.3	"1,061"	70.4	106	7.2	8	0.5	105	7.1	406	27.5	405	27.4	0	0	31	2.1	37	2.5	"2,535"	37	3	5
School-related arrests on females	428	28.4	12	0.8	416	27.6	58	3.9	DS	0.1	29	2	183	12.4	136	9.2	0	0	8	0.5	12	0.8	"2,535"	37	3	5
School-related arrests total	"1,508"	100	31	2.1	"1,477"	97.9	164	11.1	10	0.7	134	9.1	589	39.9	541	36.6	0	0	39	2.6	49	3.2	"2,535"	37	3	5
