"Table 233.60. Percentage of public schools with various safety and security measures, by selected school characteristics: 2015-16   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School characteristic,Total schools,,,,Percent of schools with safety and security measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Controlled access,,,,"Student dress, IDs, and school supplies",,,,,,,,,,,,,,,"Metal detectors, dogs, and sweeps",,,,,,,,,,,,Used security cameras to monitor the school,,
"  20 percent to less than
     50 percent ...........","21,900",(800),26.2,(0.94),93.3,(1.30),45.4,(3.11),7.9,,(1.35),44.2,,(2.87),4.7,,(0.62),73.8,,(2.19),2.7,,(0.56),2.7,,(0.71),‡,#DIV/0!,(†),23.6,,(1.95),9.4,,(1.26),84.0,,(2.10)
  50 percent or more ..........................,"35,100","(1,110)",42.0,(1.32),94.7,(0.88),64.3,(2.09),43.6,,(2.48),66.8,,(2.08),11.1,,(1.14),64.2,,(2.55),5.3,,(0.77),8.3,,(0.99),4.1,,(0.71),18.4,,(1.34),12.1,,(1.17),76.9,,(1.81)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Percent of students
   eligible for free or
   reduced-price lunch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  0 to 25 percent .........................................,"13,900",(920),16.6,(1.10),94.3,(1.69),43.6,(2.95),8.4,,(2.14),36.5,,(3.45),7.2,,(1.41),77.9,,(3.12),2.0,!,(0.77),1.1,!,(0.56),‡,#DIV/0!,(†),18.1,,(1.93),5.5,,(0.88),78.2,,(3.35)
  26 to 50 percent ............................................,"23,400","(1,070)",28.0,(1.28),93.5,(1.14),40.6,(3.00),6.2,,(1.32),42.8,,(2.87),4.0,,(0.54),69.8,,(2.57),2.5,,(0.52),1.6,!,(0.47),‡,#DIV/0!,(†),30.3,,(1.91),12.0,,(1.38),83.0,,(1.97)
  51 to 75 percent .........................................,"23,000","(1,100)",27.6,(1.30),92.9,(1.66),50.8,(3.17),17.8,,(2.31),57.6,,(2.35),8.5,,(1.12),65.8,,(3.02),3.2,,(0.70),3.8,,(0.54),1.0,!,(0.38),30.3,,(2.23),14.1,,(1.63),83.3,,(2.52)
  76 to 100 percent ..........................................,"23,300","(1,120)",27.9,(1.34),95.7,(0.89),62.0,(2.67),48.3,,(3.05),68.7,,(2.91),8.2,,(1.23),61.9,,(3.29),7.1,,(1.13),10.0,,(1.46),5.4,,(1.04),16.9,,(1.60),13.4,,(1.52),77.1,,(2.49)
†Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‡Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\1\Access to buildings is controlled during school hours (e.g., by locked or monitored doors).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\2\Access to grounds is controlled during school hours (e.g., by locked or monitored gates).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\3\All students must pass through a metal detector each day.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\4\Examples of contraband include drugs and weapons. The ""sweeps"" category does not include dog sniffs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\5\Primary schools are defined as schools in which the lowest grade is not higher than grade 3 and the highest grade is not higher than grade 8. Middle schools are defined as schools in which the lowest grade is not lower than grade 4 and the highest grade is not higher than grade 9. High schools are defined as schools in which the lowest grade is not lower than grade 9 and the highest grade is not higher than grade 12. Combined schools include all other combinations of grades, including K–12 schools.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Responses were provided by the principal or the person most knowledgeable about crime and safety issues at the school. Detail may not sum to totals because of rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, 2015–16 School Survey on Crime and Safety (SSOCS), 2016. (This table was prepared September 2017.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
