Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions with educational services on females	14	17.5	0	0	0	0	DS	2.5	0	0	12	15	0	0	0	0	0	0	"1,458"	19	2	4
Expulsions with educational services total	80	100	DS	2.5	DS	2.5	11	13.8	8	10	55	68.8	0	0	DS	2.5	4	5	"1,458"	19	2	4
Expulsions without educational services on males	53	84.1	DS	3.2	DS	3.2	5	7.9	8	12.7	34	54	0	0	DS	3.2	6	9.5	"1,458"	19	2	4
Expulsions without educational services on females	10	15.9	0	0	0	0	DS	3.2	DS	3.2	6	9.5	0	0	0	0	0	0	"1,458"	19	2	4
Expulsions without educational services total	63	100	DS	3.2	DS	3.2	7	11.1	10	15.9	40	63.5	0	0	DS	3.2	6	9.5	"1,458"	19	2	4
Expulsions with or without educational services on males	116	84.1	DS	1.4	4	2.9	14	10.1	16	11.6	76	55.1	0	0	4	2.9	10	7.2	"1,458"	19	2	4
Expulsions with or without educational services on females	22	15.9	0	0	0	0	DS	1.4	DS	1.4	18	13	0	0	0	0	0	0	"1,458"	19	2	4
Expulsions with or without educational services total	138	100	DS	1.4	4	2.9	16	11.6	18	13	94	68.1	0	0	4	2.9	10	7.2	"1,458"	19	2	4
Expulsions under zero-tolerance policies on males	70	75.3	0	0	DS	2.2	10	10.8	6	6.5	48	51.6	DS	2.2	DS	2.2	8	8.6	"1,458"	19	2	4
Expulsions under zero-tolerance policies on females	23	24.7	0	0	0	0	DS	2.2	DS	2.2	19	20.4	0	0	0	0	0	0	"1,458"	19	2	4
Expulsions under zero-tolerance policies total	93	100	0	0	DS	2.2	12	12.9	8	8.6	67	72	DS	2.2	DS	2.2	8	8.6	"1,458"	19	2	4
Referral to law enforcement on males	"1,019"	69.7	7	0.5	7	0.5	118	8.1	135	9.2	725	49.6	DS	0.1	25	1.7	61	4.2	"1,458"	19	2	4
Referral to law enforcement on females	444	30.3	5	0.3	6	0.4	56	3.8	61	4.2	301	20.6	0	0	15	1	31	2.1	"1,458"	19	2	4
Referral to law enforcement total	"1,463"	100	12	0.8	13	0.9	174	11.9	196	13.4	"1,026"	70.1	DS	0.1	40	2.7	92	6.3	"1,458"	19	2	4
School-related arrests on males	327	66.6	DS	0.4	DS	0.4	42	8.6	53	10.8	211	43	DS	0.4	15	3.1	20	4.1	"1,458"	19	2	4
School-related arrests on females	164	33.4	0	0	DS	0.4	24	4.9	28	5.7	102	20.8	DS	0.4	6	1.2	11	2.2	"1,458"	19	2	4
School-related arrests total	491	100	DS	0.4	4	0.8	66	13.4	81	16.5	313	63.7	4	0.8	21	4.3	31	6.3	"1,458"	19	2	4
