County,2000 Live Births,2000 Teen Unmarried Births,2000 Percentage,2010 Live Births,2010 Teen Unmarried Births,2010 Percentage,2000-2010 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Delaware,227,12,5.30%,192,14,7.30%,37.90%,19_028,19,2,4,,
Des Moines,555,71,12.80%,468,51,10.90%,-14.80%,19_029,19,2,4,,
Dickinson,159,13,8.20%,145,14,9.70%,18.10%,19_030,19,2,4,,
Dubuque,"1,221",83,6.80%,"1,193",71,6.00%,-12.50%,19_031,19,2,4,,
Emmet,126,15,11.90%,114,11,9.60%,-18.90%,19_032,19,2,4,,
Fayette,233,19,8.20%,218,19,8.70%,6.90%,19_033,19,2,4,,
Floyd,199,11,5.50%,177,19,10.70%,94.20%,19_034,19,2,4,,
Franklin,113,12,10.60%,140,15,10.70%,0.90%,19_035,19,2,4,,
Fremont,82,4,4.90%,82,7,8.50%,75.00%,19_036,19,2,4,,
Greene,92,11,12.00%,108,16,14.80%,23.90%,19_037,19,2,4,,
Grundy,133,6,4.50%,144,5,3.50%,-23.00%,19_038,19,2,4,,
Guthrie,134,10,7.50%,86,C,N/A,N/A,19_039,19,2,4,,
Hamilton,192,17,8.90%,157,9,5.70%,-35.30%,19_040,19,2,4,,
Hancock,131,9,6.90%,108,7,6.50%,-5.70%,19_041,19,2,4,,
Hardin,208,19,9.10%,199,13,6.50%,-28.50%,19_042,19,2,4,,
Harrison,193,15,7.80%,154,14,9.10%,17.00%,19_043,19,2,4,,
Henry,264,23,8.70%,240,17,7.10%,-18.70%,19_044,19,2,4,,
Howard,110,6,5.50%,108,7,6.50%,18.80%,19_045,19,2,4,,
Humboldt,99,6,6.10%,111,6,5.40%,-10.80%,19_046,19,2,4,,
Ida,70,5,7.10%,83,5,6.00%,-15.70%,19_047,19,2,4,,
Iowa,183,17,9.30%,184,4,2.20%,-76.60%,19_048,19,2,4,,
Jackson,239,22,9.20%,174,14,8.00%,-12.60%,19_049,19,2,4,,
Jasper,458,33,7.20%,415,30,7.20%,0.30%,19_050,19,2,4,,
Jefferson,145,10,6.90%,129,9,7.00%,1.20%,19_051,19,2,4,,
Johnson,"1,382",55,4.00%,"1,792",63,3.50%,-11.70%,19_052,19,2,4,,
Jones,227,14,6.20%,227,15,6.60%,7.10%,19_053,19,2,4,,
Keokuk,154,14,9.10%,113,8,7.10%,-22.10%,19_054,19,2,4,,
Kossuth,166,10,6.00%,179,9,5.00%,-16.50%,19_055,19,2,4,,
Lee,410,42,10.20%,385,41,10.60%,4.00%,19_056,19,2,4,,
Linn,"2,715",180,6.60%,"2,761",169,6.10%,-7.70%,19_057,19,2,4,,
Louisa,164,7,4.30%,134,12,9.00%,109.80%,19_058,19,2,4,,
Lucas,119,10,8.40%,113,11,9.70%,15.80%,19_059,19,2,4,,
Lyon,159,6,3.80%,174,C,N/A,N/A,19_119,19,2,4,,
Madison,196,10,5.10%,205,11,5.40%,5.20%,19_121,19,2,4,,
Mahaska,283,31,11.00%,292,16,5.50%,-50.00%,19_123,19,2,4,,
Marion,383,23,6.00%,374,18,4.80%,-19.90%,19_125,19,2,4,,
Marshall,556,73,13.10%,557,68,12.20%,-7.00%,19_127,19,2,4,,
Mills,155,15,9.70%,155,8,5.20%,-46.70%,19_129,19,2,4,,
Mitchell,131,4,3.10%,145,5,3.40%,12.90%,19_131,19,2,4,,
Monona,98,13,13.30%,90,7,7.80%,-41.40%,19_133,19,2,4,,
Monroe,102,8,7.80%,98,10,10.20%,30.10%,19_135,19,2,4,,
Montgomery,139,7,5.00%,107,16,15.00%,196.90%,19_137,19,2,4,,
Muscatine,638,80,12.50%,572,47,8.20%,-34.50%,19_139,19,2,4,,
O'Brien,187,16,8.60%,176,22,12.50%,46.10%,19_141,19,2,4,,
Osceola,73,5,6.80%,59,5,8.50%,23.70%,19_143,19,2,4,,
Page,169,17,10.10%,156,17,10.90%,8.30%,19_145,19,2,4,,
Palo Alto,110,13,11.80%,101,5,5.00%,-58.10%,19_147,19,2,4,,
Plymouth,309,26,8.40%,265,6,2.30%,-73.10%,19_149,19,2,4,,
Pocahontas,73,4,5.50%,69,4,5.80%,5.80%,19_151,19,2,4,,
Polk,"6,216",517,8.30%,"6,521",424,6.50%,-21.80%,19_153,19,2,4,,
Pottawattamie,"1,184",140,11.80%,"1,321",133,10.10%,-14.90%,19_155,19,2,4,,
Poweshiek,212,19,9.00%,207,14,6.80%,-24.50%,19_157,19,2,4,,
Ringgold,69,5,7.20%,54,0,0.00%,-100.00%,19_159,19,2,4,,
Sac,135,6,4.40%,96,6,6.30%,40.60%,19_161,19,2,4,,
Scott,"2,348",258,11.00%,"2,101",197,9.40%,-14.70%,19_163,19,2,4,,
Shelby,150,12,8.00%,117,5,4.30%,-46.60%,19_165,19,2,4,,
Sioux,457,22,4.80%,527,25,4.70%,-1.50%,19_167,19,2,4,,
Story,940,32,3.40%,945,25,2.60%,-22.30%,19_169,19,2,4,,
Tama,251,24,9.60%,211,19,9.00%,-5.80%,19_171,19,2,4,,
Taylor,87,8,9.20%,78,4,5.10%,-44.20%,19_173,19,2,4,,
Union,127,8,6.30%,147,9,6.10%,-2.80%,19_175,19,2,4,,
Van Buren,97,11,11.30%,106,6,5.70%,-50.10%,19_177,19,2,4,,
Wapello,424,56,13.20%,454,59,13.00%,-1.60%,19_179,19,2,4,,
Warren,513,37,7.20%,523,31,5.90%,-17.80%,19_181,19,2,4,,
Washington,290,13,4.50%,278,11,4.00%,-11.70%,19_183,19,2,4,,
Wayne,79,5,6.30%,79,C,N/A,N/A,19_185,19,2,4,,
Webster,492,51,10.40%,442,30,6.80%,-34.50%,19_187,19,2,4,,
Winnebago,134,13,9.70%,120,6,5.00%,-48.50%,19_189,19,2,4,,
Winneshiek,191,13,6.80%,166,C,N/A,N/A,19_191,19,2,4,,
Woodbury,"1,692",181,10.70%,"1,552",171,11.00%,3.00%,19_193,19,2,4,,
Worth,84,6,7.10%,71,6,8.50%,18.30%,19_195,19,2,4,,
Wright,168,12,7.10%,154,11,7.10%,0.00%,19_197,19,2,4,,
State,"38,250","3,201",8.40%,"38,514","2,718",7.10%,-15.70%,,19,2,4,,
Rural,"5,454",419,7.70%,"5,152",326,6.30%,-17.60%,,,,,,IA_Rural_Counties
Small Urban,"13,547","1,161",8.60%,"13,488",982,7.30%,-15.00%,,,,,,IA_Urban_Counties
Metropolitan,"19,249","1,621",8.40%,"19,874","1,410",7.10%,-15.80%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","377,675",9.30%,"4,131,019","362,490",8.80%,-5.80%,,,,,US_National,
