State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native 	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Pennsylvania		42	1	2	24	0	0	0	0	0	0	17	70.8	7	29.2	0	0	0	0	0	0	0	0	"3,220"
Rhode Island		44	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291
South Carolina		45	3	5	66	0	0	4	6.1	DS	3	50	75.8	8	12.1	DS	3	0	0	0	0	DS	3	"1,219"
South Dakota		46	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668
Tennessee		47	3	6	9	0	0	0	0	0	0	7	77.8	DS	22.2	0	0	0	0	0	0	0	0	"1,802"
Texas		48	3	7	186	DS	1.1	0	0	96	51.6	65	34.9	21	11.3	0	0	DS	1.1	DS	1.1	12	6.5	"8,472"
Utah		49	4	8	DS	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	0	0	0	0	981
Vermont		50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295
Virginia		51	3	5	4	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	DS	50	0	0	"1,984"
Washington		53	4	9	120	5	4.2	0	0	23	19.2	DS	1.7	88	73.3	0	0	DS	1.7	0	0	0	0	"2,256"
West Virginia		54	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733
Wisconsin		55	2	3	120	DS	1.7	DS	1.7	4	3.3	DS	1.7	108	90	0	0	DS	1.7	0	0	0	0	"2,242"
Wyoming		56	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349
