Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions with educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions with educational services total	6	100	0	0	6	100	DS	33.3	0	0	0	0	0	0	4	66.7	0	0	0	0	0	0	291	44	1	1
Expulsions without educational services on males	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions without educational services total	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions with or without educational services on males	8	100	0	0	8	100	DS	25	0	0	0	0	0	0	6	75	0	0	0	0	0	0	291	44	1	1
Expulsions with or without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions with or without educational services total	8	100	0	0	8	100	DS	25	0	0	0	0	0	0	6	75	0	0	0	0	0	0	291	44	1	1
Expulsions under zero-tolerance policies on males	5	100	0	0	5	100	0	0	0	0	0	0	0	0	5	100	0	0	0	0	0	0	291	44	1	1
Expulsions under zero-tolerance policies on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions under zero-tolerance policies total	5	100	0	0	5	100	0	0	0	0	0	0	0	0	5	100	0	0	0	0	0	0	291	44	1	1
Referral to law enforcement on males	228	68.1	DS	0.6	226	67.5	6	1.8	4	1.2	17	5.1	13	3.9	182	54.7	0	0	4	1.2	DS	0.6	291	44	1	1
Referral to law enforcement on females	107	31.9	0	0	107	31.9	4	1.2	0	0	6	1.8	10	3	85	25.5	0	0	DS	0.6	DS	0.6	291	44	1	1
Referral to law enforcement total	335	100	DS	0.6	333	99.4	10	3	4	1.2	23	6.9	23	6.9	267	80.2	0	0	6	1.8	4	1.2	291	44	1	1
School-related arrests on males	94	65.3	0	0	94	65.3	DS	1.4	0	0	10	6.9	7	4.9	73	50.7	0	0	DS	1.4	0	0	291	44	1	1
School-related arrests on females	50	34.7	0	0	50	34.7	0	0	DS	1.4	6	4.2	5	3.5	35	24.3	0	0	DS	1.4	0	0	291	44	1	1
School-related arrests total	144	100	0	0	144	100	DS	1.4	DS	1.4	16	11.1	12	8.3	108	75	0	0	4	2.8	0	0	291	44	1	1
