,2000,2000,,2012-16,2012-16,,
Pottawattamie,"11,779","3,720",31.60%,"11,096","4,525",40.80%,29.10%
Poweshiek,"2,203",533,24.20%,"2,009",680,33.80%,39.90%
Ringgold,644,138,21.40%,491,155,31.60%,47.30%
Sac,"1,382",283,20.50%,"1,034",295,28.50%,39.30%
Scott,"21,884","6,700",30.60%,"20,803","6,927",33.30%,8.80%
Shelby,"1,716",324,18.90%,"1,288",267,20.70%,9.80%
Sioux,"3,989",421,10.60%,"4,400",898,20.40%,93.40%
Story,"8,194","1,544",18.80%,"8,751","1,935",22.10%,17.30%
Tama,"2,343",570,24.30%,"1,967",634,32.20%,32.50%
Taylor,827,161,19.50%,823,212,25.80%,32.30%
Union,"1,505",417,27.70%,"1,582",499,31.50%,13.80%
Van Buren,948,209,22.00%,781,182,23.30%,5.70%
Wapello,"4,530","1,353",29.90%,"4,355","1,607",36.90%,23.50%
Warren,"5,790","1,243",21.50%,"6,465","2,052",31.70%,47.80%
Washington,"2,618",493,18.80%,"2,715",797,29.40%,55.90%
Wayne,809,188,23.20%,698,213,30.50%,31.30%
Webster,"5,016","1,470",29.30%,"4,085","1,716",42.00%,43.30%
Winnebago,"1,482",327,22.10%,"1,251",291,23.30%,5.40%
Winneshiek,"2,438",392,16.10%,"2,135",359,16.80%,4.60%
Woodbury,"14,083","4,287",30.40%,"13,351","5,578",41.80%,37.20%
Worth,"1,025",228,22.20%,888,308,34.70%,55.90%
Wright,"1,740",380,21.80%,"1,460",531,36.40%,66.50%
,,,,,,,
State,"376,433","93,861",24.90%,"369,593","116,114",31.40%,26.00%
,,,,,,,
Rural,"60,632","12,652",20.90%,"52,116","14,552",27.90%,33.80%
Small Urban,"144,779","34,141",23.60%,"134,967","41,062",30.40%,29.00%
Metropolitan,"171,022","47,068",27.50%,"182,510","60,500",33.10%,20.40%
,,,,,,,
United States,"37,451,314","11,334,210",30.30%,"37,149,436","12,917,960",34.80%,14.90%
