Retained in grade 9,South Dakota,340 ,115 ,33.8 ,1 to 3,0.6 ,27 ,7.9 ,21 ,6.2 ,159 ,46.8 ,0 ,0.0 ,16 ,4.7 ,59 ,17.4 ,7 ,2.1 ,20 ,5.9 ,33 ,100.0 
Retained in grade 9,Tennessee,"2,876 ",5 ,0.2 ,28 ,1.0 ,401 ,13.9 ,"1,440 ",50.1 ,969 ,33.7 ,1 to 3,0.0 ,32 ,1.1 ,587 ,20.4 ,33 ,1.1 ,208 ,7.2 ,163 ,100.0 
Retained in grade 9,Texas,"19,198 ",82 ,0.4 ,208 ,1.1 ,"11,933 ",62.2 ,"3,334 ",17.4 ,"3,416 ",17.8 ,20 ,0.1 ,205 ,1.1 ,"3,364 ",17.5 ,"1,224 ",6.4 ,"3,268 ",17.0 ,"1,205 ",100.0 
Retained in grade 9,Utah,260 ,1 to 3,0.4 ,5 ,1.9 ,43 ,16.5 ,7 ,2.7 ,198 ,76.2 ,1 to 3,1.2 ,1 to 3,1.2 ,58 ,22.3 ,20 ,7.7 ,7 ,2.7 ,25 ,100.0 
Retained in grade 9,Vermont,120 ,1 to 3,1.7 ,1 to 3,1.7 ,1 to 3,0.8 ,7 ,5.8 ,108 ,90.0 ,0 ,0.0 ,0 ,0.0 ,28 ,23.3 ,9 ,7.5 ,1 to 3,1.7 ,28 ,100.0 
Retained in grade 9,Virginia,"4,336 ",22 ,0.5 ,76 ,1.8 ,832 ,19.2 ,"1,913 ",44.1 ,"1,365 ",31.5 ,1 to 3,0.1 ,125 ,2.9 ,"1,188 ",27.4 ,152 ,3.5 ,636 ,14.7 ,301 ,100.0 
Retained in grade 9,Washington,"1,254 ",43 ,3.4 ,52 ,4.1 ,318 ,25.4 ,109 ,8.7 ,589 ,47.0 ,31 ,2.5 ,112 ,8.9 ,307 ,24.5 ,57 ,4.5 ,107 ,8.5 ,112 ,100.0 
Retained in grade 9,West Virginia,804 ,1 to 3,0.2 ,1 to 3,0.2 ,12 ,1.5 ,67 ,8.3 ,706 ,87.8 ,0 ,0.0 ,15 ,1.9 ,118 ,14.7 ,29 ,3.6 ,5 ,0.6 ,71 ,100.0 
Retained in grade 9,Wisconsin,"1,195 ",18 ,1.5 ,15 ,1.3 ,212 ,17.7 ,703 ,58.8 ,238 ,19.9 ,0 ,0.0 ,9 ,0.8 ,473 ,39.6 ,14 ,1.2 ,92 ,7.7 ,116 ,100.0 
Retained in grade 9,Wyoming,50 ,22 ,44.0 ,0 ,0.0 ,4 ,8.0 ,1 to 3,4.0 ,19 ,38.0 ,0 ,0.0 ,1 to 3,6.0 ,8 ,16.0 ,1 to 3,6.0 ,4 ,8.0 ,16 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads (for US Totals):  Of all 128,953 public school male students retained in grade 9, 1,458 (1.1%) were American Indian or Alaska Native, 28,370 (22.0%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 4,324 (3.4%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1 to 3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that a midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,
,            Data reported in this table represent 100.0% of responding schools.,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2013-14, available at http://ocrdata.ed.gov. Data notes are available on the Data Notes page, under Additional Resources at http://ocrdata.ed.gov/DataNotes. ",,,,,,,,,,,,,,,,,,,,,,,
