County,2000 Live Births,2000 Teen Unmarried Births,2000 Percentage,2009 Live Births,2009 Teen Unmarried Births,2009 Percentage,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Hancock,131,9,6.90%,105,8,7.60%,10.90%,19_041,19,2,4,,
Hardin,208,19,9.10%,173,16,9.20%,1.20%,19_042,19,2,4,,
Harrison,193,15,7.80%,173,11,6.40%,-18.20%,19_043,19,2,4,,
Henry,264,23,8.70%,217,16,7.40%,-15.40%,19_044,19,2,4,,
Howard,110,6,5.50%,134,10,7.50%,36.80%,19_045,19,2,4,,
Humboldt,99,6,6.10%,111,12,10.80%,78.40%,19_046,19,2,4,,
Ida,70,5,7.10%,106,9,8.50%,18.90%,19_047,19,2,4,,
Iowa,183,17,9.30%,204,10,4.90%,-47.20%,19_048,19,2,4,,
Jackson,239,22,9.20%,219,18,8.20%,-10.70%,19_049,19,2,4,,
Jasper,458,33,7.20%,389,29,7.50%,3.50%,19_050,19,2,4,,
Jefferson,145,10,6.90%,150,16,10.70%,54.70%,19_051,19,2,4,,
Johnson,"1,382",55,4.00%,"1,711",53,3.10%,-22.20%,19_052,19,2,4,,
Jones,227,14,6.20%,200,10,5.00%,-18.90%,19_053,19,2,4,,
Keokuk,154,14,9.10%,118,5,4.20%,-53.40%,19_054,19,2,4,,
Kossuth,166,10,6.00%,156,10,6.40%,6.40%,19_055,19,2,4,,
Lee,410,42,10.20%,439,51,11.60%,13.40%,19_056,19,2,4,,
Linn,"2,715",180,6.60%,"2,900",214,7.40%,11.30%,19_057,19,2,4,,
Louisa,164,7,4.30%,114,18,15.80%,269.90%,19_058,19,2,4,,
Lucas,119,10,8.40%,95,5,5.30%,-37.40%,19_059,19,2,4,,
Lyon,159,6,3.80%,156,C,N/A,N/A,19_119,19,2,4,,
Madison,196,10,5.10%,200,9,4.50%,-11.80%,19_121,19,2,4,,
Mahaska,283,31,11.00%,301,26,8.60%,-21.10%,19_123,19,2,4,,
Marion,383,23,6.00%,420,29,6.90%,15.00%,19_125,19,2,4,,
Marshall,556,73,13.10%,589,55,9.30%,-28.90%,19_127,19,2,4,,
Mills,155,15,9.70%,169,16,9.50%,-2.20%,19_129,19,2,4,,
Mitchell,131,4,3.10%,112,C,N/A,N/A,19_131,19,2,4,,
Monona,98,13,13.30%,82,4,4.90%,-63.20%,19_133,19,2,4,,
Monroe,102,8,7.80%,78,8,10.30%,30.80%,19_135,19,2,4,,
Montgomery,139,7,5.00%,117,10,8.50%,69.70%,19_137,19,2,4,,
Muscatine,638,80,12.50%,596,61,10.20%,-18.40%,19_139,19,2,4,,
O'Brien,187,16,8.60%,169,10,5.90%,-30.80%,19_141,19,2,4,,
Osceola,73,5,6.80%,66,4,6.10%,-11.50%,19_143,19,2,4,,
Page,169,17,10.10%,200,25,12.50%,24.30%,19_145,19,2,4,,
Palo Alto,110,13,11.80%,92,4,4.30%,-63.20%,19_147,19,2,4,,
Plymouth,309,26,8.40%,310,19,6.10%,-27.20%,19_149,19,2,4,,
Pocahontas,73,4,5.50%,69,7,10.10%,85.10%,19_151,19,2,4,,
Polk,"6,216",517,8.30%,"6,690",477,7.10%,-14.30%,19_153,19,2,4,,
Pottawattamie,"1,184",140,11.80%,"1,303",129,9.90%,-16.30%,19_155,19,2,4,,
Poweshiek,212,19,9.00%,191,11,5.80%,-35.70%,19_157,19,2,4,,
Ringgold,69,5,7.20%,64,4,6.30%,-13.80%,19_159,19,2,4,,
Sac,135,6,4.40%,106,4,3.80%,-15.10%,19_161,19,2,4,,
Scott,"2,348",258,11.00%,"2,339",250,10.70%,-2.70%,19_163,19,2,4,,
Shelby,150,12,8.00%,120,9,7.50%,-6.30%,19_165,19,2,4,,
Sioux,457,22,4.80%,522,21,4.00%,-16.40%,19_167,19,2,4,,
Story,940,32,3.40%,990,39,3.90%,15.70%,19_169,19,2,4,,
Tama,251,24,9.60%,205,25,12.20%,27.50%,19_171,19,2,4,,
Taylor,87,8,9.20%,48,5,10.40%,13.30%,19_173,19,2,4,,
Union,127,8,6.30%,138,18,13.00%,107.10%,19_175,19,2,4,,
Van Buren,97,11,11.30%,95,7,7.40%,-35.00%,19_177,19,2,4,,
Wapello,424,56,13.20%,504,63,12.50%,-5.40%,19_179,19,2,4,,
Warren,513,37,7.20%,537,28,5.20%,-27.70%,19_181,19,2,4,,
Washington,290,13,4.50%,243,22,9.10%,102.00%,19_183,19,2,4,,
Wayne,79,5,6.30%,81,4,4.90%,-22.00%,19_185,19,2,4,,
Webster,492,51,10.40%,449,52,11.60%,11.70%,19_187,19,2,4,,
Winnebago,134,13,9.70%,102,9,8.80%,-9.00%,19_189,19,2,4,,
Winneshiek,191,13,6.80%,195,10,5.10%,-24.70%,19_191,19,2,4,,
Woodbury,"1,692",181,10.70%,"1,600",191,11.90%,11.60%,19_193,19,2,4,,
Worth,84,6,7.10%,83,4,4.80%,-32.50%,19_195,19,2,4,,
Wright,168,12,7.10%,160,20,12.50%,75.00%,19_197,19,2,4,,
State,"38,250","3,201",8.40%,"39,662","3,095",7.80%,-6.80%,,19,2,4,,
Rural,"5,650",429,7.60%,"5,500",397,7.20%,-4.90%,,,,,,IA_Rural_Counties
Small Urban,"13,351","1,151",8.60%,"13,666","1,101",8.10%,-6.50%,,,,,,IA_Urban_Counties
Metropolitan,"19,249","1,621",8.40%,"20,496","1,597",7.80%,-7.50%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","377,675",9.30%,"4,317,119","386,702",9.00%,-3.80%,,,,,US_National,
