State	Nation_ID	State_ID	Region_ID	Division_ID	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Kentucky		21	3	6	306	0	0	DS	0.7	12	3.9	32	10.5	251	82	0	0	9	2.9	31	10.1	7	2.3	DS	0.7	441
Louisiana		22	3	7	"1,363"	7	0.5	DS	0.1	57	4.2	715	52.5	570	41.8	DS	0.1	10	0.7	188	13.8	101	7.4	22	1.6	520
Maine		23	1	1	27	DS	7.4	0	0	0	0	0	0	25	92.6	0	0	0	0	5	18.5	DS	7.4	0	0	206
Maryland		24	3	5	590	0	0	4	0.7	57	9.7	402	68.1	114	19.3	5	0.8	8	1.4	157	26.6	39	6.6	13	2.2	392
Massachusetts		25	1	1	480	DS	0.4	21	4.4	147	30.6	139	29	148	30.8	DS	0.4	21	4.4	120	25	21	4.4	77	16	489
Michigan		26	2	3	750	8	1.1	DS	0.3	35	4.7	349	46.5	346	46.1	0	0	10	1.3	105	14	DS	0.3	18	2.4	"1,058"
Minnesota		27	2	4	117	8	6.8	DS	1.7	4	3.4	15	12.8	82	70.1	0	0	6	5.1	31	26.5	0	0	10	8.5	707
Mississippi		28	3	6	958	DS	0.2	6	0.6	21	2.2	556	58	371	38.7	DS	0.2	0	0	41	4.3	DS	0.2	6	0.6	320
Missouri		29	2	4	249	0	0	DS	0.8	38	15.3	98	39.4	109	43.8	0	0	DS	0.8	28	11.2	DS	0.8	5	2	765
Montana		30	4	8	16	11	68.8	0	0	0	0	0	0	5	31.3	0	0	0	0	DS	12.5	0	0	6	37.5	315
Nebraska		31	2	4	41	DS	4.9	0	0	DS	4.9	DS	4.9	33	80.5	0	0	DS	4.9	6	14.6	DS	4.9	0	0	333
Nevada		32	4	8	324	4	1.2	DS	0.6	159	49.1	63	19.4	78	24.1	4	1.2	14	4.3	39	12	9	2.8	63	19.4	166
New Hampshire		33	1	1	70	0	0	0	0	7	10	DS	2.9	59	84.3	0	0	DS	2.9	11	15.7	5	7.1	0	0	143
New Jersey		34	1	2	719	DS	0.3	16	2.2	267	37.1	258	35.9	167	23.2	0	0	9	1.3	62	8.6	19	2.6	46	6.4	774
New Mexico		35	4	8	116	32	27.6	0	0	60	51.7	DS	1.7	20	17.2	0	0	DS	1.7	12	10.3	DS	1.7	24	20.7	225
New York		36	1	2	"1,801"	18	1	55	3.1	497	27.6	793	44	418	23.2	4	0.2	16	0.9	328	18.2	43	2.4	219	12.2	"1,525"
North Carolina		37	3	5	901	13	1.4	17	1.9	92	10.2	408	45.3	336	37.3	0	0	35	3.9	139	15.4	43	4.8	44	4.9	713
North Dakota		38	2	4	21	13	61.9	0	0	DS	9.5	DS	9.5	4	19	0	0	0	0	DS	9.5	0	0	DS	9.5	188
Ohio		39	2	3	547	0	0	DS	0.4	27	4.9	234	42.8	252	46.1	0	0	32	5.9	57	10.4	11	2	14	2.6	"1,141"
Oklahoma		40	3	7	216	38	17.6	DS	0.9	30	13.9	20	9.3	119	55.1	0	0	7	3.2	38	17.6	0	0	5	2.3	589
Oregon		41	9	4	67	4	6	DS	3	11	16.4	DS	3	43	64.2	0	0	5	7.5	18	26.9	DS	3	DS	3	457
Pennsylvania		42	1	2	789	DS	0.3	5	0.6	72	9.1	224	28.4	471	59.7	0	0	15	1.9	139	17.6	13	1.6	13	1.6	965
Rhode Island		44	1	1	99	DS	2	DS	2	19	19.2	17	17.2	54	54.5	0	0	5	5.1	23	23.2	DS	2	DS	2	59
South Carolina		45	3	5	625	DS	0.3	DS	0.3	27	4.3	340	54.4	239	38.2	DS	0.3	13	2.1	91	14.6	13	2.1	9	1.4	334
South Dakota		46	2	4	22	16	72.7	0	0	0	0	0	0	6	27.3	0	0	0	0	DS	9.1	DS	9.1	DS	9.1	262
Tennessee		47	3	6	752	DS	0.3	6	0.8	33	4.4	445	59.2	258	34.3	DS	0.3	6	0.8	100	13.3	13	1.7	26	3.5	605
Texas		48	3	7	"5,178"	15	0.3	85	1.6	"3,019"	58.3	639	12.3	"1,329"	25.7	8	0.2	83	1.6	917	17.7	220	4.2	670	12.9	"2,414"
Utah		49	4	8	189	6	3.2	DS	1.1	26	13.8	6	3.2	145	76.7	DS	1.1	DS	1.1	55	29.1	DS	1.1	7	3.7	260
Vermont		50	1	1	10	0	0	0	0	0	0	0	0	10	100	0	0	0	0	DS	20	DS	20	0	0	120
Virginia		51	3	5	778	DS	0.3	10	1.3	65	8.4	390	50.1	286	36.8	0	0	25	3.2	218	28	23	3	41	5.3	477
Washington		53	4	9	91	8	8.8	DS	2.2	26	28.6	4	4.4	45	49.5	DS	2.2	4	4.4	11	12.1	5	5.5	8	8.8	650
West Virginia		54	3	5	216	DS	0.9	0	0	DS	0.9	14	6.5	194	89.8	DS	0.9	DS	0.9	18	8.3	DS	0.9	DS	0.9	207
Wisconsin		55	2	3	119	0	0	4	3.4	14	11.8	60	50.4	41	34.5	0	0	0	0	30	25.2	0	0	5	4.2	693
Wyoming		56	4	8	15	0	0	0	0	6	40	0	0	9	60	0	0	0	0	DS	13.3	0	0	DS	13.3	97
