Franklin,"10,704",94,0.90%,"10,548",95,0.90%,2.60%
Fremont,"8,010",181,2.30%,"7,080",77,1.10%,-51.90%
Greene,"10,366",148,1.40%,"9,139",102,1.10%,-21.80%
Grundy,"12,369",66,0.50%,"12,314",68,0.60%,3.50%
Guthrie,"11,353",134,1.20%,"10,687",81,0.80%,-35.80%
Hamilton,"16,438",183,1.10%,"15,312",146,1.00%,-14.40%
Hancock,"12,100",88,0.70%,"11,094",47,0.40%,-41.70%
Hardin,"18,812",239,1.30%,"17,441",231,1.30%,4.30%
Harrison,"15,666",181,1.20%,"14,431",118,0.80%,-29.20%
Henry,"20,336",219,1.10%,"20,222",231,1.10%,6.10%
Howard,"9,932",101,1.00%,"9,526",64,0.70%,-33.90%
Humboldt,"10,381",123,1.20%,"9,688",77,0.80%,-32.90%
Ida,"7,837",65,0.80%,"7,141",35,0.50%,-40.90%
Iowa,"15,671",108,0.70%,"16,330",72,0.40%,-36.00%
Jackson,"20,296",274,1.40%,"19,587",223,1.10%,-15.70%
Jasper,"37,213",459,1.20%,"36,641",534,1.50%,18.20%
Jefferson,"16,181",287,1.80%,"16,810",164,1.00%,-45.00%
Johnson,"111,006","1,057",1.00%,"139,155","1,256",0.90%,-5.20%
Jones,"20,221",225,1.10%,"20,611",139,0.70%,-39.40%
Keokuk,"11,400",198,1.70%,"10,329",117,1.10%,-34.80%
,Total Family,,Total,Family,2000-2013,,
County,Population Investment,Percentage,Population,Change Investment Percentage,,,
Kossuth,"17,163 145",0.80%,"15,321",99 0.6%,-23.50%,,
Lee,"38,052 1,164",3.10%,"35,682",514 1.4%,-52.90%,,
Linn,"191,701 3,162",1.60%,"216,111","2,387 1.1%",-33.00%,,
Louisa,"12,183 277",2.30%,"11,282",102 0.9%,-60.20%,,
Lucas,"9,422 219",2.30%,"8,746",90 1.0%,-55.70%,,
Lyon,"11,763 91",0.80%,"11,712",49 0.4%,-45.90%,,
Madison,"14,019 98",0.70%,"15,448",103 0.7%,-4.60%,,
Mahaska,"22,335 435",1.90%,"22,417",335 1.5%,-23.30%,,
Marion,"32,052 332",1.00%,"33,252",284 0.9%,-17.50%,,
Marshall,"39,311 899",2.30%,"40,994",639 1.6%,-31.80%,,
Mills,"14,547 270",1.90%,"14,896",118 0.8%,-57.30%,,
Mitchell,"10,874 52",0.50%,"10,709",38 0.4%,-25.80%,,
Monona,"10,020 96",1.00%,"9,121",43 0.5%,-50.80%,,
Monroe,"8,016 141",1.80%,"8,012",85 1.1%,-39.70%,,
Montgomery,"11,771 238",2.00%,"10,424",180 1.7%,-14.60%,,
Muscatine,"41,722 1,104",2.60%,"42,836",641 1.5%,-43.40%,,
O'Brien,"15,102 110",0.70%,"14,044",118 0.8%,15.40%,,
Osceola,"7,003 46",0.70%,"6,211",37 0.6%,-9.30%,,
Page,"16,976 432",2.50%,"15,713",171 1.1%,-57.20%,,
Palo Alto,"10,147 68",0.70%,"9,185",81 0.9%,31.60%,,
Plymouth,"24,849 186",0.70%,"24,957",88 0.4%,-52.90%,,
Pocahontas,"8,662 127",1.50%,"7,154",82 1.1%,-21.80%,,
Polk,"374,601 7,873",2.10%,"451,677","6,242 1.4%",-34.20%,,
Pottawattamie,"87,704 2,225",2.50%,"92,728","1,514 1.6%",-35.60%,,
Poweshiek,"18,815 192",1.00%,"18,601",145 0.8%,-23.60%,,
Ringgold,"5,469 71",1.30%,"5,072",43 0.8%,-34.70%,,
Sac,"11,529 101",0.90%,"10,071",48 0.5%,-45.60%,,
Scott,"158,668 5,632",3.50%,"170,385","3,521 2.1%",-41.80%,,
Shelby,"13,173 122",0.90%,"11,961",70 0.6%,-36.80%,,
Sioux,"31,589 177",0.60%,"34,547",127 0.4%,-34.40%,,
Story,"79,981 597",0.70%,"92,406",467 0.5%,-32.30%,,
Tama,"18,103 211",1.20%,"17,576",153 0.9%,-25.30%,,
Taylor,"6,958 88",1.30%,"6,161",56 0.9%,-28.10%,,
Union,"12,309 176",1.40%,"12,583",156 1.2%,-13.30%,,
Van Buren,"7,809 131",1.70%,"7,436",60 0.8%,-51.90%,,
Wapello,"36,051 1,237",3.40%,"35,391",914 2.6%,-24.70%,,
Warren,"40,671 357",0.90%,"47,336",280 0.6%,-32.60%,,
Washington,"20,670 259",1.30%,"22,015",142 0.6%,-48.50%,,
Wayne,"6,730 164",2.40%,"6,402",73 1.1%,-53.20%,,
Webster,"40,235 1,053",2.60%,"37,044",630 1.7%,-35.00%,,
Winnebago,"11,723 88",0.80%,"10,554",63 0.6%,-20.50%,,
Winneshiek,"21,310 116",0.50%,"20,994",104 0.5%,-9.00%,,
Woodbury,"103,877 2,318",2.20%,"102,130","1,426 1.4%",-37.40%,,
Worth,"7,909 28",0.40%,"7,541",44 0.6%,64.80%,,
Wright,"-0.2% 14,334 144",1.00%,"12,972",130 1.0%,,,
State,"2,926,324 51,844",-34.1% 1.8%,"3,090,416","36,063 1.2%",,,
Rural,"482,942 5,276",1.10%,"456,317","3,438 0.8%",-31.00%,,
Small Urban,"1,118,689 18,176",1.60%,"1,141,264","12,162 1.1%",-34.40%,,
Metropolitan,"1,324,693 28,392",-36.0% 2.1%,"1,492,835","20,463 1.4%",,,
United States,"281,421,906 5,778,034",2.10%,"316,128,839","3,712,912 1.2%",-42.80%,,
