Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	States_ID	Region_ID	Division_ID
Expulsions without educational services total	157	100	9	5.7	148	94.3	DS	1.4	DS	1.4	45	30.4	24	16.2	63	42.6	DS	1.4	10	6.8	14	8.9	"1,811"	8	4	8
Expulsions with or without educational services on males	344	88.4	17	4.4	327	84.1	8	2.2	DS	0.5	129	34.7	49	13.2	129	34.7	0	0	10	2.7	37	9.5	"1,811"	8	4	8
Expulsions with or without educational services on females	45	11.6	0	0	45	11.6	DS	0.5	0	0	18	4.8	8	2.2	13	3.5	DS	0.5	DS	0.5	4	1	"1,811"	8	4	8
Expulsions with or without educational services total	389	100	17	4.4	372	95.6	10	2.7	DS	0.5	147	39.5	57	15.3	142	38.2	DS	0.5	12	3.2	41	10.5	"1,811"	8	4	8
Expulsions under zero-tolerance policies on males	110	91.7	5	4.2	105	87.5	DS	1.7	0	0	42	36.5	13	11.3	43	37.4	0	0	5	4.3	11	9.2	"1,811"	8	4	8
Expulsions under zero-tolerance policies on females	10	8.3	0	0	10	8.3	DS	1.7	0	0	6	5.2	0	0	DS	1.7	0	0	0	0	DS	1.7	"1,811"	8	4	8
Expulsions under zero-tolerance policies total	120	100	5	4.2	115	95.8	4	3.5	0	0	48	41.7	13	11.3	45	39.1	0	0	5	4.3	13	10.8	"1,811"	8	4	8
Referral to law enforcement on males	891	80.1	29	2.6	862	77.5	12	1.1	11	1	312	29	91	8.4	411	38.2	0	0	25	2.3	103	9.3	"1,811"	8	4	8
Referral to law enforcement on females	221	19.9	6	0.5	215	19.3	4	0.4	DS	0.2	80	7.4	29	2.7	90	8.4	0	0	10	0.9	26	2.3	"1,811"	8	4	8
Referral to law enforcement total	"1,112"	100	35	3.1	"1,077"	96.9	16	1.5	13	1.2	392	36.4	120	11.1	501	46.5	0	0	35	3.2	129	11.6	"1,811"	8	4	8
School-related arrests on males	49	96.1	DS	3.9	47	92.2	DS	4.1	0	0	15	30.6	DS	4.1	28	57.1	0	0	0	0	DS	3.9	"1,811"	8	4	8
School-related arrests on females	DS	3.9	0	0	DS	3.9	0	0	0	0	0	0	0	0	DS	4.1	0	0	0	0	0	0	"1,811"	8	4	8
School-related arrests total	51	100	DS	3.9	49	96.1	DS	4.1	0	0	15	30.6	DS	4.1	30	61.2	0	0	0	0	DS	3.9	"1,811"	8	4	8
