Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
One or more out-of-school suspensions on males	"17,195"	71.5	73	0.3	"17,122"	71.2	8	0	26	0.1	173	0.7	"1,681"	7	"15,038"	62.7	DS	0	194	0.8	43	0.2	733	54	3	5
One or more out-of-school suspensions on females	"6,862"	28.5	17	0.1	"6,845"	28.5	4	0	11	0	52	0.2	889	3.7	"5,818"	24.3	DS	0	69	0.3	15	0.1	733	54	3	5
One or more out-of-school suspensions total	"24,057"	100	90	0.4	"23,967"	99.6	12	0.1	37	0.2	225	0.9	"2,570"	10.7	"20,856"	87	4	0	263	1.1	58	0.2	733	54	3	5
Expulsions with educational services on males	500	76.2	DS	0.3	498	75.9	0	0	DS	0.3	7	1.1	39	6	448	68.5	0	0	DS	0.3	DS	0.3	733	54	3	5
Expulsions with educational services on females	156	23.8	0	0	156	23.8	0	0	0	0	DS	0.3	15	2.3	137	20.9	0	0	DS	0.3	0	0	733	54	3	5
Expulsions with educational services total	656	100	DS	0.3	654	99.7	0	0	DS	0.3	9	1.4	54	8.3	585	89.4	0	0	4	0.6	DS	0.3	733	54	3	5
Expulsions without educational services on males	18	90	0	0	18	90	0	0	0	0	0	0	DS	10	16	80	0	0	0	0	0	0	733	54	3	5
Expulsions without educational services on females	DS	10	0	0	DS	10	0	0	0	0	0	0	0	0	DS	10	0	0	0	0	0	0	733	54	3	5
Expulsions without educational services total	20	100	0	0	20	100	0	0	0	0	0	0	DS	10	18	90	0	0	0	0	0	0	733	54	3	5
Expulsions with or without educational services on males	517	76.8	DS	0.3	515	76.5	0	0	DS	0.3	6	0.9	40	6	465	69.3	0	0	DS	0.3	DS	0.3	733	54	3	5
Expulsions with or without educational services on females	156	23.2	0	0	156	23.2	0	0	0	0	DS	0.3	14	2.1	138	20.6	0	0	DS	0.3	0	0	733	54	3	5
Expulsions with or without educational services total	673	100	DS	0.3	671	99.7	0	0	DS	0.3	8	1.2	54	8	603	89.9	0	0	4	0.6	DS	0.3	733	54	3	5
Expulsions under zero-tolerance policies on males	144	73.8	DS	1	142	72.8	0	0	0	0	5	2.6	12	6.2	125	64.8	0	0	0	0	DS	1	733	54	3	5
Expulsions under zero-tolerance policies on females	51	26.2	0	0	51	26.2	0	0	0	0	0	0	4	2.1	45	23.3	0	0	DS	1	0	0	733	54	3	5
Expulsions under zero-tolerance policies total	195	100	DS	1	193	99	0	0	0	0	5	2.6	16	8.3	170	88.1	0	0	DS	1	DS	1	733	54	3	5
Referral to law enforcement on males	627	78.6	DS	0.3	625	78.3	0	0	0	0	6	0.8	35	4.4	582	73.1	0	0	DS	0.3	DS	0.3	733	54	3	5
Referral to law enforcement on females	171	21.4	0	0	171	21.4	0	0	0	0	DS	0.3	10	1.3	159	20	0	0	0	0	0	0	733	54	3	5
Referral to law enforcement total	798	100	DS	0.3	796	99.7	0	0	0	0	8	1	45	5.7	741	93.1	0	0	DS	0.3	DS	0.3	733	54	3	5
School-related arrests on males	58	77.3	DS	2.7	56	74.7	0	0	0	0	DS	2.7	10	13.7	42	57.5	0	0	DS	2.7	0	0	733	54	3	5
School-related arrests on females	17	22.7	0	0	17	22.7	0	0	0	0	DS	2.7	0	0	15	20.5	0	0	0	0	0	0	733	54	3	5
School-related arrests total	75	100	DS	2.7	73	97.3	0	0	0	0	4	5.5	10	13.7	57	78.1	0	0	DS	2.7	0	0	733	54	3	5
