Disciplinary Action,Number of Students With and Without Disabilities,Percent Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
More than one out-of-school suspension for females,"69,974",28.6,50,0,"69,924",28.6,282,0.1,228,0.1,"15,756",6.5,"33,455",13.7,"17,765",7.3,45,0,"2,393",1,"1,441",0.6,"3,886",12,3,5
More than one out-of-school suspension total,"244,290",100,372,0.2,"243,918",99.8,898,0.4,886,0.4,"59,067",24.2,"98,558",40.4,"76,374",31.3,142,0.1,"7,993",3.3,"5,859",2.4,"3,886",12,3,5
One or more out-of-school suspensions for males,"217,352",70.1,489,0.2,"216,863",70,772,0.2,"1,051",0.3,"54,304",17.6,"78,845",25.5,"74,763",24.2,143,0,"6,985",2.3,"7,685",2.5,"3,886",12,3,5
One or more out-of-school suspensions for females,"92,575",29.9,84,0,"92,491",29.8,354,0.1,339,0.1,"21,464",6.9,"42,623",13.8,"24,567",7.9,62,0,"3,082",1,"2,614",0.8,"3,886",12,3,5
One or more out-of-school suspensions total,"309,927",100,573,0.2,"309,354",99.8,"1,126",0.4,"1,390",0.4,"75,768",24.5,"121,468",39.3,"99,330",32.1,205,0.1,"10,067",3.3,"10,299",3.3,"3,886",12,3,5
Expulsions with educational services for males,376,78.5,13,2.7,363,75.8,4,0.9,DS,0.4,87,18.7,68,14.6,183,39.3,0,0,19,4.1,4,0.8,"3,886",12,3,5
Expulsions with educational services for females,103,21.5,0,0,103,21.5,0,0,0,0,44,9.4,21,4.5,33,7.1,0,0,5,1.1,0,0,"3,886",12,3,5
Expulsions with educational services total,479,100,13,2.7,466,97.3,4,0.9,DS,0.4,131,28.1,89,19.1,216,46.4,0,0,24,5.2,4,0.8,"3,886",12,3,5
Expulsions without educational services for males,378,75,DS,0.4,376,74.6,DS,0.4,DS,0.4,75,15,124,24.8,151,30.2,DS,0.4,20,4,20,4,"3,886",12,3,5
Expulsions without educational services for females,126,25,DS,0.4,124,24.6,DS,0.4,0,0,15,3,57,11.4,46,9.2,0,0,4,0.8,4,0.8,"3,886",12,3,5
Expulsions without educational services total,504,100,4,0.8,500,99.2,4,0.8,DS,0.4,90,18,181,36.2,197,39.4,DS,0.4,24,4.8,24,4.8,"3,886",12,3,5
Expulsions with or without educational services for males,752,76.6,14,1.4,738,75.2,4,0.4,4,0.4,162,16.8,192,19.9,335,34.7,DS,0.2,39,4,25,2.5,"3,886",12,3,5
Expulsions with or without educational services for females,230,23.4,DS,0.2,228,23.2,DS,0.2,0,0,60,6.2,78,8.1,79,8.2,0,0,9,0.9,4,0.4,"3,886",12,3,5
Expulsions with or without educational services total,982,100,16,1.6,966,98.4,6,0.6,4,0.4,222,23,270,28,414,42.9,DS,0.2,48,5,29,3,"3,886",12,3,5
Expulsions under zero-tolerance policies for males,215,86.3,21,8.4,194,77.9,4,1.8,0,0,39,17.3,61,27,82,36.3,0,0,8,3.5,8,3.2,"3,886",12,3,5
Expulsions under zero-tolerance policies for females,34,13.7,DS,0.8,32,12.9,0,0,0,0,8,3.5,14,6.2,10,4.4,0,0,0,0,DS,0.8,"3,886",12,3,5
Expulsions under zero-tolerance policies total,249,100,23,9.2,226,90.8,4,1.8,0,0,47,20.8,75,33.2,92,40.7,0,0,8,3.5,10,4,"3,886",12,3,5
Referral to law enforcement for males,"20,671",70.3,38,0.1,"20,633",70.1,111,0.4,165,0.6,"4,927",16.8,"7,222",24.6,"7,589",25.8,6,0,613,2.1,738,2.5,"3,886",12,3,5
Referral to law enforcement for females,"8,752",29.7,6,0,"8,746",29.7,45,0.2,43,0.1,"1,877",6.4,"3,719",12.7,"2,745",9.3,5,0,312,1.1,215,0.7,"3,886",12,3,5
Referral to law enforcement total,"29,423",100,44,0.1,"29,379",99.9,156,0.5,208,0.7,"6,804",23.2,"10,941",37.2,"10,334",35.2,11,0,925,3.1,953,3.2,"3,886",12,3,5
School-related arrests for males,"1,778",73.8,9,0.4,"1,769",73.4,10,0.4,16,0.7,575,24,694,29,434,18.1,0,0,40,1.7,91,3.8,"3,886",12,3,5
School-related arrests for females,631,26.2,6,0.2,625,25.9,4,0.2,6,0.3,164,6.9,293,12.2,131,5.5,0,0,27,1.1,18,0.7,"3,886",12,3,5
School-related arrests total,"2,409",100,15,0.6,"2,394",99.4,14,0.6,22,0.9,739,30.9,987,41.2,565,23.6,0,0,67,2.8,109,4.5,"3,886",12,3,5
