Mitchell,359,7,1.90%,368,*,*,*
Monona,304,16,5.30%,245,*,*,*
Monroe,282,12,4.30%,243,*,*,*
Montgomery,405,8,2.00%,365,7,1.90%,-2.90%
Muscatine,"1,478",100,6.80%,"1,336",26,1.90%,-71.20%
O'Brien,552,22,4.00%,399,11,2.80%,-30.80%
Osceola,253,*,*,148,*,*,*
Page,562,21,3.70%,457,15,3.30%,-12.20%
Palo Alto,447,14,3.10%,248,*,*,*
Plymouth,961,28,2.90%,867,9,1.00%,-64.40%
Pocahontas,313,*,*,199,*,*,*
Polk,"12,454",603,4.80%,"14,144",320,2.30%,-53.30%
Pottawattamie,"3,284",164,5.00%,"3,042",77,2.50%,-49.30%
Poweshiek,827,22,2.70%,911,*,*,*
Ringgold,192,7,3.60%,167,*,*,*
Sac,398,6,1.50%,390,*,*,*
Scott,"5,777",271,4.70%,"5,377",126,2.30%,-50.00%
Shelby,474,14,3.00%,404,*,*,*
Sioux,"1,825",36,2.00%,"1,561",24,1.50%,-22.10%
Story,"4,427",50,1.10%,"5,122",16,0.30%,-72.30%
Tama,634,28,4.40%,576,12,2.10%,-52.80%
Taylor,240,13,5.40%,174,*,*,*
Union,457,7,1.50%,425,7,1.60%,7.50%
Van Buren,256,14,5.50%,205,6,2.90%,-46.50%
Wapello,"1,214",64,5.30%,"1,128",35,3.10%,-41.10%
Warren,"1,628",41,2.50%,"1,873",20,1.10%,-57.60%
Washington,691,19,2.70%,705,9,1.30%,-53.60%
Wayne,243,11,4.50%,240,*,*,*
Webster,"1,452",62,4.30%,"1,339",30,2.20%,-47.50%
Winnebago,485,15,3.10%,333,*,*,*
Winneshiek,"1,190",15,1.30%,"1,184",*,*,*
Woodbury,"3,906",212,5.40%,"3,550",92,2.60%,-52.30%
Worth,257,6,2.30%,226,*,*,*
Wright,456,17,3.70%,286,11,3.80%,3.20%
,,,,,,,
State,"110,644","3,783",3.40%,"104,468","1,783",1.70%,-50.10%
,,,,,,,
Rural,"17,095",529,3.10%,"13,721",223,1.60%,-47.50%
Small Urban,"41,667","1,397",3.40%,"37,744",645,1.70%,-49.00%
Metropolitan,"51,882","1,857",3.60%,"53,003",915,1.70%,-51.80%
,,,,,,,
United States,"9,828,886","470,506",4.80%,"10,311,036","229,936",2.20%,-53.40%
