Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions with educational services total	992	100	0	0	992	100	20	2	4	0.4	82	8.3	199	20.1	666	67.1	DS	0.2	19	1.9	34	3.4	"2,242"	55	2	3
Expulsions without educational services on males	725	70.7	DS	0.2	723	70.5	12	1.2	8	0.8	71	6.9	179	17.5	442	43.2	DS	0.2	9	0.9	26	2.5	"2,242"	55	2	3
Expulsions without educational services on females	301	29.3	0	0	301	29.3	10	1	DS	0.2	19	1.9	83	8.1	182	17.8	0	0	5	0.5	7	0.7	"2,242"	55	2	3
Expulsions without educational services total	"1,026"	100	DS	0.2	"1,024"	99.8	22	2.1	10	1	90	8.8	262	25.6	624	60.9	DS	0.2	14	1.4	33	3.2	"2,242"	55	2	3
Expulsions with or without educational services on males	"1,449"	71.8	DS	0.1	"1,447"	71.7	26	1.3	11	0.5	138	6.8	334	16.6	916	45.4	DS	0.1	20	1	55	2.7	"2,242"	55	2	3
Expulsions with or without educational services on females	570	28.2	0	0	570	28.2	15	0.7	DS	0.1	35	1.7	129	6.4	374	18.5	DS	0.1	13	0.6	11	0.5	"2,242"	55	2	3
Expulsions with or without educational services total	"2,019"	100	DS	0.1	"2,017"	99.9	41	2	13	0.6	173	8.6	463	23	"1,290"	64	4	0.2	33	1.6	66	3.3	"2,242"	55	2	3
Expulsions under zero-tolerance policies on males	526	68.1	0	0	526	68.1	11	1.4	DS	0.3	38	4.9	38	4.9	431	55.8	0	0	6	0.8	14	1.8	"2,242"	55	2	3
Expulsions under zero-tolerance policies on females	246	31.9	0	0	246	31.9	9	1.2	DS	0.3	9	1.2	12	1.6	212	27.5	0	0	DS	0.3	DS	0.3	"2,242"	55	2	3
Expulsions under zero-tolerance policies total	772	100	0	0	772	100	20	2.6	4	0.5	47	6.1	50	6.5	643	83.3	0	0	8	1	16	2.1	"2,242"	55	2	3
Referral to law enforcement on males	"5,321"	67.7	16	0.2	"5,305"	67.5	142	1.8	73	0.9	452	5.8	659	8.4	"3,840"	49	4	0.1	135	1.7	118	1.5	"2,242"	55	2	3
Referral to law enforcement on females	"2,536"	32.3	10	0.1	"2,526"	32.1	89	1.1	37	0.5	206	2.6	329	4.2	"1,784"	22.8	4	0.1	77	1	45	0.6	"2,242"	55	2	3
Referral to law enforcement total	"7,857"	100	26	0.3	"7,831"	99.7	231	2.9	110	1.4	658	8.4	988	12.6	"5,624"	71.8	8	0.1	212	2.7	163	2.1	"2,242"	55	2	3
School-related arrests on males	"1,564"	71.4	DS	0.1	"1,562"	71.3	25	1.1	30	1.4	132	6	190	8.7	"1,154"	52.8	DS	0.1	29	1.3	38	1.7	"2,242"	55	2	3
School-related arrests on females	627	28.6	DS	0.1	625	28.5	16	0.7	7	0.3	59	2.7	58	2.7	473	21.6	0	0	12	0.5	16	0.7	"2,242"	55	2	3
School-related arrests total	"2,191"	100	4	0.2	"2,187"	99.8	41	1.9	37	1.7	191	8.7	248	11.3	"1,627"	74.4	DS	0.1	41	1.9	54	2.5	"2,242"	55	2	3
