Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Pacific Islander Students Without Disabilities	Percent of Hawaiian or other Pacific Islander Students Without Disabilities	Number Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions with educational services on males	"1,031"	80.9	29	2.3	12	0.9	438	34.4	113	8.9	411	32.2	4	0.3	24	1.9	106	8.3	"1,811"	8	4	8
Expulsions with educational services on females	244	19.1	5	0.4	DS	0.2	93	7.3	38	3	98	7.7	0	0	8	0.6	19	1.5	"1,811"	8	4	8
Expulsions with educational services total	"1,275"	100	34	2.7	14	1.1	531	41.6	151	11.8	509	39.9	4	0.3	32	2.5	125	9.8	"1,811"	8	4	8
Expulsions without educational services on males	409	78.5	7	1.3	5	1	175	33.6	51	9.8	155	29.8	0	0	16	3.1	45	8.6	"1,811"	8	4	8
Expulsions without educational services on females	112	21.5	DS	0.4	DS	0.4	45	8.6	16	3.1	39	7.5	DS	0.4	6	1.2	6	1.2	"1,811"	8	4	8
Expulsions without educational services total	521	100	9	1.7	7	1.3	220	42.2	67	12.9	194	37.2	DS	0.4	22	4.2	51	9.8	"1,811"	8	4	8
Expulsions with or without educational services on males	"1,438"	80.1	36	2	17	0.9	609	33.9	166	9.2	565	31.5	4	0.2	41	2.3	151	8.4	"1,811"	8	4	8
Expulsions with or without educational services on females	358	19.9	6	0.3	6	0.3	139	7.7	54	3	137	7.6	DS	0.1	14	0.8	25	1.4	"1,811"	8	4	8
Expulsions with or without educational services total	"1,796"	100	42	2.3	23	1.3	748	41.6	220	12.2	702	39.1	6	0.3	55	3.1	176	9.8	"1,811"	8	4	8
Expulsions under zero-tolerance policies on males	375	85.2	7	1.6	DS	0.5	154	35	25	5.7	170	38.6	DS	0.5	15	3.4	48	10.9	"1,811"	8	4	8
Expulsions under zero-tolerance policies on females	65	14.8	DS	0.5	DS	0.5	27	6.1	5	1.1	29	6.6	0	0	0	0	5	1.1	"1,811"	8	4	8
Expulsions under zero-tolerance policies total	440	100	9	2	4	0.9	181	41.1	30	6.8	199	45.2	DS	0.5	15	3.4	53	12	"1,811"	8	4	8
Referral to law enforcement on males	"3,468"	68.2	70	1.4	56	1.1	"1,399"	27.5	258	5.1	"1,568"	30.9	12	0.2	105	2.1	379	7.5	"1,811"	8	4	8
Referral to law enforcement on females	"1,614"	31.8	23	0.5	13	0.3	771	15.2	145	2.9	615	12.1	4	0.1	43	0.8	125	2.5	"1,811"	8	4	8
Referral to law enforcement total	"5,082"	100	93	1.8	69	1.4	"2,170"	42.7	403	7.9	"2,183"	43	16	0.3	148	2.9	504	9.9	"1,811"	8	4	8
School-related arrests on males	118	74.7	5	3.2	DS	1.3	26	16.5	10	6.3	73	46.2	0	0	DS	1.3	0	0	"1,811"	8	4	8
School-related arrests on females	40	25.3	0	0	0	0	15	9.5	DS	1.3	21	13.3	0	0	DS	1.3	0	0	"1,811"	8	4	8
School-related arrests total	158	100	5	3.2	DS	1.3	41	25.9	12	7.6	94	59.5	0	0	4	2.5	0	0	"1,811"	8	4	8
