Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
One or more out-of-school suspensions on females	"4,208"	20.2	271	1.3	"3,937"	18.9	13	0.1	12	0.1	241	1.2	"2,215"	11.3	"1,333"	6.8	DS	0	121	0.6	100	0.5	"1,984"	51	3	5
One or more out-of-school suspensions total	"20,794"	100	"1,158"	5.6	"19,636"	94.4	74	0.4	112	0.6	"1,264"	6.4	"9,761"	49.7	"7,768"	39.6	12	0.1	645	3.3	598	2.9	"1,984"	51	3	5
Expulsions with educational services on males	241	82.8	10	3.4	231	79.4	DS	0.7	DS	0.7	21	7.5	110	39.4	92	33	0	0	4	1.4	19	6.5	"1,984"	51	3	5
Expulsions with educational services on females	50	17.2	DS	0.7	48	16.5	0	0	0	0	5	1.8	27	9.7	14	5	0	0	DS	0.7	4	1.4	"1,984"	51	3	5
Expulsions with educational services total	291	100	12	4.1	279	95.9	DS	0.7	DS	0.7	26	9.3	137	49.1	106	38	0	0	6	2.2	23	7.9	"1,984"	51	3	5
Expulsions without educational services on males	45	88.2	DS	3.9	43	84.3	0	0	0	0	4	8.2	25	51	14	28.6	0	0	0	0	DS	3.9	"1,984"	51	3	5
Expulsions without educational services on females	6	11.8	0	0	6	11.8	0	0	0	0	0	0	DS	4.1	DS	4.1	0	0	DS	4.1	0	0	"1,984"	51	3	5
Expulsions without educational services total	51	100	DS	3.9	49	96.1	0	0	0	0	4	8.2	27	55.1	16	32.7	0	0	DS	4.1	DS	3.9	"1,984"	51	3	5
Expulsions with or without educational services on males	287	84.2	12	3.5	275	80.6	DS	0.6	DS	0.6	25	7.6	135	41.3	107	32.7	0	0	4	1.2	19	5.6	"1,984"	51	3	5
Expulsions with or without educational services on females	54	15.8	DS	0.6	52	15.2	0	0	0	0	5	1.5	28	8.6	17	5.2	0	0	DS	0.6	4	1.2	"1,984"	51	3	5
Expulsions with or without educational services total	341	100	14	4.1	327	95.9	DS	0.6	DS	0.6	30	9.2	163	49.8	124	37.9	0	0	6	1.8	23	6.7	"1,984"	51	3	5
Expulsions under zero-tolerance policies on males	128	78.5	4	2.5	124	76.1	0	0	DS	1.3	17	10.8	51	32.5	52	33.1	0	0	DS	1.3	15	9.2	"1,984"	51	3	5
Expulsions under zero-tolerance policies on females	35	21.5	DS	1.2	33	20.2	0	0	0	0	11	7	DS	1.3	18	11.5	0	0	DS	1.3	8	4.9	"1,984"	51	3	5
Expulsions under zero-tolerance policies total	163	100	6	3.7	157	96.3	0	0	DS	1.3	28	17.8	53	33.8	70	44.6	0	0	4	2.5	23	14.1	"1,984"	51	3	5
Referral to law enforcement on males	"4,088"	82	160	3.2	"3,928"	78.8	15	0.3	31	0.6	273	5.7	"1,570"	32.8	"1,913"	40	4	0.1	122	2.6	146	2.9	"1,984"	51	3	5
Referral to law enforcement on females	899	18	43	0.9	856	17.2	4	0.1	DS	0	71	1.5	373	7.8	386	8.1	0	0	20	0.4	39	0.8	"1,984"	51	3	5
Referral to law enforcement total	"4,987"	100	203	4.1	"4,784"	95.9	19	0.4	33	0.7	344	7.2	"1,943"	40.6	"2,299"	48.1	4	0.1	142	3	185	3.7	"1,984"	51	3	5
School-related arrests on males	79	83.2	5	5.3	74	77.9	0	0	DS	2.3	DS	2.3	36	40.9	32	36.4	0	0	DS	2.3	DS	2.1	"1,984"	51	3	5
School-related arrests on females	16	16.8	DS	2.1	14	14.7	0	0	0	0	0	0	DS	2.3	12	13.6	0	0	0	0	0	0	"1,984"	51	3	5
School-related arrests total	95	100	7	7.4	88	92.6	0	0	DS	2.3	DS	2.3	38	43.2	44	50	0	0	DS	2.3	DS	2.1	"1,984"	51	3	5
