Year,State,Nation_ID,State_ID,Region_ID,Division_ID,Personnel Type,"Teachers (Highly Qualified)/Paraprofessionals (Qualified)","Teachers (Not Highly Qualified)/Paraprofessionals (Not Qualified)",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total
2011,Arkansas,,5,3,7,Interpreters,N/A,N/A,N/A,37.7,4,41.7
2011,Arkansas,,5,3,7,Medical/Nursing Service Staff,N/A,N/A,N/A,44.98,1.6,46.58
2011,Arkansas,,5,3,7,Occupational Therapists,N/A,N/A,N/A,285.5,1.42,286.92
2011,Arkansas,,5,3,7,Orientation and Mobility Specialists,N/A,N/A,N/A,10.03,4.2,14.23
2011,Arkansas,,5,3,7,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,3.17,0,3.17
2011,Arkansas,,5,3,7,Physical Therapists,N/A,N/A,N/A,150.93,1.3,152.23
2011,Arkansas,,5,3,7,Psychologists,N/A,N/A,N/A,192.19,3.24,195.43
2011,Arkansas,,5,3,7,Social Workers,N/A,N/A,N/A,6.19,1,7.19
2011,Arkansas,,5,3,7,Speech-Language Pathologists,N/A,N/A,N/A,N/A,N/A,N/A
2011,Arkansas,,5,3,7,Special Education Paraprofessionals for Ages 3-5,697.68,185.86,883.54,N/A,N/A,N/A
2011,Arkansas,,5,3,7,Special Education Paraprofessionals for Ages 6-21,2000.19,479.75,2479.94,N/A,N/A,N/A
2011,Arkansas,,5,3,7,Special Education Teachers for Ages 3-5,538.87,89.25,628.12,N/A,N/A,N/A
2011,Arkansas,,5,3,7,Special Education Teachers for Ages 6-21,3532.87,331.99,3864.86,N/A,N/A,N/A
2011,Arkansas,,5,3,7,Total Special Education Paraprofessionals,2697.87,665.61,3363.48,N/A,N/A,N/A
2011,Arkansas,,5,3,7,Total Special Education Teachers,4071.74,421.24,4492.98,N/A,N/A,N/A
2011,BIE Schools,AI_Territory_National,,,,Audiologists,N/A,N/A,N/A,10.71,0,10.71
2011,BIE Schools,AI_Territory_National,,,,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,65.02,2,67.02
2011,BIE Schools,AI_Territory_National,,,,Interpreters,N/A,N/A,N/A,2.01,1,3.01
2011,BIE Schools,AI_Territory_National,,,,Medical/Nursing Service Staff,N/A,N/A,N/A,18.09,1,19.09
2011,BIE Schools,AI_Territory_National,,,,Occupational Therapists,N/A,N/A,N/A,60.45,0.9,61.35
2011,BIE Schools,AI_Territory_National,,,,Orientation and Mobility Specialists,N/A,N/A,N/A,2.49,0,2.49
2011,BIE Schools,AI_Territory_National,,,,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,21.46,1,22.46
2011,BIE Schools,AI_Territory_National,,,,Physical Therapists,N/A,N/A,N/A,39.53,0.2,39.73
2011,BIE Schools,AI_Territory_National,,,,Psychologists,N/A,N/A,N/A,78.9,0.4,79.3
2011,BIE Schools,AI_Territory_National,,,,Social Workers,N/A,N/A,N/A,33.05,4.35,37.4
2011,BIE Schools,AI_Territory_National,,,,Speech-Language Pathologists,N/A,N/A,N/A,122.51,1.8,124.31
2011,BIE Schools,AI_Territory_National,,,,Special Education Paraprofessionals for Ages 3-5,46.26,7,53.26,N/A,N/A,N/A
2011,BIE Schools,AI_Territory_National,,,,Special Education Paraprofessionals for Ages 6-21,670.37,26.5,696.87,N/A,N/A,N/A
2011,BIE Schools,AI_Territory_National,,,,Special Education Teachers for Ages 3-5,44.51,1,45.51,N/A,N/A,N/A
2011,BIE Schools,AI_Territory_National,,,,Special Education Teachers for Ages 6-21,477.47,13.5,490.97,N/A,N/A,N/A
2011,BIE Schools,AI_Territory_National,,,,Total Special Education Paraprofessionals,716.63,33.5,750.13,N/A,N/A,N/A
2011,BIE Schools,AI_Territory_National,,,,Total Special Education Teachers,521.98,14.5,536.48,N/A,N/A,N/A
2011,California,,6,4,9,Audiologists,N/A,N/A,N/A,110.3,N/A,110.3
2011,California,,6,4,9,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,695.43,31.9,727.33
2011,California,,6,4,9,Interpreters,N/A,N/A,N/A,681.12,26.23,707.35
2011,California,,6,4,9,Medical/Nursing Service Staff,N/A,N/A,N/A,1983.59,57.06,2040.65
2011,California,,6,4,9,Occupational Therapists,N/A,N/A,N/A,1021.18,14.46,1035.64
2011,California,,6,4,9,Orientation and Mobility Specialists,N/A,N/A,N/A,464.39,6.17,470.56
2011,California,,6,4,9,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,1067.49,10.76,1078.25
2011,California,,6,4,9,Physical Therapists,N/A,N/A,N/A,155.77,0,155.77
2011,California,,6,4,9,Psychologists,N/A,N/A,N/A,4713.69,32.26,4745.95
2011,California,,6,4,9,Social Workers,N/A,N/A,N/A,303.38,0,303.38
2011,California,,6,4,9,Speech-Language Pathologists,N/A,N/A,N/A,5982.21,167.32,6149.53
2011,California,,6,4,9,Special Education Paraprofessionals for Ages 3-5,4128.24,97.8,4226.04,N/A,N/A,N/A
2011,California,,6,4,9,Special Education Paraprofessionals for Ages 6-21,48300.18,724.53,49024.71,N/A,N/A,N/A
2011,California,,6,4,9,Special Education Teachers for Ages 3-5,2276.78,41.36,2318.14,N/A,N/A,N/A
2011,California,,6,4,9,Special Education Teachers for Ages 6-21,20756.67,932.36,21689.03,N/A,N/A,N/A
2011,California,,6,4,9,Total Special Education Paraprofessionals,52428.42,822.33,53250.75,N/A,N/A,N/A
2011,California,,6,4,9,Total Special Education Teachers,23033.45,973.72,24007.17,N/A,N/A,N/A
2011,Colorado,,8,4,8,Audiologists,N/A,N/A,N/A,56.91,3.81,60.72
2011,Colorado,,8,4,8,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,38.66,19.1,57.76
2011,Colorado,,8,4,8,Interpreters,N/A,N/A,N/A,133.96,27.64,161.6
2011,Colorado,,8,4,8,Medical/Nursing Service Staff,N/A,N/A,N/A,242.92,35.94,278.86
2011,Colorado,,8,4,8,Occupational Therapists,N/A,N/A,N/A,312.2,13.78,325.98
2011,Colorado,,8,4,8,Orientation and Mobility Specialists,N/A,N/A,N/A,7.14,1.09,8.23
2011,Colorado,,8,4,8,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,24.81,0.25,25.06
2011,Colorado,,8,4,8,Physical Therapists,N/A,N/A,N/A,87.55,6.18,93.73
2011,Colorado,,8,4,8,Psychologists,N/A,N/A,N/A,634.73,28.31,663.04
2011,Colorado,,8,4,8,Social Workers,N/A,N/A,N/A,315.31,22.41,337.72
2011,Colorado,,8,4,8,Speech-Language Pathologists,N/A,N/A,N/A,955.44,51.53,1006.97
2011,Colorado,,8,4,8,Special Education Paraprofessionals for Ages 3-5,348.24,0,348.24,N/A,N/A,N/A
2011,Colorado,,8,4,8,Special Education Paraprofessionals for Ages 6-21,6047.96,0,6047.96,N/A,N/A,N/A
2011,Colorado,,8,4,8,Special Education Teachers for Ages 3-5,329.35,68.54,397.89,N/A,N/A,N/A
2011,Colorado,,8,4,8,Special Education Teachers for Ages 6-21,4479.32,322.39,4801.71,N/A,N/A,N/A
2011,Colorado,,8,4,8,Total Special Education Paraprofessionals,6396.2,0,6396.2,N/A,N/A,N/A
2011,Colorado,,8,4,8,Total Special Education Teachers,4808.67,390.93,5199.6,N/A,N/A,N/A
2011,Connecticut,,9,1,1,Audiologists,N/A,N/A,N/A,74.7,0,74.7
2011,Connecticut,,9,1,1,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,302.7,0,302.7
2011,Connecticut,,9,1,1,Interpreters,N/A,N/A,N/A,N/A,N/A,N/A
2011,Connecticut,,9,1,1,Medical/Nursing Service Staff,N/A,N/A,N/A,N/A,N/A,N/A
2011,Connecticut,,9,1,1,Occupational Therapists,N/A,N/A,N/A,N/A,N/A,N/A
2011,Connecticut,,9,1,1,Orientation and Mobility Specialists,N/A,N/A,N/A,19.9,0,19.9
2011,Connecticut,,9,1,1,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,1736.8,0,1736.8
2011,Connecticut,,9,1,1,Physical Therapists,N/A,N/A,N/A,N/A,N/A,N/A
2011,Connecticut,,9,1,1,Psychologists,N/A,N/A,N/A,613.4,0,613.4
2011,Connecticut,,9,1,1,Social Workers,N/A,N/A,N/A,445.3,0,445.3
2011,Connecticut,,9,1,1,Speech-Language Pathologists,N/A,N/A,N/A,1040.3,0,1040.3
2011,Connecticut,,9,1,1,Special Education Paraprofessionals for Ages 3-5,1189.8,0,1189.8,N/A,N/A,N/A
2011,Connecticut,,9,1,1,Special Education Paraprofessionals for Ages 6-21,8502.2,0,8502.2,N/A,N/A,N/A
2011,Connecticut,,9,1,1,Special Education Teachers for Ages 3-5,488.8,0,488.8,N/A,N/A,N/A
2011,Connecticut,,9,1,1,Special Education Teachers for Ages 6-21,5307.4,17.6,5325,N/A,N/A,N/A
2011,Connecticut,,9,1,1,Total Special Education Paraprofessionals,9692,0,9692,N/A,N/A,N/A
2011,Connecticut,,9,1,1,Total Special Education Teachers,5796.2,17.6,5813.8,N/A,N/A,N/A
2011,Delaware,,10,3,5,Audiologists,N/A,N/A,N/A,33,0,33
2011,Delaware,,10,3,5,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,773,1,774
2011,Delaware,,10,3,5,Interpreters,N/A,N/A,N/A,0,0,0
2011,Delaware,,10,3,5,Medical/Nursing Service Staff,N/A,N/A,N/A,255,0,255
2011,Delaware,,10,3,5,Occupational Therapists,N/A,N/A,N/A,9,0,9
2011,Delaware,,10,3,5,Orientation and Mobility Specialists,N/A,N/A,N/A,0,0,0
2011,Delaware,,10,3,5,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,780,2,782
2011,Delaware,,10,3,5,Physical Therapists,N/A,N/A,N/A,7,0,7
2011,Delaware,,10,3,5,Psychologists,N/A,N/A,N/A,194,0,194
2011,Delaware,,10,3,5,Social Workers,N/A,N/A,N/A,38,0,38
2011,Delaware,,10,3,5,Speech-Language Pathologists,N/A,N/A,N/A,233,0,233
2011,Delaware,,10,3,5,Special Education Paraprofessionals for Ages 3-5,0,0,0,N/A,N/A,N/A
2011,Delaware,,10,3,5,Special Education Paraprofessionals for Ages 6-21,287,854,1141,N/A,N/A,N/A
2011,Delaware,,10,3,5,Special Education Teachers for Ages 3-5,0,0,0,N/A,N/A,N/A
2011,Delaware,,10,3,5,Special Education Teachers for Ages 6-21,486,49,535,N/A,N/A,N/A
2011,Delaware,,10,3,5,Total Special Education Paraprofessionals,287,854,1141,N/A,N/A,N/A
2011,Delaware,,10,3,5,Total Special Education Teachers,486,49,535,N/A,N/A,N/A
2011,District of Columbia,,11,3,5,Audiologists,N/A,N/A,N/A,3,0,3
2011,District of Columbia,,11,3,5,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,367,82,449
2011,District of Columbia,,11,3,5,Interpreters,N/A,N/A,N/A,N/A,N/A,N/A
2011,District of Columbia,,11,3,5,Medical/Nursing Service Staff,N/A,N/A,N/A,N/A,N/A,N/A
2011,District of Columbia,,11,3,5,Occupational Therapists,N/A,N/A,N/A,26,0,26
2011,District of Columbia,,11,3,5,Orientation and Mobility Specialists,N/A,N/A,N/A,N/A,N/A,N/A
2011,District of Columbia,,11,3,5,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,14,1,15
2011,District of Columbia,,11,3,5,Physical Therapists,N/A,N/A,N/A,13,0,13
2011,District of Columbia,,11,3,5,Psychologists,N/A,N/A,N/A,26,0,26
2011,District of Columbia,,11,3,5,Social Workers,N/A,N/A,N/A,19,0,19
2011,District of Columbia,,11,3,5,Speech-Language Pathologists,N/A,N/A,N/A,57,0,57
2011,District of Columbia,,11,3,5,Special Education Paraprofessionals for Ages 3-5,167.5,2.5,170,N/A,N/A,N/A
2011,District of Columbia,,11,3,5,Special Education Paraprofessionals for Ages 6-21,430.5,3.5,434,N/A,N/A,N/A
2011,District of Columbia,,11,3,5,Special Education Teachers for Ages 3-5,55,7.5,62.5,N/A,N/A,N/A
2011,District of Columbia,,11,3,5,Special Education Teachers for Ages 6-21,525,76.5,601.5,N/A,N/A,N/A
2011,District of Columbia,,11,3,5,Total Special Education Paraprofessionals,598,6,604,N/A,N/A,N/A
2011,District of Columbia,,11,3,5,Total Special Education Teachers,580,84,664,N/A,N/A,N/A
2011,Federated States of Micronesia,,62,,,Audiologists,N/A,N/A,N/A,0,0,0
2011,Federated States of Micronesia,,62,,,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,1,1,2
2011,Federated States of Micronesia,,62,,,Interpreters,N/A,N/A,N/A,1,0,1
2011,Federated States of Micronesia,,62,,,Medical/Nursing Service Staff,N/A,N/A,N/A,0,0,0
2011,Federated States of Micronesia,,62,,,Occupational Therapists,N/A,N/A,N/A,N/A,N/A,N/A
2011,Federated States of Micronesia,,62,,,Orientation and Mobility Specialists,N/A,N/A,N/A,0,0,0
2011,Federated States of Micronesia,,62,,,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,0,0,0
2011,Federated States of Micronesia,,62,,,Physical Therapists,N/A,N/A,N/A,1,0,1
2011,Federated States of Micronesia,,62,,,Psychologists,N/A,N/A,N/A,0,0,0
2011,Federated States of Micronesia,,62,,,Social Workers,N/A,N/A,N/A,0,0,0
2011,Federated States of Micronesia,,62,,,Speech-Language Pathologists,N/A,N/A,N/A,1,0,1
2011,Federated States of Micronesia,,62,,,Special Education Paraprofessionals for Ages 3-5,0,0,0,N/A,N/A,N/A
2011,Federated States of Micronesia,,62,,,Special Education Paraprofessionals for Ages 6-21,2,0,2,N/A,N/A,N/A
2011,Federated States of Micronesia,,62,,,Special Education Teachers for Ages 3-5,11,6,17,N/A,N/A,N/A
2011,Federated States of Micronesia,,62,,,Special Education Teachers for Ages 6-21,121,42,163,N/A,N/A,N/A
2011,Federated States of Micronesia,,62,,,Total Special Education Paraprofessionals,2,0,2,N/A,N/A,N/A
2011,Federated States of Micronesia,,62,,,Total Special Education Teachers,132,48,180,N/A,N/A,N/A
2011,Florida,,12,3,5,Audiologists,N/A,N/A,N/A,59.7,0,59.7
2011,Florida,,12,3,5,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,591.1,2.3,593.4
2011,Florida,,12,3,5,Interpreters,N/A,N/A,N/A,506.3,20,526.3
2011,Florida,,12,3,5,Medical/Nursing Service Staff,N/A,N/A,N/A,1197.4,2,1199.4
2011,Florida,,12,3,5,Occupational Therapists,N/A,N/A,N/A,613,8.6,621.6
2011,Florida,,12,3,5,Orientation and Mobility Specialists,N/A,N/A,N/A,78.2,1,79.2
2011,Florida,,12,3,5,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,207.7,0,207.7
2011,Florida,,12,3,5,Physical Therapists,N/A,N/A,N/A,228.4,4,232.4
2011,Florida,,12,3,5,Psychologists,N/A,N/A,N/A,1176.4,0,1176.4
2011,Florida,,12,3,5,Social Workers,N/A,N/A,N/A,555.9,0.9,556.8
2011,Florida,,12,3,5,Speech-Language Pathologists,N/A,N/A,N/A,2940.3,36,2976.3
2011,Florida,,12,3,5,Special Education Paraprofessionals for Ages 3-5,1097.14,167.26,1264.4,N/A,N/A,N/A
2011,Florida,,12,3,5,Special Education Paraprofessionals for Ages 6-21,9874.25,1505.3,11379.55,N/A,N/A,N/A
2011,Florida,,12,3,5,Special Education Teachers for Ages 3-5,6508.06,342.97,6851.03,N/A,N/A,N/A
2011,Florida,,12,3,5,Special Education Teachers for Ages 6-21,6707.39,801.92,7509.31,N/A,N/A,N/A
2011,Florida,,12,3,5,Total Special Education Paraprofessionals,10971.39,1672.56,12643.95,N/A,N/A,N/A
2011,Florida,,12,3,5,Total Special Education Teachers,13215.45,1144.89,14360.34,N/A,N/A,N/A
2011,Georgia,,13,3,5,Audiologists,N/A,N/A,N/A,28.4,0,28.4
2011,Georgia,,13,3,5,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,32.6,0,32.6
2011,Georgia,,13,3,5,Interpreters,N/A,N/A,N/A,179.5,112,291.5
2011,Georgia,,13,3,5,Medical/Nursing Service Staff,N/A,N/A,N/A,69.9,0,69.9
2011,Georgia,,13,3,5,Occupational Therapists,N/A,N/A,N/A,455.5,0,455.5
2011,Georgia,,13,3,5,Orientation and Mobility Specialists,N/A,N/A,N/A,21,0,21
2011,Georgia,,13,3,5,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,90.2,4,94.2
2011,Georgia,,13,3,5,Physical Therapists,N/A,N/A,N/A,176.1,0,176.1
2011,Georgia,,13,3,5,Psychologists,N/A,N/A,N/A,729.9,0,729.9
2011,Georgia,,13,3,5,Social Workers,N/A,N/A,N/A,83.7,0,83.7
2011,Georgia,,13,3,5,Speech-Language Pathologists,N/A,N/A,N/A,1816.8,0,1816.8
2011,Georgia,,13,3,5,Special Education Paraprofessionals for Ages 3-5,1475.7,0,1475.7,N/A,N/A,N/A
2011,Georgia,,13,3,5,Special Education Paraprofessionals for Ages 6-21,11250.1,0,11250.1,N/A,N/A,N/A
2011,Georgia,,13,3,5,Special Education Teachers for Ages 3-5,792.57,76.53,869.1,N/A,N/A,N/A
2011,Georgia,,13,3,5,Special Education Teachers for Ages 6-21,15846.5,343.31,16189.81,N/A,N/A,N/A
2011,Georgia,,13,3,5,Total Special Education Paraprofessionals,12725.8,0,12725.8,N/A,N/A,N/A
2011,Georgia,,13,3,5,Total Special Education Teachers,16639.07,419.84,17058.91,N/A,N/A,N/A
2011,Guam,,66,,,Audiologists,N/A,N/A,N/A,1,0,1
2011,Guam,,66,,,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,0,0,0
2011,Guam,,66,,,Interpreters,N/A,N/A,N/A,0,10,10
2011,Guam,,66,,,Medical/Nursing Service Staff,N/A,N/A,N/A,0,0,0
2011,Guam,,66,,,Occupational Therapists,N/A,N/A,N/A,1,1,2
2011,Guam,,66,,,Orientation and Mobility Specialists,N/A,N/A,N/A,0,0,0
2011,Guam,,66,,,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,3,0,3
2011,Guam,,66,,,Physical Therapists,N/A,N/A,N/A,2,0,2
2011,Guam,,66,,,Psychologists,N/A,N/A,N/A,1,0,1
2011,Guam,,66,,,Social Workers,N/A,N/A,N/A,7,0,7
2011,Guam,,66,,,Speech-Language Pathologists,N/A,N/A,N/A,10,0,10
2011,Guam,,66,,,Special Education Paraprofessionals for Ages 3-5,9,0,9,N/A,N/A,N/A
2011,Guam,,66,,,Special Education Paraprofessionals for Ages 6-21,285,0,285,N/A,N/A,N/A
2011,Guam,,66,,,Special Education Teachers for Ages 3-5,9,0,9,N/A,N/A,N/A
2011,Guam,,66,,,Special Education Teachers for Ages 6-21,181,0,181,N/A,N/A,N/A
2011,Guam,,66,,,Total Special Education Paraprofessionals,294,0,294,N/A,N/A,N/A
2011,Guam,,66,,,Total Special Education Teachers,190,0,190,N/A,N/A,N/A
2011,Hawaii,,15,4,9,Audiologists,N/A,N/A,N/A,0,0,0
2011,Hawaii,,15,4,9,Counselors and Rehabilitation Counselors,N/A,N/A,N/A,101,0,101
2011,Hawaii,,15,4,9,Interpreters,N/A,N/A,N/A,10,0,10
2011,Hawaii,,15,4,9,Medical/Nursing Service Staff,N/A,N/A,N/A,0,0,0
2011,Hawaii,,15,4,9,Occupational Therapists,N/A,N/A,N/A,38,0,38
2011,Hawaii,,15,4,9,Orientation and Mobility Specialists,N/A,N/A,N/A,7,0,7
2011,Hawaii,,15,4,9,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,N/A,N/A,N/A,4,0,4
2011,Hawaii,,15,4,9,Physical Therapists,N/A,N/A,N/A,22,0,22
2011,Hawaii,,15,4,9,Psychologists,N/A,N/A,N/A,83,0,83
2011,Hawaii,,15,4,9,Social Workers,N/A,N/A,N/A,81,0,81
2011,Hawaii,,15,4,9,Speech-Language Pathologists,N/A,N/A,N/A,223,0,223
2011,Hawaii,,15,4,9,Special Education Paraprofessionals for Ages 3-5,246,2,248,N/A,N/A,N/A
2011,Hawaii,,15,4,9,Special Education Paraprofessionals for Ages 6-21,1913,16,1929,N/A,N/A,N/A
2011,Hawaii,,15,4,9,Special Education Teachers for Ages 3-5,229,17,246,N/A,N/A,N/A
