,Total Revenue,Federal Revenue,State Revenue,Local Revenue,Property taxes,Other public revenue,Private,Total Revenue per pupil,Federal Revenue per pupil,State Revenue per pupil,Local Revenue per pupil,Property taxes per pupil,Other public revenue per pupil,Private Revenue per pupil,Nation_ID
1989-90 ,"398,545,540","24,271,875","187,739,268","186,534,396","$143,076,030 ","$32,649,380 ","$10,808,986 ","9,830",599,"4,631","4,601","$3,529 ",$805 ,$267 ,US_National
1993-94 ,"431,750,452","30,438,807","194,955,591","206,356,055","162,243,625","32,628,838","11,483,592","9,933",700,"4,485","4,748","3,733",751,264,US_National
1994-95 ,"440,677,043","29,978,937","206,068,480","204,629,627","158,069,922","34,783,408","11,776,297","9,990",680,"4,672","4,639","3,583",789,267,US_National
1995-96 ,"451,862,921","30,004,562","214,653,582","207,204,777","159,863,748","35,373,346","11,967,682","10,077",669,"4,787","4,621","3,565",789,267,US_National
1996-97 ,"465,841,236","30,664,565","223,610,347","211,566,324","162,697,896","37,089,367","11,779,061","10,213",672,"4,903","4,638","3,567",813,258,US_National
1997-98 ,"488,975,211","33,308,851","236,509,969","219,156,391","166,805,783","40,021,457","12,329,150","10,601",722,"5,127","4,751","3,616",868,267,US_National
1998-99 ,"512,290,809","36,163,205","249,670,186","226,457,418","176,206,592","37,382,903","12,867,923","11,008",777,"5,365","4,866","3,786",803,277,US_National
1999-2000 ,"534,561,888","38,840,937","264,616,978","231,103,973","178,790,618","39,602,130","12,711,224","11,408",829,"5,647","4,932","3,816",845,271,US_National
2000-01 ,"556,230,271","40,329,278","276,597,652","239,303,342","183,733,943","42,808,737","12,760,661","11,784",854,"5,860","5,070","3,892",907,270,US_National
2001-02 ,"571,263,982","45,135,270","281,261,815","244,866,898","192,139,460","39,388,875","13,338,564","11,983",947,"5,900","5,137","4,030",826,280,US_National
2002-03 ,"586,441,745","49,989,350","285,521,221","250,931,174","197,889,582","39,413,865","13,627,727","12,171","1,037","5,926","5,208","4,107",818,283,US_National
2003-04 ,"602,462,251","54,666,364","283,459,677","264,336,210","209,418,203","41,272,187","13,645,821","12,412","1,126","5,840","5,446","4,314",850,281,US_National
2004-05 ,"617,429,623","56,722,773","289,317,745","271,389,105","212,551,075","44,853,974","13,984,056","12,653","1,162","5,929","5,562","4,356",919,287,US_National
2005-06 ,"634,859,696","57,988,309","295,285,295","281,586,092","217,398,529","50,131,899","14,055,664","12,926","1,181","6,012","5,733","4,426","1,021",286,US_National
2006-07 ,"660,565,650","56,047,272","313,348,042","291,170,336","223,814,491","53,260,770","14,095,076","13,409","1,138","6,361","5,911","4,543","1,081",286,US_National
2007-08 ,"670,173,189","54,775,855","323,946,164","291,451,169","225,255,962","51,940,691","14,254,516","13,616","1,113","6,582","5,921","4,576","1,055",290,US_National
2008-09 ,"669,692,072","64,061,804","312,593,040","293,037,228","232,667,338","46,568,447","13,801,442","13,602","1,301","6,349","5,952","4,726",946,280,US_National
2009-10 ,"667,717,595","85,087,024","289,823,500","292,807,071","236,052,720","43,408,130","13,346,221","13,535","1,725","5,875","5,935","4,785",880,271,US_National
2010-11 ,"663,176,449","82,919,993","292,813,785","287,442,671","232,297,813","42,320,504","12,824,354","13,410","1,677","5,921","5,812","4,697",856,259,US_National
2011-12 ,"637,533,933","64,961,476","286,884,701","285,687,757","230,143,129","42,961,843","12,582,784","12,876","1,312","5,794","5,770","4,648",868,254,US_National
2012-13 ,"633,270,484","58,590,285","286,564,960","288,115,239","232,815,992","43,139,184","12,160,062","12,730","1,178","5,761","5,792","4,680",867,244,US_National
2013-14,"644,060,633","56,289,861","298,083,678","289,687,095","234,449,101","43,315,739","11,922,255","12,877","1,125","5,960","5,792","4,687",866,238,US_National
2014-15 ,"664,040,980","56,392,350","309,147,019","298,501,611","241,829,580","45,089,237","11,582,794","13,209","1,122","6,150","5,938","4,811",897,230,US_National
Percentage distribution,,,,,,,,,,,,,,,US_National
1919-20 ,100,3,165,832,N/A,N/A,N/A,100,3,165,832,N/A,N/A,N/A,US_National
1929-30 ,100,4,169,827,N/A,N/A,N/A,100,4,169,827,N/A,N/A,N/A,US_National
1939-40 ,100,18,303,68,N/A,N/A,N/A,100,18,303,68,N/A,N/A,N/A,US_National
1949-50 ,100,29,398,573,N/A,N/A,N/A,100,29,398,573,N/A,N/A,N/A,US_National
1959-60 ,100,44,391,565,N/A,N/A,N/A,100,44,391,565,N/A,N/A,N/A,US_National
1969-70 ,100,8,399,521,N/A,N/A,N/A,100,8,399,521,N/A,N/A,N/A,US_National
1979-80 ,100,98,468,434,N/A,N/A,N/A,100,98,468,434,N/A,N/A,N/A,US_National
1989-90 ,100,61,471,468,359,82,27,100,61,471,468,359,82,27,US_National
1993-94 ,100,71,452,478,376,76,27,100,71,452,478,376,76,27,US_National
1994-95 ,100,68,468,464,359,79,27,100,68,468,464,359,79,27,US_National
1995-96 ,100,66,475,459,354,78,26,100,66,475,459,354,78,26,US_National
1996-97 ,100,66,48,454,349,8,25,100,66,48,454,349,8,25,US_National
1997-98 ,100,68,484,448,341,82,25,100,68,484,448,341,82,25,US_National
1998-99 ,100,71,487,442,344,73,25,100,71,487,442,344,73,25,US_National
1999-2000 ,100,73,495,432,334,74,24,100,73,495,432,334,74,24,US_National
2000-01 ,100,73,497,43,33,77,23,100,73,497,43,33,77,23,US_National
2001-02 ,100,79,492,429,336,69,23,100,79,492,429,336,69,23,US_National
2002-03 ,100,85,487,428,337,67,23,100,85,487,428,337,67,23,US_National
2003-04 ,100,91,471,439,348,69,23,100,91,471,439,348,69,23,US_National
2004-05 ,100,92,469,44,344,73,23,100,92,469,44,344,73,23,US_National
2005-06 ,100,91,465,444,342,79,22,100,91,465,444,342,79,22,US_National
2006-07 ,100,85,474,441,339,81,21,100,85,474,441,339,81,21,US_National
2007-08 ,100,82,483,435,336,78,21,100,82,483,435,336,78,21,US_National
2008-09 ,100,96,467,438,347,7,21,100,96,467,438,347,7,21,US_National
2009-10 ,100,127,434,439,354,65,2,100,127,434,439,354,65,2,US_National
2010-11 ,100,125,442,433,35,64,19,100,125,442,433,35,64,19,US_National
2011-12 ,100,102,45,448,361,67,2,100,102,45,448,361,67,2,US_National
2012-13 ,100,93,453,455,368,68,19,100,93,453,455,368,68,19,US_National
2013-14,100,87,463,45,364,67,19,100,87,463,45,364,67,19,US_National
2014-15 ,100,85,466,45,364,68,17,100,85,466,45,364,68,17,US_National
