Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"3,833"	25.4	154	1	48	0.3	921	6.1	519	3.4	"1,807"	12	54	0.4	330	2.2	232	1.5	"2,256"	53	4	9
More than one out-of-school suspension total	"15,117"	100	470	3.1	291	1.9	"3,764"	24.9	"1,723"	11.4	"7,645"	50.6	185	1.2	"1,039"	6.9	"1,257"	8.3	"2,256"	53	4	9
One or more out-of-school suspensions on males	"30,372"	71.6	695	1.6	955	2.3	"7,448"	17.6	"2,862"	6.7	"16,095"	37.9	402	0.9	"1,915"	4.5	"2,684"	6.3	"2,256"	53	4	9
One or more out-of-school suspensions on females	"12,040"	28.4	425	1	252	0.6	"3,017"	7.1	"1,410"	3.3	"5,890"	13.9	181	0.4	865	2	779	1.8	"2,256"	53	4	9
One or more out-of-school suspensions total	"42,412"	100	"1,120"	2.6	"1,207"	2.8	"10,465"	24.7	"4,272"	10.1	"21,985"	51.8	583	1.4	"2,780"	6.6	"3,463"	8.2	"2,256"	53	4	9
Expulsions with educational services on males	530	76.5	10	1.4	12	1.7	186	26.8	15	2.2	283	40.8	DS	0.3	22	3.2	46	6.6	"2,256"	53	4	9
Expulsions with educational services on females	163	23.5	4	0.6	DS	0.3	52	7.5	8	1.2	86	12.4	DS	0.3	9	1.3	12	1.7	"2,256"	53	4	9
Expulsions with educational services total	693	100	14	2	14	2	238	34.3	23	3.3	369	53.2	4	0.6	31	4.5	58	8.4	"2,256"	53	4	9
Expulsions without educational services on males	"1,335"	76.9	52	3	36	2.1	372	21.4	82	4.7	720	41.5	19	1.1	54	3.1	118	6.8	"2,256"	53	4	9
Expulsions without educational services on females	401	23.1	25	1.4	9	0.5	95	5.5	33	1.9	203	11.7	12	0.7	24	1.4	15	0.9	"2,256"	53	4	9
Expulsions without educational services total	"1,736"	100	77	4.4	45	2.6	467	26.9	115	6.6	923	53.2	31	1.8	78	4.5	133	7.7	"2,256"	53	4	9
Expulsions with or without educational services on males	"1,863"	76.5	61	2.5	47	1.9	561	23	97	4	998	41	23	0.9	76	3.1	165	6.8	"2,256"	53	4	9
Expulsions with or without educational services on females	572	23.5	30	1.2	10	0.4	149	6.1	42	1.7	294	12.1	13	0.5	34	1.4	26	1.1	"2,256"	53	4	9
Expulsions with or without educational services total	"2,435"	100	91	3.7	57	2.3	710	29.2	139	5.7	"1,292"	53.1	36	1.5	110	4.5	191	7.8	"2,256"	53	4	9
Expulsions under zero-tolerance policies on males	839	74.8	22	2	12	1.1	256	22.8	49	4.4	441	39.3	9	0.8	50	4.5	67	6	"2,256"	53	4	9
Expulsions under zero-tolerance policies on females	282	25.2	14	1.2	6	0.5	64	5.7	17	1.5	161	14.4	DS	0.2	18	1.6	12	1.1	"2,256"	53	4	9
Expulsions under zero-tolerance policies total	"1,121"	100	36	3.2	18	1.6	320	28.5	66	5.9	602	53.7	11	1	68	6.1	79	7	"2,256"	53	4	9
Referral to law enforcement on males	"1,777"	76.9	31	1.3	30	1.3	485	21	80	3.5	"1,065"	46.1	10	0.4	76	3.3	69	3	"2,256"	53	4	9
Referral to law enforcement on females	534	23.1	16	0.7	4	0.2	182	7.9	27	1.2	280	12.1	4	0.2	21	0.9	19	0.8	"2,256"	53	4	9
Referral to law enforcement total	"2,311"	100	47	2	34	1.5	667	28.9	107	4.6	"1,345"	58.2	14	0.6	97	4.2	88	3.8	"2,256"	53	4	9
School-related arrests on males	436	78.4	9	1.6	6	1.1	130	23.4	12	2.2	260	46.8	4	0.7	15	2.7	16	2.9	"2,256"	53	4	9
School-related arrests on females	120	21.6	4	0.7	DS	0.4	45	8.1	DS	0.4	63	11.3	0	0	4	0.7	4	0.7	"2,256"	53	4	9
School-related arrests total	556	100	13	2.3	8	1.4	175	31.5	14	2.5	323	58.1	4	0.7	19	3.4	20	3.6	"2,256"	53	4	9
