Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Expulsions with or without educational services total,"1,766",100,10,0.6,"1,756",99.4,285,16.2,DS,0.1,197,11.2,635,36.2,527,30,4,0.2,106,6,16,0.9,"1,774",40,3,7
Expulsions under zero-tolerance policies for males,241,80.3,0,0,241,80.3,34,11.3,0,0,16,5.3,84,28,87,29,0,0,20,6.7,DS,0.7,"1,774",40,3,7
Expulsions under zero-tolerance policies for females,59,19.7,0,0,59,19.7,8,2.7,0,0,7,2.3,27,9,12,4,0,0,5,1.7,DS,0.7,"1,774",40,3,7
Expulsions under zero-tolerance policies total,300,100,0,0,300,100,42,14,0,0,23,7.7,111,37,99,33,0,0,25,8.3,4,1.3,"1,774",40,3,7
Referral to law enforcement for males,660,82.1,5,0.6,655,81.5,84,10.5,DS,0.3,87,10.9,202,25.3,254,31.8,DS,0.3,24,3,31,3.9,"1,774",40,3,7
Referral to law enforcement for females,144,17.9,0,0,144,17.9,19,2.4,DS,0.3,16,2,55,6.9,50,6.3,0,0,DS,0.3,10,1.2,"1,774",40,3,7
Referral to law enforcement total,804,100,5,0.6,799,99.4,103,12.9,4,0.5,103,12.9,257,32.2,304,38,DS,0.3,26,3.3,41,5.1,"1,774",40,3,7
School-related arrests for males,184,78,DS,0.8,182,77.1,26,11.1,DS,0.9,14,6,62,26.5,70,29.9,DS,0.9,6,2.6,DS,0.8,"1,774",40,3,7
School-related arrests for females,52,22,0,0,52,22,9,3.8,DS,0.9,DS,0.9,19,8.1,18,7.7,0,0,DS,0.9,0,0,"1,774",40,3,7
School-related arrests total,236,100,DS,0.8,234,99.2,35,15,4,1.7,16,6.8,81,34.6,88,37.6,DS,0.9,8,3.4,DS,0.8,"1,774",40,3,7
