Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"1,628"	18.6	92	1.1	"1,536"	17.5	9	0.1	0	0	46	0.6	"1,029"	12.4	416	5	DS	0	34	0.4	20	0.2	"1,219"	45	3	5
More than one out-of-school suspension total	"8,757"	100	467	5.3	"8,290"	94.7	24	0.3	7	0.1	210	2.5	"5,262"	63.5	"2,636"	31.8	9	0.1	142	1.7	134	1.5	"1,219"	45	3	5
One or more out-of-school suspensions on males	"12,612"	79.2	650	4.1	"11,962"	75.1	25	0.2	26	0.2	362	2.4	"7,033"	46.5	"4,277"	28.3	15	0.1	224	1.5	251	1.6	"1,219"	45	3	5
One or more out-of-school suspensions on females	"3,321"	20.8	173	1.1	"3,148"	19.8	15	0.1	DS	0	85	0.6	"2,009"	13.3	968	6.4	6	0	63	0.4	47	0.3	"1,219"	45	3	5
One or more out-of-school suspensions total	"15,933"	100	823	5.2	"15,110"	94.8	40	0.3	28	0.2	447	3	"9,042"	59.8	"5,245"	34.7	21	0.1	287	1.9	298	1.9	"1,219"	45	3	5
Expulsions with educational services on males	466	89.1	13	2.5	453	86.6	DS	0.4	0	0	8	1.6	268	52.8	159	31.3	0	0	16	3.1	6	1.1	"1,219"	45	3	5
Expulsions with educational services on females	57	10.9	DS	0.4	55	10.5	DS	0.4	0	0	DS	0.4	34	6.7	15	3	0	0	DS	0.4	0	0	"1,219"	45	3	5
Expulsions with educational services total	523	100	15	2.9	508	97.1	4	0.8	0	0	10	2	302	59.4	174	34.3	0	0	18	3.5	6	1.1	"1,219"	45	3	5
Expulsions without educational services on males	43	91.5	12	25.5	31	66	0	0	0	0	DS	5.7	14	40	13	37.1	0	0	DS	5.7	DS	4.3	"1,219"	45	3	5
Expulsions without educational services on females	4	8.5	0	0	4	8.5	0	0	0	0	0	0	DS	5.7	DS	5.7	0	0	0	0	0	0	"1,219"	45	3	5
Expulsions without educational services total	47	100	12	25.5	35	74.5	0	0	0	0	DS	5.7	16	45.7	15	42.9	0	0	DS	5.7	DS	4.3	"1,219"	45	3	5
Expulsions with or without educational services on males	500	89.1	25	4.5	475	84.7	DS	0.4	0	0	9	1.7	277	51.9	170	31.8	0	0	17	3.2	7	1.2	"1,219"	45	3	5
Expulsions with or without educational services on females	61	10.9	DS	0.4	59	10.5	DS	0.4	0	0	DS	0.4	36	6.7	17	3.2	0	0	DS	0.4	0	0	"1,219"	45	3	5
Expulsions with or without educational services total	561	100	27	4.8	534	95.2	4	0.7	0	0	11	2.1	313	58.6	187	35	0	0	19	3.6	7	1.2	"1,219"	45	3	5
Expulsions under zero-tolerance policies on males	83	91.2	4	4.4	79	86.8	0	0	0	0	DS	2.4	38	44.7	37	43.5	0	0	DS	2.4	0	0	"1,219"	45	3	5
Expulsions under zero-tolerance policies on females	8	8.8	DS	2.2	6	6.6	0	0	0	0	0	0	DS	2.4	4	4.7	0	0	0	0	0	0	"1,219"	45	3	5
Expulsions under zero-tolerance policies total	91	100	6	6.6	85	93.4	0	0	0	0	DS	2.4	40	47.1	41	48.2	0	0	DS	2.4	0	0	"1,219"	45	3	5
Referral to law enforcement on males	521	78.9	27	4.1	494	74.8	DS	0.3	0	0	26	4.2	259	41.8	194	31.3	0	0	13	2.1	13	2	"1,219"	45	3	5
Referral to law enforcement on females	139	21.1	13	2	126	19.1	0	0	0	0	DS	0.3	75	12.1	49	7.9	0	0	0	0	0	0	"1,219"	45	3	5
Referral to law enforcement total	660	100	40	6.1	620	93.9	DS	0.3	0	0	28	4.5	334	53.9	243	39.2	0	0	13	2.1	13	2	"1,219"	45	3	5
School-related arrests on males	375	80	22	4.7	353	75.3	DS	0.5	DS	0.5	12	2.7	196	44.5	136	30.9	0	0	5	1.1	6	1.3	"1,219"	45	3	5
School-related arrests on females	94	20	7	1.5	87	18.6	0	0	0	0	DS	0.5	56	12.7	29	6.6	0	0	0	0	DS	0.4	"1,219"	45	3	5
School-related arrests total	469	100	29	6.2	440	93.8	DS	0.5	DS	0.5	14	3.2	252	57.3	165	37.5	0	0	5	1.1	8	1.7	"1,219"	45	3	5
