Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
More than one out-of-school suspension for females,366,21.6,DS,0.1,364,21.4,8,0.5,DS,0.1,109,6.5,69,4.1,163,9.7,0,0,13,0.8,DS,0.1,291,44,1,1
More than one out-of-school suspension total,"1,697",100,24,1.4,"1,673",98.6,30,1.8,16,1,567,33.9,298,17.8,704,42.1,6,0.4,52,3.1,61,3.6,291,44,1,1
One or more out-of-school suspensions for males,"2,494",77.2,49,1.5,"2,445",75.7,37,1.2,29,0.9,822,26,395,12.5,"1,063",33.6,9,0.3,90,2.8,113,3.5,291,44,1,1
One or more out-of-school suspensions for females,737,22.8,16,0.5,721,22.3,12,0.4,4,0.1,210,6.6,122,3.9,336,10.6,5,0.2,32,1,11,0.3,291,44,1,1
One or more out-of-school suspensions total,"3,231",100,65,2,"3,166",98,49,1.5,33,1,"1,032",32.6,517,16.3,"1,399",44.2,14,0.4,122,3.9,124,3.8,291,44,1,1
Expulsions with educational services for males,4,100,0,0,4,100,DS,50,0,0,0,0,0,0,DS,50,0,0,0,0,0,0,291,44,1,1
Expulsions with educational services for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
Expulsions with educational services total,4,100,0,0,4,100,DS,50,0,0,0,0,0,0,DS,50,0,0,0,0,0,0,291,44,1,1
Expulsions without educational services for males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
Expulsions without educational services for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
Expulsions without educational services total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
Expulsions with or without educational services for males,4,100,0,0,4,100,DS,50,0,0,0,0,0,0,DS,50,0,0,0,0,0,0,291,44,1,1
Expulsions with or without educational services for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
Expulsions with or without educational services total,4,100,0,0,4,100,DS,50,0,0,0,0,0,0,DS,50,0,0,0,0,0,0,291,44,1,1
Expulsions under zero-tolerance policies for males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
Expulsions under zero-tolerance policies for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
Expulsions under zero-tolerance policies total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,44,1,1
Referral to law enforcement for males,71,81.6,DS,2.3,69,79.3,DS,2.4,DS,2.4,DS,2.4,4,4.7,57,67.1,0,0,DS,2.4,0,0,291,44,1,1
Referral to law enforcement for females,16,18.4,0,0,16,18.4,DS,2.4,0,0,DS,2.4,DS,2.4,10,11.8,0,0,0,0,0,0,291,44,1,1
Referral to law enforcement total,87,100,DS,2.3,85,97.7,4,4.7,DS,2.4,4,4.7,6,7.1,67,78.8,0,0,DS,2.4,0,0,291,44,1,1
School-related arrests for males,44,78.6,0,0,44,78.6,DS,3.6,0,0,5,8.9,5,8.9,30,53.6,0,0,DS,3.6,0,0,291,44,1,1
School-related arrests for females,12,21.4,0,0,12,21.4,0,0,0,0,DS,3.6,0,0,10,17.9,0,0,0,0,0,0,291,44,1,1
School-related arrests total,56,100,0,0,56,100,DS,3.6,0,0,7,12.5,5,8.9,40,71.4,0,0,DS,3.6,0,0,291,44,1,1
