Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Expulsions with or without educational services for females,276,20,10,0.7,266,19.2,0,0,0,0,20,1.5,115,8.5,124,9.2,0,0,7,0.5,8,0.6,"1,875",18,2,3
Expulsions with or without educational services total,"1,383",100,37,2.7,"1,346",97.3,4,0.3,0,0,89,6.6,499,37.1,695,51.6,0,0,59,4.4,26,1.9,"1,875",18,2,3
Expulsions under zero-tolerance policies for males,162,83.1,DS,1,160,82.1,0,0,0,0,6,3.1,57,29.5,89,46.1,0,0,8,4.1,DS,1,"1,875",18,2,3
Expulsions under zero-tolerance policies for females,33,16.9,0,0,33,16.9,0,0,0,0,DS,1,10,5.2,21,10.9,0,0,0,0,0,0,"1,875",18,2,3
Expulsions under zero-tolerance policies total,195,100,DS,1,193,99,0,0,0,0,8,4.1,67,34.7,110,57,0,0,8,4.1,DS,1,"1,875",18,2,3
Referral to law enforcement for males,793,74.8,10,0.9,783,73.9,4,0.4,DS,0.2,34,3.2,171,16.3,536,51.1,0,0,36,3.4,17,1.6,"1,875",18,2,3
Referral to law enforcement for females,267,25.2,DS,0.2,265,25,DS,0.2,0,0,5,0.5,56,5.3,184,17.6,DS,0.2,16,1.5,5,0.5,"1,875",18,2,3
Referral to law enforcement total,"1,060",100,12,1.1,"1,048",98.9,6,0.6,DS,0.2,39,3.7,227,21.7,720,68.7,DS,0.2,52,5,22,2.1,"1,875",18,2,3
School-related arrests for males,415,75.6,5,0.9,410,74.7,0,0,DS,0.4,23,4.2,116,21.3,240,44.1,0,0,29,5.3,8,1.5,"1,875",18,2,3
School-related arrests for females,134,24.4,0,0,134,24.4,DS,0.4,0,0,DS,0.4,42,7.7,74,13.6,DS,0.4,12,2.2,DS,0.4,"1,875",18,2,3
School-related arrests total,549,100,5,0.9,544,99.1,DS,0.4,DS,0.4,25,4.6,158,29,314,57.7,DS,0.4,41,7.5,10,1.8,"1,875",18,2,3
