State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Mississippi		28	3	6	391	4	1	0	0	6	1.5	240	61.4	141	36.1	0	0	0	0	12	3.1	DS	0.5	DS	0.5	321
Missouri		29	2	4	139	0	0	DS	1.4	9	6.5	81	58.3	45	32.4	0	0	DS	1.4	15	10.8	0	0	DS	1.4	764
Montana		30	4	8	7	DS	28.6	0	0	0	0	0	0	5	71.4	0	0	0	0	4	57.1	0	0	DS	28.6	317
Nebraska		31	2	4	20	DS	10	0	0	4	20	0	0	12	60	0	0	DS	10	4	20	DS	10	DS	10	336
Nevada		32	4	8	110	DS	1.8	DS	1.8	51	46.4	23	20.9	28	25.5	DS	1.8	DS	1.8	10	9.1	DS	1.8	15	13.6	166
New Hampshire		33	1	1	35	0	0	DS	5.7	7	20	0	0	26	74.3	0	0	0	0	4	11.4	DS	5.7	0	0	142
New Jersey		34	1	2	253	0	0	11	4.3	80	31.6	76	30	84	33.2	0	0	DS	0.8	30	11.9	DS	0.8	16	6.3	792
New Mexico		35	4	8	88	22	25	0	0	48	54.5	DS	2.3	16	18.2	0	0	0	0	17	19.3	DS	2.3	9	10.2	234
New York		36	1	2	"1,138"	9	0.8	36	3.2	443	38.9	467	41	179	15.7	DS	0.2	DS	0.2	155	13.6	13	1.1	193	17	"1,499"
North Carolina		37	3	5	488	6	1.2	26	5.3	46	9.4	192	39.3	201	41.2	0	0	17	3.5	73	15	23	4.7	31	6.4	708
North Dakota		38	2	4	13	DS	15.4	0	0	0	0	0	0	11	84.6	0	0	0	0	DS	15.4	0	0	0	0	189
Ohio		39	2	3	277	0	0	DS	0.7	9	3.2	104	37.5	150	54.2	0	0	12	4.3	50	18.1	6	2.2	7	2.5	"1,140"
Oklahoma		40	3	7	101	20	19.8	DS	2	11	10.9	11	10.9	53	52.5	0	0	4	4	12	11.9	0	0	DS	2	593
Oregon		41	9	4	69	4	5.8	0	0	6	8.7	4	5.8	44	63.8	DS	2.9	9	13	12	17.4	0	0	DS	2.9	456
Pennsylvania		42	1	2	461	DS	0.4	DS	0.4	54	11.7	98	21.3	286	62	0	0	19	4.1	79	17.1	4	0.9	11	2.4	971
Rhode Island		44	1	1	36	0	0	DS	5.6	9	25	4	11.1	19	52.8	0	0	DS	5.6	8	22.2	0	0	0	0	59
South Carolina		45	3	5	318	DS	0.6	5	1.6	20	6.3	128	40.3	149	46.9	0	0	14	4.4	40	12.6	10	3.1	10	3.1	329
South Dakota		46	2	4	13	9	69.2	0	0	DS	15.4	0	0	DS	15.4	0	0	0	0	DS	15.4	0	0	DS	15.4	262
Tennessee		47	3	6	311	0	0	DS	0.6	12	3.9	192	61.7	101	32.5	0	0	4	1.3	53	17	0	0	6	1.9	603
Texas		48	3	7	"3,572"	10	0.3	95	2.7	"2,050"	57.4	368	10.3	961	26.9	9	0.3	79	2.2	466	13	105	2.9	234	6.6	"2,421"
Utah		49	4	8	119	5	4.2	DS	1.7	17	14.3	DS	1.7	91	76.5	DS	1.7	0	0	31	26.1	0	0	5	4.2	261
Vermont		50	1	1	12	0	0	0	0	0	0	DS	16.7	10	83.3	0	0	0	0	5	41.7	DS	16.7	0	0	120
Virginia		51	3	5	374	DS	0.5	4	1.1	72	19.3	155	41.4	134	35.8	DS	0.5	5	1.3	82	21.9	4	1.1	51	13.6	466
Washington		53	4	9	59	7	11.9	DS	3.4	15	25.4	DS	3.4	31	52.5	0	0	DS	3.4	11	18.6	DS	3.4	DS	3.4	656
West Virginia		54	3	5	80	0	0	0	0	DS	2.5	8	10	68	85	0	0	DS	2.5	4	5	0	0	0	0	207
Wisconsin		55	2	3	97	DS	2.1	5	5.2	8	8.2	42	43.3	38	39.2	0	0	DS	2.1	20	20.6	0	0	10	10.3	695
Wyoming		56	4	8	6	0	0	0	0	0	0	0	0	6	100	0	0	0	0	DS	33.3	0	0	0	0	97
