Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions without educational services on males	6	75	0	0	6	75	0	0	0	0	DS	25	0	0	DS	25	0	0	DS	25	0	0	649	32	4	8
Expulsions without educational services on females	DS	25	0	0	DS	25	0	0	0	0	0	0	0	0	DS	25	0	0	0	0	0	0	649	32	4	8
Expulsions without educational services total	8	100	0	0	8	100	0	0	0	0	DS	25	0	0	4	50	0	0	DS	25	0	0	649	32	4	8
Expulsions with or without educational services on males	18	90	DS	10	16	80	0	0	0	0	7	38.9	0	0	7	38.9	0	0	DS	11.1	0	0	649	32	4	8
Expulsions with or without educational services on females	DS	10	0	0	DS	10	0	0	0	0	0	0	0	0	DS	11.1	0	0	0	0	0	0	649	32	4	8
Expulsions with or without educational services total	20	100	DS	10	18	90	0	0	0	0	7	38.9	0	0	9	50	0	0	DS	11.1	0	0	649	32	4	8
Expulsions under zero-tolerance policies on males	65	87.8	6	8.1	59	79.7	0	0	0	0	16	24.2	23	34.8	16	24.2	DS	3	DS	3	0	0	649	32	4	8
Expulsions under zero-tolerance policies on females	9	12.2	DS	2.7	7	9.5	0	0	0	0	0	0	5	7.6	0	0	0	0	DS	3	0	0	649	32	4	8
Expulsions under zero-tolerance policies total	74	100	8	10.8	66	89.2	0	0	0	0	16	24.2	28	42.4	16	24.2	DS	3	4	6.1	0	0	649	32	4	8
Referral to law enforcement on males	68	89.5	DS	2.6	66	86.8	4	5.4	DS	2.7	23	31.1	DS	2.7	33	44.6	DS	2.7	0	0	7	9.2	649	32	4	8
Referral to law enforcement on females	8	10.5	0	0	8	10.5	DS	2.7	0	0	DS	2.7	DS	2.7	DS	2.7	0	0	0	0	DS	2.6	649	32	4	8
Referral to law enforcement total	76	100	DS	2.6	74	97.4	6	8.1	DS	2.7	25	33.8	4	5.4	35	47.3	DS	2.7	0	0	9	11.8	649	32	4	8
School-related arrests on males	150	85.2	0	0	150	85.2	DS	1.1	0	0	58	33	40	22.7	39	22.2	DS	1.1	9	5.1	19	10.8	649	32	4	8
School-related arrests on females	26	14.8	0	0	26	14.8	0	0	0	0	12	6.8	8	4.5	6	3.4	0	0	0	0	6	3.4	649	32	4	8
School-related arrests total	176	100	0	0	176	100	DS	1.1	0	0	70	39.8	48	27.3	45	25.6	DS	1.1	9	5.1	25	14.2	649	32	4	8
