Extraction Date:,6/6/2016,,,,,,,,
Updated:,,,,,,,,,
Revised:,,,,,,,,,
,,,,,,,,,
Year,State,Personnel Type,"Teachers Highly Qualified/Paraprofessionals Qualified","Teachers Not Highly Qualified/Paraprofessionals Not Qualified",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total,
2014,Arizona,Special Education Paraprofessionals for Ages 6-21,7162.16,1179.19,8341.35,-,-,-,
2014,Arizona,Total Special Education Paraprofessionals ,8216.39,1323.3,9539.69,-,-,-,
2014,Arizona,Special Education Teachers for Ages 3-5,727.18,35.59,762.77,-,-,-,
2014,Arizona,Special Education Teachers for Ages 6-21,6354.88,308.49,6663.37,-,-,-,
2014,Arizona,Total Special Education Teachers,7082.06,344.08,7426.14,-,-,-,
2014,Arizona,Audiologists,-,-,-,47.71,2,49.71,
2014,Arizona,Counselors and Rehabilitation Counselors,-,-,-,599.29,5.97,605.26,
2014,Arizona,Interpreters,-,-,-,153.03,32.26,185.29,
2014,Arizona,Medical / Nursing Service Staff,-,-,-,662.7,54.31,717.01,
2014,Arizona,Occupational Therapists,-,-,-,390.61,7.65,398.26,
2014,Arizona,Orientation and Mobility Specialists,-,-,-,57.54,3,60.54,
2014,Arizona,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,439.53,17.6,457.13,
2014,Arizona,Physical Therapists,-,-,-,152.68,2.1,154.78,
2014,Arizona,Psychologists,-,-,-,992.09,20.96,1013.05,
2014,Arizona,Social Workers,-,-,-,178.5,4,182.5,
2014,Arizona,Speech-Language Pathologists,-,-,-,1245.99,42.83,1288.82,
2014,Arkansas,Special Education Paraprofessionals for Ages 3-5,621.96,334.58,956.54,-,-,-,
2014,Arkansas,Special Education Paraprofessionals for Ages 6-21,2065.17,475.95,2541.12,-,-,-,
2014,Arkansas,Total Special Education Paraprofessionals ,2687.13,810.53,3497.66,-,-,-,
2014,Arkansas,Special Education Teachers for Ages 3-5,548.59,59.35,607.94,-,-,-,
2014,Arkansas,Special Education Teachers for Ages 6-21,3647.52,325.65,3973.17,-,-,-,
2014,Arkansas,Total Special Education Teachers,4196.11,385,4581.11,-,-,-,
2014,Arkansas,Audiologists,-,-,-,3.96,0,3.96,
2014,Arkansas,Counselors and Rehabilitation Counselors,-,-,-,15.85,0,15.85,
2014,Arkansas,Interpreters,-,-,-,33.5,6,39.5,
2014,Arkansas,Medical / Nursing Service Staff,-,-,-,29.56,0,29.56,
2014,Arkansas,Occupational Therapists,-,-,-,249.72,0.15,249.87,
2014,Arkansas,Orientation and Mobility Specialists,-,-,-,4.73,0.2,4.93,
2014,Arkansas,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,4,1,5,
2014,Arkansas,Physical Therapists,-,-,-,120.32,0.4,120.72,
2014,Arkansas,Psychologists,-,-,-,184.97,0,184.97,
2014,Arkansas,Social Workers,-,-,-,4.19,2,6.19,
2014,Arkansas,Speech-Language Pathologists,-,-,-,-,-,-,
2014,Bureau Of Indian Education,Special Education Paraprofessionals for Ages 3-5,50.35,-,50.35,-,-,-,
2014,Bureau Of Indian Education,Special Education Paraprofessionals for Ages 6-21,642.2,14,656.2,-,-,-,
2014,Bureau Of Indian Education,Total Special Education Paraprofessionals ,692.55,14,706.55,-,-,-,
2014,Bureau Of Indian Education,Special Education Teachers for Ages 3-5,51.1,-,51.1,-,-,-,
2014,Bureau Of Indian Education,Special Education Teachers for Ages 6-21,521.15,4,525.15,-,-,-,
2014,Bureau Of Indian Education,Total Special Education Teachers,572.25,4,576.25,-,-,-,
2014,Bureau Of Indian Education,Audiologists,-,-,-,3.15,-,3.15,
2014,Bureau Of Indian Education,Counselors and Rehabilitation Counselors,-,-,-,28.9,-,28.9,
2014,Bureau Of Indian Education,Interpreters,-,-,-,1.95,-,1.95,
2014,Bureau Of Indian Education,Medical / Nursing Service Staff,-,-,-,3.4,-,3.4,
2014,Bureau Of Indian Education,Occupational Therapists,-,-,-,58.85,-,58.85,
2014,Bureau Of Indian Education,Orientation and Mobility Specialists,-,-,-,2,-,2,
2014,Bureau Of Indian Education,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,5,-,5,
2014,Bureau Of Indian Education,Physical Therapists,-,-,-,35.1,-,35.1,
2014,Bureau Of Indian Education,Psychologists,-,-,-,67.7,0.3,68,
2014,Bureau Of Indian Education,Social Workers,-,-,-,24.25,-,24.25,
2014,Bureau Of Indian Education,Speech-Language Pathologists,-,-,-,111.8,-,111.8,
2014,California,Special Education Paraprofessionals for Ages 3-5,4203.85,90.11,4293.96,-,-,-,
2014,California,Special Education Paraprofessionals for Ages 6-21,50783.19,1126.76,51909.95,-,-,-,
2014,California,Total Special Education Paraprofessionals ,54987.04,1216.87,56203.91,-,-,-,
2014,California,Special Education Teachers for Ages 3-5,2425.2,131.62,2556.82,-,-,-,
2014,California,Special Education Teachers for Ages 6-21,19772.86,1148.9,20921.76,-,-,-,
2014,California,Total Special Education Teachers,22198.06,1280.52,23478.58,-,-,-,
2014,California,Audiologists,-,-,-,102.47,1,103.47,
2014,California,Counselors and Rehabilitation Counselors,-,-,-,1098.18,45.49,1143.67,
2014,California,Interpreters,-,-,-,678.22,28.72,706.94,
2014,California,Medical / Nursing Service Staff,-,-,-,2245.46,111.68,2357.14,
2014,California,Occupational Therapists,-,-,-,1163.43,8.22,1171.65,
2014,California,Orientation and Mobility Specialists,-,-,-,521.91,13.5,535.41,
2014,California,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,1113.04,9.54,1122.58,
2014,California,Physical Therapists,-,-,-,155.42,1,156.42,
2014,California,Psychologists,-,-,-,5290.89,49.23,5340.12,
2014,California,Social Workers,-,-,-,187.39,1,188.39,
2014,California,Speech-Language Pathologists,-,-,-,6244.35,182.75,6427.1,
2014,Colorado,Special Education Paraprofessionals for Ages 3-5,369.79,0,369.79,-,-,-,
2014,Colorado,Special Education Paraprofessionals for Ages 6-21,6585.88,0,6585.88,-,-,-,
2014,Colorado,Total Special Education Paraprofessionals ,6955.67,0,6955.67,-,-,-,
2014,Colorado,Special Education Teachers for Ages 3-5,366.12,46.87,412.99,-,-,-,
2014,Colorado,Special Education Teachers for Ages 6-21,4928.57,283.53,5212.1,-,-,-,
2014,Colorado,Total Special Education Teachers,5294.69,330.4,5625.09,-,-,-,
2014,Colorado,Audiologists,-,-,-,62.12,4.1,66.22,
2014,Colorado,Counselors and Rehabilitation Counselors,-,-,-,58.1,10.13,68.23,
2014,Colorado,Interpreters,-,-,-,154.29,20.96,175.25,
2014,Colorado,Medical / Nursing Service Staff,-,-,-,266.51,23.53,290.04,
2014,Colorado,Occupational Therapists,-,-,-,343.29,16.15,359.44,
2014,Colorado,Orientation and Mobility Specialists,-,-,-,9.07,0,9.07,
2014,Colorado,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,22.63,0.33,22.96,
2014,Colorado,Physical Therapists,-,-,-,83.24,3.61,86.85,
2014,Colorado,Psychologists,-,-,-,674.47,18.14,692.61,
2014,Colorado,Social Workers,-,-,-,352.17,23.57,375.74,
2014,Colorado,Speech-Language Pathologists,-,-,-,1072.01,78.12,1150.13,
2014,Connecticut,Special Education Paraprofessionals for Ages 3-5,1156.26,0,1156.26,-,-,-,
2014,Connecticut,Special Education Paraprofessionals for Ages 6-21,9483.51,0,9483.51,-,-,-,
2014,Connecticut,Total Special Education Paraprofessionals ,10639.77,0,10639.77,-,-,-,
2014,Connecticut,Special Education Teachers for Ages 3-5,427.02,0,427.02,-,-,-,
2014,Connecticut,Special Education Teachers for Ages 6-21,5374.41,37.6,5412.01,-,-,-,
2014,Connecticut,Total Special Education Teachers,5801.43,37.6,5839.03,-,-,-,
2014,Connecticut,Audiologists,-,-,-,-,-,-,
2014,Connecticut,Counselors and Rehabilitation Counselors,-,-,-,282.49,0.1,282.59,
2014,Connecticut,Interpreters,-,-,-,-,-,-,
2014,Connecticut,Medical / Nursing Service Staff,-,-,-,-,-,-,
2014,Connecticut,Occupational Therapists,-,-,-,-,-,-,
2014,Connecticut,Orientation and Mobility Specialists,-,-,-,-,-,-,
2014,Connecticut,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,1726.14,4,1730.14,
2014,Connecticut,Physical Therapists,-,-,-,-,-,-,
2014,Connecticut,Psychologists,-,-,-,500.62,1.25,501.87,
2014,Connecticut,Social Workers,-,-,-,454.28,1.1,455.38,
2014,Connecticut,Speech-Language Pathologists,-,-,-,1056.37,2.9,1059.27,
2014,Delaware,Special Education Paraprofessionals for Ages 3-5,0,0,0,-,-,-,
2014,Delaware,Special Education Paraprofessionals for Ages 6-21,290,901,1191,-,-,-,
2014,Delaware,Total Special Education Paraprofessionals ,290,901,1191,-,-,-,
2014,Delaware,Special Education Teachers for Ages 3-5,0,0,0,-,-,-,
2014,Delaware,Special Education Teachers for Ages 6-21,481,60,541,-,-,-,
2014,Delaware,Total Special Education Teachers,481,60,541,-,-,-,
2014,Delaware,Audiologists,-,-,-,25,0,25,
2014,Delaware,Counselors and Rehabilitation Counselors,-,-,-,902,0,902,
2014,Delaware,Interpreters,-,-,-,0,0,0,
2014,Delaware,Medical / Nursing Service Staff,-,-,-,263,1,264,
2014,Delaware,Occupational Therapists,-,-,-,5,0,5,
2014,Delaware,Orientation and Mobility Specialists,-,-,-,0,0,0,
2014,Delaware,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,919,0,919,
2014,Delaware,Physical Therapists,-,-,-,3,0,3,
2014,Delaware,Psychologists,-,-,-,193,0,193,
2014,Delaware,Social Workers,-,-,-,34,0,34,
2014,Delaware,Speech-Language Pathologists,-,-,-,203,0,203,
2014,District Of Columbia,Special Education Paraprofessionals for Ages 3-5,6,3.71,9.71,-,-,-,
2014,District Of Columbia,Special Education Paraprofessionals for Ages 6-21,166.13,328.17,494.3,-,-,-,
2014,District Of Columbia,Total Special Education Paraprofessionals ,172.13,331.88,504.01,-,-,-,
2014,District Of Columbia,Special Education Teachers for Ages 3-5,95.5,50.95,146.45,-,-,-,
2014,District Of Columbia,Special Education Teachers for Ages 6-21,815.87,535,1350.87,-,-,-,
2014,District Of Columbia,Total Special Education Teachers,911.37,585.95,1497.32,-,-,-,
2014,District Of Columbia,Audiologists,-,-,-,6,1,7,
2014,District Of Columbia,Counselors and Rehabilitation Counselors,-,-,-,8,5,13,
2014,District Of Columbia,Interpreters,-,-,-,1,-,1,
2014,District Of Columbia,Medical / Nursing Service Staff,-,-,-,6,-,6,
2014,District Of Columbia,Occupational Therapists,-,-,-,32,1,33,
2014,District Of Columbia,Orientation and Mobility Specialists,-,-,-,0,0,0,
2014,District Of Columbia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,5,1,6,
2014,District Of Columbia,Physical Therapists,-,-,-,7,-,7,
2014,District Of Columbia,Psychologists,-,-,-,127,9,136,
2014,District Of Columbia,Social Workers,-,-,-,180,8,188,
2014,District Of Columbia,Speech-Language Pathologists,-,-,-,101,3,104,
2014,Federated States Of Micronesia,Special Education Paraprofessionals for Ages 3-5,0,0,0,-,-,-,
2014,Federated States Of Micronesia,Special Education Paraprofessionals for Ages 6-21,1,11,12,-,-,-,
2014,Federated States Of Micronesia,Total Special Education Paraprofessionals ,1,11,12,-,-,-,
2014,Federated States Of Micronesia,Special Education Teachers for Ages 3-5,10,5,15,-,-,-,
2014,Federated States Of Micronesia,Special Education Teachers for Ages 6-21,119,49,168,-,-,-,
2014,Federated States Of Micronesia,Total Special Education Teachers,129,54,183,-,-,-,
2014,Federated States Of Micronesia,Audiologists,-,-,-,0,0,0,
2014,Federated States Of Micronesia,Counselors and Rehabilitation Counselors,-,-,-,2,0,2,
2014,Federated States Of Micronesia,Interpreters,-,-,-,0,0,0,
2014,Federated States Of Micronesia,Medical / Nursing Service Staff,-,-,-,0,0,0,
2014,Federated States Of Micronesia,Occupational Therapists,-,-,-,0,0,0,
2014,Federated States Of Micronesia,Orientation and Mobility Specialists,-,-,-,0,0,0,
2014,Federated States Of Micronesia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,0,0,0,
2014,Federated States Of Micronesia,Physical Therapists,-,-,-,1,0,1,
2014,Federated States Of Micronesia,Psychologists,-,-,-,0,0,0,
2014,Federated States Of Micronesia,Social Workers,-,-,-,0,0,0,
2014,Federated States Of Micronesia,Speech-Language Pathologists,-,-,-,1,0,1,
2014,Florida,Special Education Paraprofessionals for Ages 3-5,1154.16,299.77,1453.93,-,-,-,
2014,Florida,Special Education Paraprofessionals for Ages 6-21,9338.18,2425.41,11763.59,-,-,-,
2014,Florida,Total Special Education Paraprofessionals ,10492.34,2725.18,13217.52,-,-,-,
2014,Florida,Special Education Teachers for Ages 3-5,6905.65,390.38,7296.03,-,-,-,
2014,Florida,Special Education Teachers for Ages 6-21,5023.55,816.14,5839.69,-,-,-,
2014,Florida,Total Special Education Teachers,11929.2,1206.52,13135.72,-,-,-,
2014,Florida,Audiologists,-,-,-,51.4,0,51.4,
2014,Florida,Counselors and Rehabilitation Counselors,-,-,-,1302,12.3,1314.3,
2014,Florida,Interpreters,-,-,-,491,15,506,
2014,Florida,Medical / Nursing Service Staff,-,-,-,1092.2,1,1093.2,
2014,Florida,Occupational Therapists,-,-,-,665.6,11,676.6,
2014,Florida,Orientation and Mobility Specialists,-,-,-,72.3,0,72.3,
2014,Florida,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,272.8,2,274.8,
2014,Florida,Physical Therapists,-,-,-,253.5,5,258.5,
2014,Florida,Psychologists,-,-,-,1256.9,11,1267.9,
2014,Florida,Social Workers,-,-,-,592,6.5,598.5,
2014,Florida,Speech-Language Pathologists,-,-,-,3113,36,3149,
2014,Georgia,Special Education Paraprofessionals for Ages 3-5,783,14,797,-,-,-,
2014,Georgia,Special Education Paraprofessionals for Ages 6-21,10936.7,209.3,11146,-,-,-,
2014,Georgia,Total Special Education Paraprofessionals ,11719.7,223.3,11943,-,-,-,
2014,Georgia,Special Education Teachers for Ages 3-5,816.1,118.4,934.5,-,-,-,
2014,Georgia,Special Education Teachers for Ages 6-21,16570.9,354.7,16925.6,-,-,-,
2014,Georgia,Total Special Education Teachers,17387,473.1,17860.1,-,-,-,
2014,Georgia,Audiologists,-,-,-,32.4,0,32.4,
2014,Georgia,Counselors and Rehabilitation Counselors,-,-,-,25.9,0,25.9,
2014,Georgia,Interpreters,-,-,-,173.6,119.4,293,
2014,Georgia,Medical / Nursing Service Staff,-,-,-,93.2,0,93.2,
2014,Georgia,Occupational Therapists,-,-,-,476.3,0,476.3,
2014,Georgia,Orientation and Mobility Specialists,-,-,-,21.5,0,21.5,
2014,Georgia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,81.5,0,81.5,
2014,Georgia,Physical Therapists,-,-,-,178.2,0,178.2,
2014,Georgia,Psychologists,-,-,-,730.2,0,730.2,
2014,Georgia,Social Workers,-,-,-,65.5,0,65.5,
2014,Georgia,Speech-Language Pathologists,-,-,-,1821.3,0,1821.3,
2014,Guam,Special Education Paraprofessionals for Ages 3-5,8,0,8,-,-,-,
2014,Guam,Special Education Paraprofessionals for Ages 6-21,302,0,302,-,-,-,
2014,Guam,Total Special Education Paraprofessionals ,310,0,310,-,-,-,
2014,Guam,Special Education Teachers for Ages 3-5,7,0,7,-,-,-,
2014,Guam,Special Education Teachers for Ages 6-21,201,0,201,-,-,-,
2014,Guam,Total Special Education Teachers,208,0,208,-,-,-,
2014,Guam,Audiologists,-,-,-,1,0,1,
2014,Guam,Counselors and Rehabilitation Counselors,-,-,-,0,0,0,
2014,Guam,Interpreters,-,-,-,0,10,10,
2014,Guam,Medical / Nursing Service Staff,-,-,-,0,0,0,
2014,Guam,Occupational Therapists,-,-,-,2,1,3,
2014,Guam,Orientation and Mobility Specialists,-,-,-,2,0,2,
2014,Guam,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,1,0,1,
2014,Guam,Physical Therapists,-,-,-,0,0,0,
2014,Guam,Psychologists,-,-,-,1,0,1,
2014,Guam,Social Workers,-,-,-,5,0,5,
2014,Guam,Speech-Language Pathologists,-,-,-,11,0,11,
2014,Hawaii,Special Education Paraprofessionals for Ages 3-5,215,0,215,-,-,-,
2014,Hawaii,Special Education Paraprofessionals for Ages 6-21,2111,45,2156,-,-,-,
2014,Hawaii,Total Special Education Paraprofessionals ,2326,45,2371,-,-,-,
2014,Hawaii,Special Education Teachers for Ages 3-5,223,19,242,-,-,-,
2014,Hawaii,Special Education Teachers for Ages 6-21,1703,260,1963,-,-,-,
2014,Hawaii,Total Special Education Teachers,1926,279,2205,-,-,-,
2014,Hawaii,Audiologists,-,-,-,1,0,1,
2014,Hawaii,Counselors and Rehabilitation Counselors,-,-,-,299,0,299,
2014,Hawaii,Interpreters,-,-,-,13,0,13,
2014,Hawaii,Medical / Nursing Service Staff,-,-,-,12,0,12,
2014,Hawaii,Occupational Therapists,-,-,-,32,1,33,
2014,Hawaii,Orientation and Mobility Specialists,-,-,-,17,0,17,
2014,Hawaii,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,4,0,4,
2014,Hawaii,Physical Therapists,-,-,-,30,0,30,
2014,Hawaii,Psychologists,-,-,-,141,0,141,
2014,Hawaii,Social Workers,-,-,-,72,0,72,
2014,Hawaii,Speech-Language Pathologists,-,-,-,228,8,236,
2014,Idaho,Special Education Paraprofessionals for Ages 3-5,0,26.47,26.47,-,-,-,
2014,Idaho,Special Education Paraprofessionals for Ages 6-21,0,1557.42,1557.42,-,-,-,
2014,Idaho,Total Special Education Paraprofessionals ,0,1583.89,1583.89,-,-,-,
2014,Idaho,Special Education Teachers for Ages 3-5,116.62,2,118.62,-,-,-,
2014,Idaho,Special Education Teachers for Ages 6-21,759.16,1562.85,2322.01,-,-,-,
2014,Idaho,Total Special Education Teachers,875.78,1564.85,2440.63,-,-,-,
2014,Idaho,Audiologists,-,-,-,2.04,0,2.04,
2014,Idaho,Counselors and Rehabilitation Counselors,-,-,-,-,-,-,
2014,Idaho,Interpreters,-,-,-,0,30.34,30.34,
2014,Idaho,Medical / Nursing Service Staff,-,-,-,109.27,0,109.27,
2014,Idaho,Occupational Therapists,-,-,-,2.4,20.32,22.72,
2014,Idaho,Orientation and Mobility Specialists,-,-,-,2.31,0,2.31,
2014,Idaho,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,6.24,0.09,6.33,
2014,Idaho,Physical Therapists,-,-,-,0.7,2,2.7,
2014,Idaho,Psychologists,-,-,-,0,0,0,
2014,Idaho,Social Workers,-,-,-,-,-,-,
2014,Idaho,Speech-Language Pathologists,-,-,-,174.62,0,174.62,
2014,Illinois,Special Education Paraprofessionals for Ages 3-5,5044.91,678.83,5723.74,-,-,-,
2014,Illinois,Special Education Paraprofessionals for Ages 6-21,23449.56,3840,27289.56,-,-,-,
2014,Illinois,Total Special Education Paraprofessionals ,28494.47,4518.83,33013.3,-,-,-,
2014,Illinois,Special Education Teachers for Ages 3-5,1402.56,9.38,1411.94,-,-,-,
2014,Illinois,Special Education Teachers for Ages 6-21,21170.77,288.04,21458.81,-,-,-,
2014,Illinois,Total Special Education Teachers,22573.33,297.42,22870.75,-,-,-,
2014,Illinois,Audiologists,-,-,-,1,33.93,34.93,
2014,Illinois,Counselors and Rehabilitation Counselors,-,-,-,940.4,31.56,971.96,
2014,Illinois,Interpreters,-,-,-,8.84,214.96,223.8,
2014,Illinois,Medical / Nursing Service Staff,-,-,-,468.75,102.9,571.65,
2014,Illinois,Occupational Therapists,-,-,-,23.45,972.81,996.26,
2014,Illinois,Orientation and Mobility Specialists,-,-,-,6.45,15.5,21.95,
2014,Illinois,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,201.91,15.91,217.82,
2014,Illinois,Physical Therapists,-,-,-,3.42,370.96,374.38,
2014,Illinois,Psychologists,-,-,-,2125.98,46.47,2172.45,
2014,Illinois,Social Workers,-,-,-,3262.88,24.6,3287.48,
2014,Illinois,Speech-Language Pathologists,-,-,-,3847.76,51.61,3899.37,
2014,Indiana,Special Education Paraprofessionals for Ages 3-5,763.4,0,763.4,-,-,-,
2014,Indiana,Special Education Paraprofessionals for Ages 6-21,8929.6,0,8929.6,-,-,-,
2014,Indiana,Total Special Education Paraprofessionals ,9693,0,9693,-,-,-,
2014,Indiana,Special Education Teachers for Ages 3-5,2.54,109.85,112.39,-,-,-,
2014,Indiana,Special Education Teachers for Ages 6-21,1118.72,50.9,1169.62,-,-,-,
2014,Indiana,Total Special Education Teachers,1121.26,160.75,1282.01,-,-,-,
2014,Indiana,Audiologists,-,-,-,14.4,0,14.4,
2014,Indiana,Counselors and Rehabilitation Counselors,-,-,-,254,0,254,
2014,Indiana,Interpreters,-,-,-,347,0,347,
2014,Indiana,Medical / Nursing Service Staff,-,-,-,241.1,0,241.1,
2014,Indiana,Occupational Therapists,-,-,-,299.3,0,299.3,
2014,Indiana,Orientation and Mobility Specialists,-,-,-,48.7,0,48.7,
2014,Indiana,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,61.9,0,61.9,
2014,Indiana,Physical Therapists,-,-,-,123.5,0,123.5,
2014,Indiana,Psychologists,-,-,-,416.8,0,416.8,
2014,Indiana,Social Workers,-,-,-,345.3,0,345.3,
2014,Indiana,Speech-Language Pathologists,-,-,-,900.4,0,900.4,
2014,Iowa,Special Education Paraprofessionals for Ages 3-5,920.87,0,920.87,-,-,-,
2014,Iowa,Special Education Paraprofessionals for Ages 6-21,8763.39,0,8763.39,-,-,-,
2014,Iowa,Total Special Education Paraprofessionals ,9684.26,0,9684.26,-,-,-,
2014,Iowa,Special Education Teachers for Ages 3-5,519.03,0,519.03,-,-,-,
2014,Iowa,Special Education Teachers for Ages 6-21,5230.38,0,5230.38,-,-,-,
2014,Iowa,Total Special Education Teachers,5749.41,0,5749.41,-,-,-,
2014,Iowa,Audiologists,-,-,-,40.18,0,40.18,
2014,Iowa,Counselors and Rehabilitation Counselors,-,-,-,8.22,0,8.22,
2014,Iowa,Interpreters,-,-,-,141.31,0,141.31,
2014,Iowa,Medical / Nursing Service Staff,-,-,-,41.34,0,41.34,
2014,Iowa,Occupational Therapists,-,-,-,77.12,0,77.12,
2014,Iowa,Orientation and Mobility Specialists,-,-,-,12.35,0,12.35,
2014,Iowa,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,10.43,0,10.43,
2014,Iowa,Physical Therapists,-,-,-,51.36,0,51.36,
2014,Iowa,Psychologists,-,-,-,286.87,0,286.87,
2014,Iowa,Social Workers,-,-,-,209.83,0,209.83,
2014,Iowa,Speech-Language Pathologists,-,-,-,470.12,0,470.12,
2014,Kansas,Special Education Paraprofessionals for Ages 3-5,1004.74,0,1004.74,-,-,-,
2014,Kansas,Special Education Paraprofessionals for Ages 6-21,11252.6,0,11252.6,-,-,-,
2014,Kansas,Total Special Education Paraprofessionals ,12257.34,0,12257.34,-,-,-,
2014,Kansas,Special Education Teachers for Ages 3-5,513.22,0,513.22,-,-,-,
2014,Kansas,Special Education Teachers for Ages 6-21,2876.76,1365.92,4242.68,-,-,-,
2014,Kansas,Total Special Education Teachers,3389.98,1365.92,4755.9,-,-,-,
2014,Kansas,Audiologists,-,-,-,25.06,-,25.06,
