County,2000 Age 15-19 Population,2000 Deaths,2000 Rate,2010 Age 15-19 Population,2010 Deaths,2010 Rate,2000-2010 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Jones,"1,378",0,0,"1,303",0,0,0.00%,19_053,19,2,4,,
Keokuk,864,3,347,708,0,0,-100.00%,19_054,19,2,4,,
Kossuth,"1,390",1,72,"1,017",0,0,-100.00%,19_055,19,2,4,,
Lee,"2,638",2,76,"2,371",C,N/A,N/A,19_056,19,2,4,,
Linn,"13,891",7,50,"15,343",6,39,-22.40%,19_057,19,2,4,,
Louisa,874,0,0,820,0,0,0.00%,19_058,19,2,4,,
Lucas,678,0,0,627,C,N/A,N/A,19_059,19,2,4,,
Lyon,917,1,109,779,0,0,-100.00%,19_119,19,2,4,,
Madison,"1,031",1,97,"1,005",0,0,-100.00%,19_121,19,2,4,,
Mahaska,"1,717",0,0,"1,553",0,0,0.00%,19_123,19,2,4,,
Marion,"2,591",0,0,"2,674",C,N/A,N/A,19_125,19,2,4,,
Marshall,"2,889",0,0,"2,891",C,N/A,N/A,19_127,19,2,4,,
Mills,"1,100",2,182,"1,050",0,0,-100.00%,19_129,19,2,4,,
Mitchell,785,0,0,744,0,0,0.00%,19_131,19,2,4,,
Monona,671,1,149,583,0,0,-100.00%,19_133,19,2,4,,
Monroe,558,0,0,540,C,N/A,N/A,19_135,19,2,4,,
Montgomery,820,0,0,710,0,0,0.00%,19_137,19,2,4,,
Muscatine,"3,102",0,0,"3,013",0,0,0.00%,19_139,19,2,4,,
O'Brien,"1,198",1,83,887,0,0,-100.00%,19_141,19,2,4,,
Osceola,514,0,0,419,C,N/A,N/A,19_143,19,2,4,,
Page,"1,254",1,80,"1,113",C,N/A,N/A,19_145,19,2,4,,
Palo Alto,914,1,109,665,0,0,-100.00%,19_147,19,2,4,,
Plymouth,"2,101",1,48,"1,778",C,N/A,N/A,19_149,19,2,4,,
Pocahontas,633,1,158,456,0,0,-100.00%,19_151,19,2,4,,
Polk,"25,121",11,44,"27,808",12,43,-1.50%,19_153,19,2,4,,
Pottawattamie,"6,672",2,30,"6,699",C,N/A,N/A,19_155,19,2,4,,
Poweshiek,"1,626",1,62,"1,587",0,0,-100.00%,19_157,19,2,4,,
Ringgold,430,0,0,296,0,0,0.00%,19_159,19,2,4,,
Sac,830,0,0,610,0,0,0.00%,19_161,19,2,4,,
Scott,"11,698",4,34,"11,046",6,54,58.90%,19_163,19,2,4,,
Shelby,997,0,0,798,C,N/A,N/A,19_165,19,2,4,,
Sioux,"3,492",8,229,"3,090",C,N/A,N/A,19_167,19,2,4,,
Story,"9,090",1,11,"9,609",0,0,-100.00%,19_169,19,2,4,,
Tama,"1,354",1,74,"1,296",0,0,-100.00%,19_171,19,2,4,,
Taylor,527,2,380,377,0,0,-100.00%,19_173,19,2,4,,
Union,969,0,0,867,C,N/A,N/A,19_175,19,2,4,,
Van Buren,543,1,184,508,0,0,-100.00%,19_177,19,2,4,,
Wapello,"2,646",0,0,"2,509",C,N/A,N/A,19_179,19,2,4,,
Warren,"3,317",1,30,"3,530",5,142,369.80%,19_181,19,2,4,,
Washington,"1,420",0,0,"1,454",C,N/A,N/A,19_183,19,2,4,,
Wayne,469,2,426,441,0,0,-100.00%,19_185,19,2,4,,
Webster,"3,277",1,31,"2,985",C,N/A,N/A,19_187,19,2,4,,
Winnebago,"1,026",1,97,765,0,0,-100.00%,19_189,19,2,4,,
Winneshiek,"2,259",1,44,"2,058",0,0,-100.00%,19_191,19,2,4,,
Woodbury,"7,959",2,25,"7,812",C,N/A,N/A,19_193,19,2,4,,
Worth,544,0,0,554,0,0,0.00%,19_195,19,2,4,,
Wright,"1,002",1,100,849,C,N/A,N/A,19_197,19,2,4,,
State,"226,420",107,47,"216,837",109,50,6.40%,,19,2,4,,
Rural,"35,776",27,75,"30,371",21,69,-8.40%,,,,,,IA_Rural_Counties
Small Urban,"87,109",47,54,"80,179",51,64,17.90%,,,,,,IA_Urban_Counties
Metropolitan,"103,535",33,32,"106,287",37,35,9.20%,,,,,,IA_Metropolitan_Counties
United States,"20,219,890","13,563",67,"21,783,764","11,901",55,-18.60%,,,,,US_National,
