County,2000 Live Births,2000 Low Birthweight,2000 Percentage,2011 Live Births,2011 Low Birthweight,2011 Percentage,2000-2011 Percentage,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Mills,155,5,3.20%,147,16,10.90%,237.40%,19_129,19,2,4,,
Mitchell,131,4,3.10%,118,7,5.90%,94.30%,19_131,19,2,4,,
Monona,98,7,7.10%,83,8,9.60%,34.90%,19_133,19,2,4,,
Monroe,102,C,N/A,81,6,7.40%,N/A,19_135,19,2,4,,
Montgomery,139,7,5.00%,104,7,6.70%,33.70%,19_137,19,2,4,,
Muscatine,638,27,4.20%,533,27,5.10%,19.70%,19_139,19,2,4,,
O'Brien,187,7,3.70%,146,7,4.80%,28.10%,19_141,19,2,4,,
Osceola,73,5,6.80%,62,C,N/A,N/A,19_143,19,2,4,,
Page,169,9,5.30%,182,6,3.30%,-38.10%,19_145,19,2,4,,
Palo Alto,110,C,N/A,96,4,4.20%,N/A,19_147,19,2,4,,
Plymouth,309,14,4.50%,284,19,6.70%,47.70%,19_149,19,2,4,,
Pocahontas,73,C,N/A,79,8,10.10%,N/A,19_151,19,2,4,,
Polk,"6,216",387,6.20%,"6,498",466,7.20%,15.20%,19_153,19,2,4,,
Pottawattamie,"1,184",76,6.40%,"1,194",81,6.80%,5.70%,19_155,19,2,4,,
Poweshiek,212,13,6.10%,183,12,6.60%,6.90%,19_157,19,2,4,,
Ringgold,69,4,5.80%,51,6,11.80%,102.90%,19_159,19,2,4,,
Sac,135,12,8.90%,109,4,3.70%,-58.70%,19_161,19,2,4,,
Scott,"2,348",166,7.10%,"2,275",157,6.90%,-2.40%,19_163,19,2,4,,
Shelby,150,12,8.00%,127,6,4.70%,-40.90%,19_165,19,2,4,,
Sioux,457,16,3.50%,497,25,5.00%,43.70%,19_167,19,2,4,,
Story,940,47,5.00%,970,43,4.40%,-11.30%,19_169,19,2,4,,
Tama,251,19,7.60%,213,20,9.40%,24.00%,19_171,19,2,4,,
Taylor,87,13,14.90%,65,4,6.20%,-58.80%,19_173,19,2,4,,
Union,127,7,5.50%,146,11,7.50%,36.70%,19_175,19,2,4,,
Van Buren,97,C,N/A,84,6,7.10%,N/A,19_177,19,2,4,,
Wapello,424,36,8.50%,424,30,7.10%,-16.70%,19_179,19,2,4,,
Warren,513,28,5.50%,515,30,5.80%,6.70%,19_181,19,2,4,,
Washington,290,16,5.50%,268,18,6.70%,21.70%,19_183,19,2,4,,
Wayne,79,4,5.10%,90,10,11.10%,119.40%,19_185,19,2,4,,
Webster,492,30,6.10%,423,32,7.60%,24.10%,19_187,19,2,4,,
Winnebago,134,9,6.70%,102,5,4.90%,-27.00%,19_189,19,2,4,,
Winneshiek,191,12,6.30%,187,11,5.90%,-6.40%,19_191,19,2,4,,
Woodbury,"1,692",128,7.60%,"1,593",97,6.10%,-19.50%,19_193,19,2,4,,
Worth,84,11,13.10%,70,C,N/A,N/A,19_195,19,2,4,,
Wright,168,14,8.30%,151,10,6.60%,-20.50%,19_197,19,2,4,,
State,"38,250","2,346",6.10%,"38,204","2,499",6.50%,6.60%,,19,2,4,,
Rural,"5,454",338,6.20%,"5,026",301,6.00%,-3.40%,,,,,,IA_Rural_Counties
Small Urban,"13,547",822,6.10%,"13,416",868,6.50%,6.60%,,,,,,IA_Urban_Counties
Metropolitan,"19,249","1,186",6.20%,"19,762","1,330",6.70%,9.20%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","308,219",7.60%,"4,000,279","326,023",8.20%,7.20%,,,,,US_National,
