County,2000 Live Births,2000 Infant Deaths,2000 Rate,2010 Live Births,2010 Infant Deaths,2010 Rate,2000-2010 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Howard,110,1,9.1,108,0,0,-100.00%,19_045,19,2,4,,
Humboldt,99,0,0,111,0,0,0.00%,19_046,19,2,4,,
Ida,70,1,14.3,83,0,0,-100.00%,19_047,19,2,4,,
Iowa,183,1,5.5,184,C,N/A,N/A,19_048,19,2,4,,
Jackson,239,3,12.6,174,C,N/A,N/A,19_049,19,2,4,,
Jasper,458,2,4.4,415,C,N/A,N/A,19_050,19,2,4,,
Jefferson,145,0,0,129,C,N/A,N/A,19_051,19,2,4,,
Johnson,"1,382",7,5.1,"1,792",10,5.6,10.20%,19_052,19,2,4,,
Jones,227,0,0,227,C,N/A,N/A,19_053,19,2,4,,
Keokuk,154,0,0,113,C,N/A,N/A,19_054,19,2,4,,
Kossuth,166,1,6,179,0,0,-100.00%,19_055,19,2,4,,
Lee,410,4,9.8,385,C,N/A,N/A,19_056,19,2,4,,
Linn,"2,715",12,4.4,"2,761",7,2.5,-42.60%,19_057,19,2,4,,
Louisa,164,1,6.1,134,C,N/A,N/A,19_058,19,2,4,,
Lucas,119,3,25.2,113,C,N/A,N/A,19_059,19,2,4,,
Lyon,159,1,6.3,174,0,0,-100.00%,19_119,19,2,4,,
Madison,196,2,10.2,205,C,N/A,N/A,19_121,19,2,4,,
Mahaska,283,9,31.8,292,C,N/A,N/A,19_123,19,2,4,,
Marion,383,1,2.6,374,4,10.7,309.60%,19_125,19,2,4,,
Marshall,556,3,5.4,557,C,N/A,N/A,19_127,19,2,4,,
Mills,155,0,0,155,0,0,0.00%,19_129,19,2,4,,
Mitchell,131,1,7.6,145,C,N/A,N/A,19_131,19,2,4,,
Monona,98,0,0,90,0,0,0.00%,19_133,19,2,4,,
Monroe,102,1,9.8,98,C,N/A,N/A,19_135,19,2,4,,
Montgomery,139,1,7.2,107,0,0,-100.00%,19_137,19,2,4,,
Muscatine,638,1,1.6,572,C,N/A,N/A,19_139,19,2,4,,
O'Brien,187,1,5.3,176,C,N/A,N/A,19_141,19,2,4,,
Osceola,73,0,0,59,0,0,0.00%,19_143,19,2,4,,
Page,169,0,0,156,C,N/A,N/A,19_145,19,2,4,,
Palo Alto,110,1,9.1,101,0,0,-100.00%,19_147,19,2,4,,
Plymouth,309,7,22.7,265,0,0,-100.00%,19_149,19,2,4,,
Pocahontas,73,0,0,69,C,N/A,N/A,19_151,19,2,4,,
Polk,"6,216",46,7.4,"6,521",38,5.8,-21.30%,19_153,19,2,4,,
Pottawattamie,"1,184",8,6.8,"1,321",5,3.8,-44.00%,19_155,19,2,4,,
Poweshiek,212,0,0,207,C,N/A,N/A,19_157,19,2,4,,
Ringgold,69,0,0,54,C,N/A,N/A,19_159,19,2,4,,
Sac,135,0,0,96,0,0,0.00%,19_161,19,2,4,,
Scott,"2,348",20,8.5,"2,101",8,3.8,-55.30%,19_163,19,2,4,,
Shelby,150,2,13.3,117,C,N/A,N/A,19_165,19,2,4,,
Sioux,457,1,2.2,527,C,N/A,N/A,19_167,19,2,4,,
Story,940,6,6.4,945,0,0,-100.00%,19_169,19,2,4,,
Tama,251,1,4,211,C,N/A,N/A,19_171,19,2,4,,
Taylor,87,0,0,78,0,0,0.00%,19_173,19,2,4,,
Union,127,2,15.7,147,C,N/A,N/A,19_175,19,2,4,,
Van Buren,97,0,0,106,C,N/A,N/A,19_177,19,2,4,,
Wapello,424,2,4.7,454,C,N/A,N/A,19_179,19,2,4,,
Warren,513,3,5.8,523,5,9.6,63.50%,19_181,19,2,4,,
Washington,290,0,0,278,C,N/A,N/A,19_183,19,2,4,,
Wayne,79,1,12.7,79,0,0,-100.00%,19_185,19,2,4,,
Webster,492,2,4.1,442,C,N/A,N/A,19_187,19,2,4,,
Winnebago,134,0,0,120,C,N/A,N/A,19_189,19,2,4,,
Winneshiek,191,1,5.2,166,0,0,-100.00%,19_191,19,2,4,,
Woodbury,"1,692",9,5.3,"1,552",6,3.9,-27.30%,19_193,19,2,4,,
Worth,84,2,23.8,71,C,N/A,N/A,19_195,19,2,4,,
Wright,168,1,6,154,0,0,-100.00%,19_197,19,2,4,,
State,"38,250",241,6.3,"38,514",187,4.9,-22.90%,,19,2,4,,
Rural,"5,454",29,5.3,"5,152",30,5.8,9.50%,,,,,,IA_Rural_Counties
Small Urban,"13,547",84,6.2,"13,488",67,5,-19.90%,,,,,,IA_Urban_Counties
Metropolitan,"19,249",128,6.6,"19,874",90,4.5,-31.90%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","27,983",6.9,"4,131,019","26,531",6.4,-6.90%,,,,,US_National,
