Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions without educational services on females	66	27	0	0	66	27	DS	0.8	DS	0.8	13	5.3	10	4.1	37	15.2	0	0	DS	0.8	9	3.7	"2,077"	27	2	4
Expulsions without educational services total	244	100	0	0	244	100	7	2.9	4	1.6	39	16	34	13.9	151	61.9	0	0	9	3.7	22	9	"2,077"	27	2	4
Expulsions with or without educational services on males	973	60.5	8	0.5	965	60	28	1.7	7	0.4	73	4.6	501	31.3	344	21.5	0	0	12	0.7	37	2.3	"2,077"	27	2	4
Expulsions with or without educational services on females	636	39.5	0	0	636	39.5	28	1.7	DS	0.1	42	2.6	426	26.6	129	8.1	0	0	9	0.6	17	1.1	"2,077"	27	2	4
Expulsions with or without educational services total	"1,609"	100	8	0.5	"1,601"	99.5	56	3.5	9	0.6	115	7.2	927	57.9	473	29.5	0	0	21	1.3	54	3.4	"2,077"	27	2	4
Expulsions under zero-tolerance policies on males	118	81.4	DS	1.4	116	80	8	5.6	0	0	8	5.6	16	11.2	79	55.2	0	0	5	3.5	0	0	"2,077"	27	2	4
Expulsions under zero-tolerance policies on females	27	18.6	0	0	27	18.6	DS	1.4	0	0	4	2.8	4	2.8	15	10.5	0	0	DS	1.4	0	0	"2,077"	27	2	4
Expulsions under zero-tolerance policies total	145	100	DS	1.4	143	98.6	10	7	0	0	12	8.4	20	14	94	65.7	0	0	7	4.9	0	0	"2,077"	27	2	4
Referral to law enforcement on males	"3,974"	70	13	0.2	"3,961"	69.7	155	2.7	129	2.3	370	6.5	"1,005"	17.8	"2,262"	40	DS	0	38	0.7	217	3.8	"2,077"	27	2	4
Referral to law enforcement on females	"1,705"	30	8	0.1	"1,697"	29.9	89	1.6	35	0.6	156	2.8	533	9.4	854	15.1	DS	0	28	0.5	58	1	"2,077"	27	2	4
Referral to law enforcement total	"5,679"	100	21	0.4	"5,658"	99.6	244	4.3	164	2.9	526	9.3	"1,538"	27.2	"3,116"	55.1	4	0.1	66	1.2	275	4.8	"2,077"	27	2	4
School-related arrests on males	700	71.9	DS	0.2	698	71.7	25	2.6	13	1.3	52	5.4	183	18.9	419	43.2	0	0	6	0.6	12	1.2	"2,077"	27	2	4
School-related arrests on females	273	28.1	DS	0.2	271	27.9	7	0.7	DS	0.2	9	0.9	81	8.4	166	17.1	DS	0.2	4	0.4	DS	0.2	"2,077"	27	2	4
School-related arrests total	973	100	4	0.4	969	99.6	32	3.3	15	1.5	61	6.3	264	27.2	585	60.4	DS	0.2	10	1	14	1.4	"2,077"	27	2	4
