County,2003 Age 0-4 Population,2003 Receiving WIC,2003 Percentage,2009 Age 0-4 Population,2009 Receiving WIC,2009 Percentage,2003-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Dubuque,"5,683","1,396",24.60%,"6,114","1,690",27.60%,12.50%,19_031,19,2,4,,
Emmet,601,230,38.30%,701,245,35.00%,-8.70%,19_032,19,2,4,,
Fayette,"1,091",313,28.70%,"1,190",365,30.70%,6.90%,19_033,19,2,4,,
Floyd,941,237,25.20%,"1,043",296,28.40%,12.70%,19_034,19,2,4,,
Franklin,575,221,38.40%,697,247,35.40%,-7.80%,19_035,19,2,4,,
Fremont,404,125,30.90%,451,94,20.80%,-32.60%,19_036,19,2,4,,
Greene,518,174,33.60%,518,158,30.50%,-9.20%,19_037,19,2,4,,
Grundy,604,95,15.70%,700,75,10.70%,-31.90%,19_038,19,2,4,,
Guthrie,647,158,24.40%,592,88,14.90%,-39.10%,19_039,19,2,4,,
Hamilton,959,276,28.80%,906,319,35.20%,22.30%,19_040,19,2,4,,
Hancock,607,122,20.10%,676,142,21.00%,4.50%,19_041,19,2,4,,
Hardin,"1,031",314,30.50%,"1,072",317,29.60%,-2.90%,19_042,19,2,4,,
Harrison,859,207,24.10%,948,187,19.70%,-18.10%,19_043,19,2,4,,
Henry,"1,133",271,23.90%,"1,177",326,27.70%,15.80%,19_044,19,2,4,,
Howard,534,140,26.20%,656,168,25.60%,-2.30%,19_045,19,2,4,,
Humboldt,512,197,38.50%,589,190,32.30%,-16.20%,19_046,19,2,4,,
Ida,375,145,38.70%,423,148,35.00%,-9.50%,19_047,19,2,4,,
Iowa,869,184,21.20%,"1,013",133,13.10%,-38.00%,19_048,19,2,4,,
Jackson,"1,093",292,26.70%,"1,066",231,21.70%,-18.90%,19_049,19,2,4,,
Jasper,"2,225",488,21.90%,"2,192",607,27.70%,26.30%,19_050,19,2,4,,
Jefferson,757,260,34.30%,804,289,35.90%,4.70%,19_051,19,2,4,,
Johnson,"6,454","1,421",22.00%,"8,084","1,666",20.60%,-6.40%,19_052,19,2,4,,
Jones,"1,033",203,19.70%,"1,186",215,18.10%,-7.80%,19_053,19,2,4,,
Keokuk,665,122,18.30%,646,109,16.90%,-8.00%,19_054,19,2,4,,
Kossuth,826,217,26.30%,888,212,23.90%,-9.10%,19_055,19,2,4,,
Lee,"2,045",660,32.30%,"2,076",614,29.60%,-8.40%,19_056,19,2,4,,
Linn,"13,441","3,338",24.80%,"14,504","3,402",23.50%,-5.60%,19_057,19,2,4,,
Louisa,807,288,35.70%,698,223,31.90%,-10.50%,19_058,19,2,4,,
Lucas,522,220,42.10%,557,265,47.60%,12.90%,19_059,19,2,4,,
Lyon,759,145,19.10%,872,144,16.50%,-13.60%,19_119,19,2,4,,
Madison,949,207,21.80%,"1,064",220,20.70%,-5.20%,19_121,19,2,4,,
Mahaska,"1,360",421,31.00%,"1,459",522,35.80%,15.60%,19_123,19,2,4,,
Marion,"1,932",596,30.80%,"2,203",646,29.30%,-4.90%,19_125,19,2,4,,
Marshall,"2,608","1,139",43.70%,"3,102","1,571",50.60%,16.00%,19_127,19,2,4,,
Mills,844,193,22.90%,946,205,21.70%,-5.20%,19_129,19,2,4,,
Mitchell,630,123,19.50%,643,110,17.10%,-12.40%,19_131,19,2,4,,
Monona,486,212,43.60%,498,181,36.30%,-16.70%,19_133,19,2,4,,
Monroe,439,139,31.70%,479,187,39.00%,23.30%,19_135,19,2,4,,
Montgomery,655,268,40.90%,672,254,37.80%,-7.60%,19_137,19,2,4,,
Muscatine,"2,945","1,128",38.30%,"3,220","1,287",40.00%,4.40%,19_139,19,2,4,,
O'Brien,782,174,22.30%,938,262,27.90%,25.50%,19_141,19,2,4,,
Osceola,365,117,32.10%,372,113,30.40%,-5.20%,19_143,19,2,4,,
Page,835,333,39.90%,848,354,41.70%,4.70%,19_145,19,2,4,,
Palo Alto,527,117,22.20%,589,158,26.80%,20.80%,19_147,19,2,4,,
Plymouth,"1,510",266,17.60%,"1,652",308,18.60%,5.80%,19_149,19,2,4,,
Pocahontas,361,98,27.10%,405,108,26.70%,-1.80%,19_151,19,2,4,,
Polk,"29,078","6,415",22.10%,"34,355","8,232",24.00%,8.60%,19_153,19,2,4,,
Pottawattamie,"5,788","2,212",38.20%,"6,191","2,399",38.70%,1.40%,19_155,19,2,4,,
Poweshiek,950,221,23.30%,977,322,33.00%,41.70%,19_157,19,2,4,,
Ringgold,306,101,33.00%,318,73,23.00%,-30.50%,19_159,19,2,4,,
Sac,527,108,20.50%,594,120,20.20%,-1.40%,19_161,19,2,4,,
Scott,"11,036","3,247",29.40%,"11,844","3,705",31.30%,6.30%,19_163,19,2,4,,
Shelby,674,201,29.80%,595,169,28.40%,-4.80%,19_165,19,2,4,,
Sioux,"2,111",639,30.30%,"2,582",779,30.20%,-0.30%,19_167,19,2,4,,
Story,"4,117",981,23.80%,"4,918","1,260",25.60%,7.50%,19_169,19,2,4,,
Tama,"1,127",361,32.00%,"1,152",379,32.90%,2.70%,19_171,19,2,4,,
Taylor,367,144,39.20%,364,135,37.10%,-5.50%,19_173,19,2,4,,
Union,631,361,57.20%,826,353,42.70%,-25.30%,19_175,19,2,4,,
Van Buren,407,94,23.10%,479,78,16.30%,-29.50%,19_177,19,2,4,,
Wapello,"2,135","1,169",54.80%,"2,450","1,480",60.40%,10.30%,19_179,19,2,4,,
Warren,"2,486",496,20.00%,"2,875",666,23.20%,16.10%,19_181,19,2,4,,
Washington,"1,413",283,20.00%,"1,484",241,16.20%,-18.90%,19_183,19,2,4,,
Wayne,350,120,34.30%,418,121,28.90%,-15.60%,19_185,19,2,4,,
Webster,"2,361",876,37.10%,"2,417","1,027",42.50%,14.50%,19_187,19,2,4,,
Winnebago,608,227,37.30%,601,216,35.90%,-3.70%,19_189,19,2,4,,
Winneshiek,934,213,22.80%,"1,031",220,21.30%,-6.40%,19_191,19,2,4,,
Woodbury,"7,732","2,810",36.30%,"8,281","3,340",40.30%,11.00%,19_193,19,2,4,,
Worth,400,41,10.30%,412,52,12.60%,23.10%,19_195,19,2,4,,
Wright,764,291,38.10%,842,408,48.50%,27.20%,19_197,19,2,4,,
State,"181,365","51,182",28.20%,"203,997","58,849",28.80%,2.20%,,19,2,4,,
Rural,"26,630","7,315",27.50%,"29,383","7,494",25.50%,-7.20%,,,,,,IA_Rural_Counties
Small Urban,"64,114","19,256",30.00%,"71,674","22,227",31.00%,3.30%,,,,,,IA_Urban_Counties
Metropolitan,"90,621","24,611",27.20%,"102,940","29,128",28.30%,4.20%,,,,,,IA_Metropolitan_Counties
United States,"19,778,166","5,773,612",29.20%,"21,299,656","6,939,385",32.60%,11.60%,,,,,US_National,
