Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	99	17.5	DS	0.4	97	17.2	27	4.8	DS	0.4	14	2.5	13	2.3	39	7	0	0	DS	0.4	10	1.8	668	46	2	4
More than one out-of-school suspension total	565	100	4	0.7	561	99.3	160	28.5	6	1.1	43	7.7	49	8.7	291	51.9	0	0	12	2.1	27	4.8	668	46	2	4
One or more out-of-school suspensions on males	852	80.6	6	0.6	846	80	241	23	6	0.6	48	4.6	55	5.2	477	45.5	0	0	19	1.8	42	4	668	46	2	4
One or more out-of-school suspensions on females	205	19.4	DS	0.2	203	19.2	63	6	DS	0.2	18	1.7	21	2	97	9.2	0	0	DS	0.2	15	1.4	668	46	2	4
One or more out-of-school suspensions total	"1,057"	100	8	0.8	"1,049"	99.2	304	29	8	0.8	66	6.3	76	7.2	574	54.7	0	0	21	2	57	5.4	668	46	2	4
Expulsions with educational services on males	13	100	0	0	13	100	DS	15.4	0	0	DS	15.4	0	0	9	69.2	0	0	0	0	DS	15.4	668	46	2	4
Expulsions with educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	46	2	4
Expulsions with educational services total	13	100	0	0	13	100	DS	15.4	0	0	DS	15.4	0	0	9	69.2	0	0	0	0	DS	15.4	668	46	2	4
Expulsions without educational services on males	4	100	0	0	4	100	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	DS	50	668	46	2	4
Expulsions without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	46	2	4
Expulsions without educational services total	4	100	0	0	4	100	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	DS	50	668	46	2	4
Expulsions with or without educational services on males	17	100	0	0	17	100	4	23.5	0	0	DS	11.8	0	0	11	64.7	0	0	0	0	DS	11.8	668	46	2	4
Expulsions with or without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	46	2	4
Expulsions with or without educational services total	17	100	0	0	17	100	4	23.5	0	0	DS	11.8	0	0	11	64.7	0	0	0	0	DS	11.8	668	46	2	4
Expulsions under zero-tolerance policies on males	DS	100	0	0	DS	100	DS	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	46	2	4
Expulsions under zero-tolerance policies on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	46	2	4
Expulsions under zero-tolerance policies total	DS	100	0	0	DS	100	DS	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	46	2	4
Referral to law enforcement on males	206	82.1	8	3.2	198	78.9	48	19.9	DS	0.8	15	6.2	13	5.4	115	47.7	0	0	5	2.1	10	4	668	46	2	4
Referral to law enforcement on females	45	17.9	DS	0.8	43	17.1	15	6.2	DS	0.8	DS	0.8	6	2.5	18	7.5	0	0	0	0	5	2	668	46	2	4
Referral to law enforcement total	251	100	10	4	241	96	63	26.1	4	1.7	17	7.1	19	7.9	133	55.2	0	0	5	2.1	15	6	668	46	2	4
School-related arrests on males	66	77.6	DS	2.4	64	75.3	19	23.5	0	0	4	4.9	DS	2.5	39	48.1	0	0	0	0	0	0	668	46	2	4
School-related arrests on females	19	22.4	DS	2.4	17	20	7	8.6	DS	2.5	0	0	0	0	8	9.9	0	0	0	0	0	0	668	46	2	4
School-related arrests total	85	100	4	4.7	81	95.3	26	32.1	DS	2.5	4	4.9	DS	2.5	47	58	0	0	0	0	0	0	668	46	2	4
