County,2000 Age 15-19 Population,2000 Deaths,2000 Rate,2008 Age 15-19 Population,2008 Deaths,2008 Rate,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Johnson,"10,933",3,27,"11,734",C,N/A,N/A,19_052,19,2,4,,
Jones,"1,378",0,0,"1,284",C,N/A,N/A,19_053,19,2,4,,
Keokuk,864,3,347,767,0,0,-100.00%,19_054,19,2,4,,
Kossuth,"1,390",1,72,"1,025",C,N/A,N/A,19_055,19,2,4,,
Lee,"2,638",2,76,"2,446",C,N/A,N/A,19_056,19,2,4,,
Linn,"13,891",7,50,"14,746",4,27,-46.20%,19_057,19,2,4,,
Louisa,874,0,0,863,0,0,0.00%,19_058,19,2,4,,
Lucas,678,0,0,623,0,0,0.00%,19_059,19,2,4,,
Lyon,917,1,109,841,0,0,-100.00%,19_119,19,2,4,,
Madison,"1,031",1,97,"1,045",0,0,-100.00%,19_121,19,2,4,,
Mahaska,"1,717",0,0,"1,538",0,0,0.00%,19_123,19,2,4,,
Marion,"2,591",0,0,"2,543",0,0,0.00%,19_125,19,2,4,,
Marshall,"2,889",0,0,"2,564",C,N/A,N/A,19_127,19,2,4,,
Mills,"1,100",2,182,"1,086",C,N/A,N/A,19_129,19,2,4,,
Mitchell,785,0,0,782,C,N/A,N/A,19_131,19,2,4,,
Monona,671,1,149,571,0,0,-100.00%,19_133,19,2,4,,
Monroe,558,0,0,499,0,0,0.00%,19_135,19,2,4,,
Montgomery,820,0,0,740,0,0,0.00%,19_137,19,2,4,,
Muscatine,"3,102",0,0,"3,029",C,N/A,N/A,19_139,19,2,4,,
O'Brien,"1,198",1,83,895,0,0,-100.00%,19_141,19,2,4,,
Osceola,514,0,0,500,0,0,0.00%,19_143,19,2,4,,
Page,"1,254",1,80,"1,057",C,N/A,N/A,19_145,19,2,4,,
Palo Alto,914,1,109,725,C,N/A,N/A,19_147,19,2,4,,
Plymouth,"2,101",1,48,"1,755",C,N/A,N/A,19_149,19,2,4,,
Pocahontas,633,1,158,563,0,0,-100.00%,19_151,19,2,4,,
Polk,"25,121",11,44,"27,325",18,66,50.40%,19_153,19,2,4,,
Pottawattamie,"6,672",2,30,"6,318",6,95,216.80%,19_155,19,2,4,,
Poweshiek,"1,626",1,62,"1,631",C,N/A,N/A,19_157,19,2,4,,
Ringgold,430,0,0,303,0,0,0.00%,19_159,19,2,4,,
Sac,830,0,0,663,0,0,0.00%,19_161,19,2,4,,
Scott,"11,698",4,34,"11,641",C,N/A,N/A,19_163,19,2,4,,
Shelby,997,0,0,858,0,0,0.00%,19_165,19,2,4,,
Sioux,"3,492",8,229,"3,059",0,0,-100.00%,19_167,19,2,4,,
Story,"9,090",1,11,"9,318",C,N/A,N/A,19_169,19,2,4,,
Tama,"1,354",1,74,"1,255",0,0,-100.00%,19_171,19,2,4,,
Taylor,527,2,380,429,0,0,-100.00%,19_173,19,2,4,,
Union,969,0,0,933,C,N/A,N/A,19_175,19,2,4,,
Van Buren,543,1,184,523,0,0,-100.00%,19_177,19,2,4,,
Wapello,"2,646",0,0,"2,377",C,N/A,N/A,19_179,19,2,4,,
Warren,"3,317",1,30,"3,326",0,0,-100.00%,19_181,19,2,4,,
Washington,"1,420",0,0,"1,372",C,N/A,N/A,19_183,19,2,4,,
Wayne,469,2,426,415,0,0,-100.00%,19_185,19,2,4,,
Webster,"3,277",1,31,"3,239",C,N/A,N/A,19_187,19,2,4,,
Winnebago,"1,026",1,97,879,0,0,-100.00%,19_189,19,2,4,,
Winneshiek,"2,259",1,44,"1,962",C,N/A,N/A,19_191,19,2,4,,
Woodbury,"7,959",2,25,"7,700",7,91,261.80%,19_193,19,2,4,,
Worth,544,0,0,506,0,0,0.00%,19_195,19,2,4,,
Wright,"1,002",1,100,856,0,0,-100.00%,19_197,19,2,4,,
State,"226,420",107,47,"216,795",102,47,-0.40%,,19,2,4,,
Rural,"36,807",28,76,"32,365",15,46,-39.10%,,,,,,IA_Rural_Counties
Small Urban,"86,078",46,53,"78,748",41,52,-2.60%,,,,,,IA_Urban_Counties
Metropolitan,"103,535",33,32,"105,682",46,44,36.60%,,,,,,IA_Metropolitan_Counties
United States,"20,219,890","13,563",67,"21,445,610","13,631",64,-5.20%,,,,,US_National,
