Retained in grade 12,Delaware,281 ,1 to 3,1.1 ,13 ,4.6 ,31 ,11.0 ,119 ,42.3 ,109 ,38.8 ,0 ,0.0 ,6 ,2.1 ,142 ,50.5 ,7 ,2.5 ,6 ,2.1 ,24 ,100.0 
Retained in grade 12,District of Columbia,73 ,0 ,0.0 ,0 ,0.0 ,8 ,11.0 ,61 ,83.6 ,1 to 3,2.7 ,0 ,0.0 ,1 to 3,2.7 ,26 ,35.6 ,0 ,0.0 ,1 to 3,2.7 ,16 ,100.0 
Retained in grade 12,Florida,"9,781 ",35 ,0.4 ,145 ,1.5 ,"2,692 ",27.5 ,"3,762 ",38.5 ,"2,923 ",29.9 ,11 ,0.1 ,213 ,2.2 ,"2,548 ",26.1 ,243 ,2.5 ,703 ,7.2 ,455 ,100.0 
Retained in grade 12,Georgia,"6,160 ",16 ,0.3 ,241 ,3.9 ,880 ,14.3 ,"3,278 ",53.2 ,"1,603 ",26.0 ,7 ,0.1 ,135 ,2.2 ,"2,303 ",37.4 ,295 ,4.8 ,309 ,5.0 ,393 ,100.0 
Retained in grade 12,Hawaii,93 ,0 ,0.0 ,17 ,18.3 ,8 ,8.6 ,5 ,5.4 ,14 ,15.1 ,44 ,47.3 ,5 ,5.4 ,37 ,39.8 ,0 ,0.0 ,9 ,9.7 ,35 ,100.0 
Retained in grade 12,Idaho,415 ,10 ,2.4 ,6 ,1.4 ,105 ,25.3 ,7 ,1.7 ,277 ,66.7 ,1 to 3,0.7 ,7 ,1.7 ,86 ,20.7 ,19 ,4.6 ,32 ,7.7 ,58 ,100.0 
Retained in grade 12,Illinois,"5,884 ",23 ,0.4 ,181 ,3.1 ,"1,766 ",30.0 ,"1,547 ",26.3 ,"2,241 ",38.1 ,16 ,0.3 ,110 ,1.9 ,"2,788 ",47.4 ,122 ,2.1 ,481 ,8.2 ,477 ,99.6 
Retained in grade 12,Indiana,"1,657 ",9 ,0.5 ,27 ,1.6 ,169 ,10.2 ,302 ,18.2 ,"1,076 ",64.9 ,1 to 3,0.1 ,72 ,4.3 ,603 ,36.4 ,39 ,2.4 ,117 ,7.1 ,134 ,100.0 
Retained in grade 12,Iowa,"1,023 ",10 ,1.0 ,41 ,4.0 ,239 ,23.4 ,123 ,12.0 ,571 ,55.8 ,0 ,0.0 ,39 ,3.8 ,330 ,32.3 ,18 ,1.8 ,47 ,4.6 ,80 ,100.0 
Retained in grade 12,Kansas,492 ,14 ,2.8 ,9 ,1.8 ,125 ,25.4 ,103 ,20.9 ,224 ,45.5 ,1 to 3,0.6 ,14 ,2.8 ,142 ,28.9 ,1 to 3,0.6 ,58 ,11.8 ,76 ,100.0 
Retained in grade 12,Kentucky,854 ,0 ,0.0 ,15 ,1.8 ,32 ,3.7 ,268 ,31.4 ,525 ,61.5 ,1 to 3,0.1 ,13 ,1.5 ,62 ,7.3 ,1 to 3,0.4 ,18 ,2.1 ,132 ,100.0 
Retained in grade 12,Louisiana,"1,653 ",10 ,0.6 ,28 ,1.7 ,77 ,4.7 ,976 ,59.0 ,549 ,33.2 ,1 to 3,0.1 ,12 ,0.7 ,405 ,24.5 ,100 ,6.0 ,48 ,2.9 ,206 ,100.0 
Retained in grade 12,Maine,306 ,4 ,1.3 ,6 ,2.0 ,4 ,1.3 ,26 ,8.5 ,262 ,85.6 ,1 to 3,0.3 ,1 to 3,1.0 ,119 ,38.9 ,13 ,4.2 ,41 ,13.4 ,52 ,100.0 
Retained in grade 12,Maryland,"3,086 ",15 ,0.5 ,90 ,2.9 ,470 ,15.2 ,"1,691 ",54.8 ,758 ,24.6 ,1 to 3,0.0 ,61 ,2.0 ,"1,258 ",40.8 ,92 ,3.0 ,60 ,1.9 ,231 ,100.0 
Retained in grade 12,Massachusetts,"1,707 ",8 ,0.5 ,63 ,3.7 ,461 ,27.0 ,477 ,27.9 ,665 ,39.0 ,1 to 3,0.1 ,32 ,1.9 ,594 ,34.8 ,57 ,3.3 ,202 ,11.8 ,200 ,100.0 
Retained in grade 12,Michigan,"4,101 ",65 ,1.6 ,65 ,1.6 ,274 ,6.7 ,997 ,24.3 ,"2,590 ",63.2 ,1 to 3,0.0 ,108 ,2.6 ,938 ,22.9 ,97 ,2.4 ,217 ,5.3 ,568 ,100.0 
Retained in grade 12,Minnesota,"3,065 ",97 ,3.2 ,288 ,9.4 ,348 ,11.4 ,624 ,20.4 ,"1,582 ",51.6 ,7 ,0.2 ,119 ,3.9 ,"1,350 ",44.0 ,46 ,1.5 ,341 ,11.1 ,224 ,100.0 
Retained in grade 12,Mississippi,"1,743 ",1 to 3,0.1 ,13 ,0.7 ,32 ,1.8 ,"1,437 ",82.4 ,255 ,14.6 ,0 ,0.0 ,4 ,0.2 ,68 ,3.9 ,7 ,0.4 ,17 ,1.0 ,197 ,100.0 
Retained in grade 12,Missouri,"1,906 ",12 ,0.6 ,35 ,1.8 ,118 ,6.2 ,506 ,26.5 ,"1,196 ",62.7 ,1 to 3,0.2 ,36 ,1.9 ,820 ,43.0 ,38 ,2.0 ,46 ,2.4 ,249 ,100.0 
Retained in grade 12,Montana,90 ,26 ,28.9 ,1 to 3,2.2 ,6 ,6.7 ,0 ,0.0 ,51 ,56.7 ,0 ,0.0 ,5 ,5.6 ,12 ,13.3 ,1 to 3,2.2 ,4 ,4.4 ,30 ,100.0 
Retained in grade 12,Nebraska,"1,322 ",38 ,2.9 ,83 ,6.3 ,321 ,24.3 ,174 ,13.2 ,651 ,49.2 ,4 ,0.3 ,51 ,3.9 ,515 ,39.0 ,11 ,0.8 ,191 ,14.4 ,80 ,100.0 
Retained in grade 12,Nevada,"1,021 ",15 ,1.5 ,30 ,2.9 ,521 ,51.0 ,155 ,15.2 ,252 ,24.7 ,11 ,1.1 ,37 ,3.6 ,251 ,24.6 ,17 ,1.7 ,166 ,16.3 ,65 ,100.0 
Retained in grade 12,New Hampshire,573 ,4 ,0.7 ,12 ,2.1 ,31 ,5.4 ,15 ,2.6 ,505 ,88.1 ,0 ,0.0 ,6 ,1.0 ,269 ,46.9 ,25 ,4.4 ,7 ,1.2 ,64 ,100.0 
Retained in grade 12,New Jersey,"1,335 ",8 ,0.6 ,49 ,3.7 ,415 ,31.1 ,368 ,27.6 ,478 ,35.8 ,4 ,0.3 ,13 ,1.0 ,482 ,36.1 ,33 ,2.5 ,49 ,3.7 ,202 ,100.0 
Retained in grade 12,New Mexico,"1,049 ",191 ,18.2 ,10 ,1.0 ,588 ,56.1 ,25 ,2.4 ,226 ,21.5 ,0 ,0.0 ,9 ,0.9 ,200 ,19.1 ,9 ,0.9 ,193 ,18.4 ,98 ,100.0 
Retained in grade 12,New York,"10,107 ",69 ,0.7 ,760 ,7.5 ,"3,472 ",34.4 ,"3,297 ",32.6 ,"2,423 ",24.0 ,21 ,0.2 ,65 ,0.6 ,"2,193 ",21.7 ,177 ,1.8 ,"1,878 ",18.6 ,785 ,100.0 
Retained in grade 12,North Carolina,"3,031 ",43 ,1.4 ,56 ,1.8 ,454 ,15.0 ,"1,067 ",35.2 ,"1,302 ",43.0 ,1 to 3,0.0 ,108 ,3.6 ,"1,238 ",40.8 ,58 ,1.9 ,158 ,5.2 ,392 ,100.0 
Retained in grade 12,North Dakota,174 ,25 ,14.4 ,4 ,2.3 ,10 ,5.7 ,17 ,9.8 ,118 ,67.8 ,0 ,0.0 ,0 ,0.0 ,58 ,33.3 ,7 ,4.0 ,8 ,4.6 ,18 ,100.0 
Retained in grade 12,Ohio,"3,658 ",9 ,0.2 ,61 ,1.7 ,212 ,5.8 ,"1,586 ",43.4 ,"1,633 ",44.6 ,1 to 3,0.0 ,156 ,4.3 ,755 ,20.6 ,62 ,1.7 ,136 ,3.7 ,323 ,100.0 
Retained in grade 12,Oklahoma,931 ,107 ,11.5 ,13 ,1.4 ,204 ,21.9 ,195 ,20.9 ,371 ,39.8 ,1 to 3,0.2 ,39 ,4.2 ,205 ,22.0 ,7 ,0.8 ,76 ,8.2 ,134 ,100.0 
Retained in grade 12,Oregon,"3,988 ",104 ,2.6 ,52 ,1.3 ,"1,119 ",28.1 ,84 ,2.1 ,"2,421 ",60.7 ,35 ,0.9 ,173 ,4.3 ,902 ,22.6 ,110 ,2.8 ,248 ,6.2 ,146 ,100.0 
Retained in grade 12,Pennsylvania,"3,975 ",6 ,0.2 ,80 ,2.0 ,658 ,16.6 ,810 ,20.4 ,"2,328 ",58.6 ,0 ,0.0 ,93 ,2.3 ,"1,658 ",41.7 ,146 ,3.7 ,166 ,4.2 ,453 ,100.0 
Retained in grade 12,Rhode Island,447 ,1 to 3,0.4 ,7 ,1.6 ,120 ,26.8 ,39 ,8.7 ,269 ,60.2 ,0 ,0.0 ,10 ,2.2 ,173 ,38.7 ,18 ,4.0 ,17 ,3.8 ,36 ,100.0 
Retained in grade 12,South Carolina,851 ,1 to 3,0.2 ,13 ,1.5 ,34 ,4.0 ,381 ,44.8 ,400 ,47.0 ,1 to 3,0.2 ,19 ,2.2 ,302 ,35.5 ,24 ,2.8 ,29 ,3.4 ,148 ,100.0 
Retained in grade 12,South Dakota,144 ,28 ,19.4 ,7 ,4.9 ,10 ,6.9 ,11 ,7.6 ,82 ,56.9 ,0 ,0.0 ,6 ,4.2 ,44 ,30.6 ,1 to 3,2.1 ,9 ,6.3 ,34 ,100.0 
Retained in grade 12,Tennessee,"1,835 ",1 to 3,0.1 ,19 ,1.0 ,142 ,7.7 ,"1,138 ",62.0 ,514 ,28.0 ,6 ,0.3 ,14 ,0.8 ,337 ,18.4 ,14 ,0.8 ,52 ,2.8 ,146 ,100.0 
Retained in grade 12,Texas,"15,537 ",83 ,0.5 ,486 ,3.1 ,"8,427 ",54.2 ,"2,588 ",16.7 ,"3,715 ",23.9 ,19 ,0.1 ,219 ,1.4 ,"5,309 ",34.2 ,541 ,3.5 ,"1,782 ",11.5 ,"1,058 ",100.0 
Retained in grade 12,Utah,830 ,6 ,0.7 ,21 ,2.5 ,178 ,21.4 ,28 ,3.4 ,558 ,67.2 ,20 ,2.4 ,19 ,2.3 ,534 ,64.3 ,6 ,0.7 ,127 ,15.3 ,76 ,100.0 
Retained in grade 12,Vermont,164 ,1 to 3,0.6 ,1 to 3,1.8 ,1 to 3,1.2 ,1 to 3,1.8 ,153 ,93.3 ,0 ,0.0 ,1 to 3,1.2 ,59 ,36.0 ,12 ,7.3 ,4 ,2.4 ,37 ,100.0 
Retained in grade 12,Virginia,"2,972 ",9 ,0.3 ,181 ,6.1 ,571 ,19.2 ,"1,010 ",34.0 ,"1,105 ",37.2 ,4 ,0.1 ,92 ,3.1 ,973 ,32.7 ,56 ,1.9 ,350 ,11.8 ,285 ,100.0 
Retained in grade 12,Washington,"9,545 ",217 ,2.3 ,502 ,5.3 ,"2,425 ",25.4 ,668 ,7.0 ,"4,990 ",52.3 ,127 ,1.3 ,616 ,6.5 ,"2,730 ",28.6 ,288 ,3.0 ,774 ,8.1 ,447 ,100.0 
Retained in grade 12,West Virginia,396 ,0 ,0.0 ,4 ,1.0 ,1 to 3,0.8 ,37 ,9.3 ,347 ,87.6 ,0 ,0.0 ,5 ,1.3 ,78 ,19.7 ,1 to 3,0.5 ,1 to 3,0.8 ,63 ,100.0 
Retained in grade 12,Wisconsin,"2,614 ",54 ,2.1 ,115 ,4.4 ,399 ,15.3 ,389 ,14.9 ,"1,583 ",60.6 ,1 to 3,0.1 ,72 ,2.8 ,686 ,26.2 ,19 ,0.7 ,186 ,7.1 ,331 ,100.0 
Retained in grade 12,Wyoming,158 ,11 ,7.0 ,0 ,0.0 ,25 ,15.8 ,4 ,2.5 ,114 ,72.2 ,0 ,0.0 ,4 ,2.5 ,66 ,41.8 ,7 ,4.4 ,6 ,3.8 ,36 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads (for US Totals):  Of all 141,406 public school students retained in grade 12, 2,220 (1.6%) were American Indian or Alaska Native, 42,618 (30.1%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 3,783 (2.7%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1 to 3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that a midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,
,            Data reported in this table represent 100.0% of responding schools.,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2013-14, available at http://ocrdata.ed.gov. Data notes are available on the Data Notes page, under Additional Resources at http://ocrdata.ed.gov/DataNotes. ",,,,,,,,,,,,,,,,,,,,,,,
