County,2000 Total Population,2000 Food Assistance,Percentage,2006 Total Population,2006 Food Assistance,Percentage,2000-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Muscatine,"41,722","2,340",5.60%,"42,883","4,044",9.40%,68.10%,19_139,19,2,4,,
O'Brien,"15,102",326,2.20%,"14,409",669,4.60%,115.10%,19_141,19,2,4,,
Osceola,"7,003",130,1.90%,"6,629",209,3.20%,69.80%,19_143,19,2,4,,
Page,"16,976",999,5.90%,"16,263","1,487",9.10%,55.40%,19_145,19,2,4,,
Palo Alto,"10,147",287,2.80%,"9,549",428,4.50%,58.50%,19_147,19,2,4,,
Plymouth,"24,849",543,2.20%,"24,906",868,3.50%,59.50%,19_149,19,2,4,,
Pocahontas,"8,662",374,4.30%,"7,794",508,6.50%,51.00%,19_151,19,2,4,,
Polk,"374,601","16,298",4.40%,"408,888","31,646",7.70%,77.90%,19_153,19,2,4,,
Pottawattamie,"87,704","4,963",5.70%,"90,218","9,329",10.30%,82.70%,19_155,19,2,4,,
Poweshiek,"18,815",542,2.90%,"19,007","1,054",5.50%,92.50%,19_157,19,2,4,,
Ringgold,"5,469",334,6.10%,"5,289",380,7.20%,17.60%,19_159,19,2,4,,
Sac,"11,529",410,3.60%,"10,682",505,4.70%,32.90%,19_161,19,2,4,,
Scott,"158,668","10,906",6.90%,"162,621","18,855",11.60%,68.70%,19_163,19,2,4,,
Shelby,"13,173",420,3.20%,"12,489",862,6.90%,116.50%,19_165,19,2,4,,
Sioux,"31,589",461,1.50%,"32,525",690,2.10%,45.40%,19_167,19,2,4,,
Story,"79,981","1,541",1.90%,"80,145","3,258",4.10%,111.00%,19_169,19,2,4,,
Tama,"18,103",552,3.00%,"17,890","1,017",5.70%,86.40%,19_171,19,2,4,,
Taylor,"6,958",369,5.30%,"6,540",450,6.90%,29.70%,19_173,19,2,4,,
Union,"12,309",670,5.40%,"12,093","1,242",10.30%,88.70%,19_175,19,2,4,,
Van Buren,"7,809",372,4.80%,"7,836",544,6.90%,45.70%,19_177,19,2,4,,
Wapello,"36,051","3,139",8.70%,"36,010","5,122",14.20%,63.40%,19_179,19,2,4,,
Warren,"40,671",757,1.90%,"43,926","1,825",4.20%,123.20%,19_181,19,2,4,,
Washington,"20,670",672,3.30%,"21,529","1,237",5.70%,76.70%,19_183,19,2,4,,
Wayne,"6,730",472,7.00%,"6,542",597,9.10%,30.10%,19_185,19,2,4,,
Webster,"40,235","2,325",5.80%,"38,960","3,893",10.00%,72.90%,19_187,19,2,4,,
Winnebago,"11,723",324,2.80%,"11,216",661,5.90%,113.20%,19_189,19,2,4,,
Winneshiek,"21,310",359,1.70%,"21,263",682,3.20%,90.40%,19_191,19,2,4,,
Woodbury,"103,877","5,044",4.90%,"102,972","10,700",10.40%,114.00%,19_193,19,2,4,,
Worth,"7,909",129,1.60%,"7,698",360,4.70%,186.70%,19_195,19,2,4,,
Wright,"14,334",428,3.00%,"13,419",964,7.20%,140.60%,19_197,19,2,4,,
State,"2,926,324","124,395",4.30%,"2,982,085","229,456",7.70%,81.00%,,19,2,4,,
Rural,"496,961","17,309",3.50%,"486,214","28,851",5.90%,70.40%,,,,,,IA_Rural_Counties
Small Urban,"1,104,670","46,836",4.20%,"1,112,646","84,515",7.60%,79.20%,,,,,,IA_Urban_Counties
Metropolitan,"1,324,693","60,250",4.50%,"1,383,225","116,090",8.40%,84.50%,,,,,,IA_Metropolitan_Counties
United States,"281,421,906","17,194,000",6.10%,"299,398,484","26,672,000",8.90%,45.80%,,,,,US_National,
