State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Male Students	Number of American or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	403	5	1.2	0	0	150	37.2	6	1.5	240	59.6	DS	0.5	0	0	14	3.5	34	8.4	703
Illinois		17	2	3	304	0	0	0	0	22	7.2	48	15.8	224	73.7	0	0	10	3.3	4	1.3	0	0	"4,221"
Indiana		18	2	3	480	0	0	0	0	22	4.6	101	21	353	73.5	0	0	4	0.8	DS	0.4	13	2.7	"1,875"
Iowa		19	2	4	188	0	0	DS	1.1	DS	1.1	22	11.7	156	83	0	0	6	3.2	5	2.7	DS	1.1	"1,458"
Kansas		20	2	4	51	DS	3.9	DS	3.9	6	11.8	4	7.8	31	60.8	DS	3.9	4	7.8	DS	3.9	0	0	"1,389"
Kentucky		21	3	6	46	0	0	DS	4.3	DS	4.3	14	30.4	26	56.5	0	0	DS	4.3	0	0	DS	4.3	"1,417"
Louisiana		22	3	7	62	0	0	0	0	0	0	42	67.7	20	32.3	0	0	0	0	4	6.5	0	0	"1,394"
Maine		23	1	1	21	0	0	0	0	0	0	DS	9.5	19	90.5	0	0	0	0	DS	9.5	0	0	595
Maryland		24	3	5	14	0	0	0	0	0	0	8	57.1	DS	14.3	0	0	4	28.6	DS	14.3	0	0	"1,444"
Massachusetts		25	1	1	11	0	0	0	0	DS	18.2	DS	18.2	7	63.6	0	0	0	0	DS	18.2	0	0	"1,834"
Michigan		26	2	3	514	5	1	DS	0.4	33	6.4	41	8	427	83.1	DS	0.4	4	0.8	8	1.6	0	0	"3,626"
Minnesota		27	2	4	51	4	7.8	0	0	4	7.8	7	13.7	34	66.7	0	0	DS	3.9	DS	3.9	5	9.8	"2,077"
Mississippi		28	3	6	68	DS	2.9	0	0	DS	2.9	25	36.8	39	57.4	0	0	0	0	0	0	DS	2.9	973
Missouri		29	2	4	141	0	0	0	0	DS	1.4	9	6.4	130	92.2	0	0	0	0	DS	1.4	DS	1.4	"2,312"
Montana		30	4	8	87	5	5.7	0	0	DS	2.3	0	0	80	92	0	0	0	0	0	0	0	0	781
Nebraska		31	2	4	161	DS	1.2	DS	1.2	31	19.3	5	3.1	119	73.9	0	0	DS	1.2	0	0	5	3.1	"1,073"
Nevada		32	4	8	27	0	0	0	0	11	40.7	11	40.7	5	18.5	0	0	0	0	0	0	0	0	649
New Hampshire		33	1	1	22	0	0	0	0	0	0	DS	9.1	20	90.9	0	0	0	0	DS	9.1	0	0	478
New Jersey		34	1	2	126	0	0	0	0	28	22.2	83	65.9	13	10.3	0	0	DS	1.6	0	0	0	0	"2,538"
New Mexico		35	4	8	30	0	0	0	0	22	73.3	DS	6.7	6	20	0	0	0	0	0	0	0	0	853
New York		36	1	2	126	DS	1.6	0	0	4	3.2	20	15.9	98	77.8	0	0	DS	1.6	DS	1.6	0	0	"4,864"
North Carolina		37	3	5	35	0	0	0	0	0	0	21	60	12	34.3	0	0	DS	5.7	DS	5.7	0	0	"2,535"
North Dakota		38	2	4	27	DS	7.4	0	0	DS	7.4	DS	7.4	21	77.8	0	0	0	0	0	0	0	0	468
Ohio		39	2	3	419	DS	0.5	0	0	10	2.4	187	44.6	199	47.5	0	0	21	5	DS	0.5	DS	0.5	"3,702"
Oklahoma		40	3	7	149	20	13.4	DS	1.3	10	6.7	64	43	51	34.2	0	0	DS	1.3	DS	1.3	DS	1.3	"1,774"
Oregon		41	9	4	21	0	0	0	0	4	19	0	0	15	71.4	0	0	DS	9.5	0	0	DS	9.5	"1,312"
Pennsylvania		42	1	2	156	0	0	DS	1.3	DS	1.3	27	17.3	123	78.8	0	0	DS	1.3	DS	1.3	0	0	"3,220"
Rhode Island		44	1	1	DS	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	DS	100	0	0	291
South Carolina		45	3	5	17	0	0	0	0	0	0	8	47.1	9	52.9	0	0	0	0	0	0	0	0	"1,219"
South Dakota		46	2	4	39	DS	5.1	0	0	DS	5.1	0	0	35	89.7	0	0	0	0	DS	5.1	DS	5.1	668
Tennessee		47	3	6	199	0	0	0	0	DS	1	78	39.2	113	56.8	0	0	6	3	26	13.1	0	0	"1,802"
Texas		48	3	7	"1,471"	DS	0.1	9	0.6	490	33.3	283	19.2	631	42.9	DS	0.1	54	3.7	89	6.1	61	4.1	"8,472"
Utah		49	4	8	960	17	1.8	6	0.6	219	22.8	8	0.8	683	71.1	14	1.5	13	1.4	8	0.8	107	11.1	981
Vermont		50	1	1	26	0	0	0	0	DS	7.7	DS	7.7	22	84.6	0	0	0	0	10	38.5	DS	7.7	295
Virginia		51	3	5	71	DS	2.8	0	0	DS	2.8	43	60.6	20	28.2	0	0	4	5.6	0	0	DS	2.8	"1,984"
Washington		53	4	9	525	18	3.4	4	0.8	70	13.3	14	2.7	383	73	DS	0.4	34	6.5	12	2.3	4	0.8	"2,256"
West Virginia		54	3	5	65	0	0	0	0	0	0	DS	3.1	61	93.8	0	0	DS	3.1	0	0	0	0	733
Wisconsin		55	2	3	434	4	0.9	4	0.9	25	5.8	41	9.4	333	76.7	0	0	27	6.2	DS	0.5	DS	0.5	"2,242"
Wyoming		56	4	8	26	DS	7.7	0	0	DS	7.7	0	0	22	84.6	0	0	0	0	DS	7.7	0	0	349
