State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
North Dakota		38	2	4	66	36	54.5	6	9.1	0	0	7	10.6	17	25.8	0	0	0	0	13	19.7	DS	3	21	31.8	167
Ohio		39	2	3	"2,029"	DS	0.1	13	0.6	128	6.3	"1,039"	51.2	752	37.1	DS	0.1	93	4.6	347	17.1	16	0.8	55	2.7	951
Oklahoma		40	3	7	552	90	16.3	6	1.1	99	17.9	87	15.8	240	43.5	DS	0.4	28	5.1	71	12.9	DS	0.4	35	6.3	502
Oregon		41	9	4	241	8	3.3	5	2.1	36	14.9	11	4.6	161	66.8	DS	0.8	18	7.5	42	17.4	7	2.9	8	3.3	358
Pennsylvania		42	1	2	"1,932"	4	0.2	30	1.6	298	15.4	702	36.3	855	44.3	DS	0.1	41	2.1	326	16.9	15	0.8	62	3.2	808
Rhode Island		44	1	1	215	DS	0.9	DS	0.9	77	35.8	33	15.3	90	41.9	0	0	11	5.1	48	22.3	7	3.3	14	6.5	58
South Carolina		45	3	5	"1,939"	7	0.4	13	0.7	121	6.2	864	44.6	877	45.2	6	0.3	51	2.6	203	10.5	26	1.3	77	4	267
South Dakota		46	2	4	269	87	32.3	5	1.9	19	7.1	15	5.6	141	52.4	0	0	DS	0.7	31	11.5	0	0	14	5.2	187
Tennessee		47	3	6	"1,269"	DS	0.2	12	0.9	39	3.1	624	49.2	584	46	DS	0.2	6	0.5	123	9.7	10	0.8	40	3.2	403
Texas		48	3	7	"9,138"	37	0.4	173	1.9	"5,265"	57.6	"1,400"	15.3	"2,079"	22.8	15	0.2	169	1.8	"1,018"	11.1	256	2.8	726	7.9	"2,179"
Utah		49	4	8	203	10	4.9	4	2	27	13.3	DS	1	158	77.8	0	0	DS	1	27	13.3	DS	1	12	5.9	205
Vermont		50	1	1	62	DS	3.2	DS	3.2	0	0	DS	3.2	56	90.3	0	0	0	0	8	12.9	8	12.9	0	0	64
Virginia		51	3	5	"1,412"	7	0.5	27	1.9	183	13	683	48.4	466	33	0	0	46	3.3	241	17.1	22	1.6	129	9.1	427
Washington		53	4	9	"1,376"	29	2.1	94	6.8	378	27.5	170	12.4	594	43.2	32	2.3	79	5.7	156	11.3	29	2.1	139	10.1	636
West Virginia		54	3	5	298	0	0	DS	0.7	DS	0.7	30	10.1	262	87.9	0	0	DS	0.7	20	6.7	DS	0.7	0	0	157
Wisconsin		55	2	3	511	10	2	13	2.5	86	16.8	263	51.5	137	26.8	0	0	DS	0.4	112	21.9	DS	0.4	42	8.2	599
Wyoming		56	4	8	70	7	10	DS	2.9	9	12.9	0	0	46	65.7	DS	2.9	4	5.7	14	20	DS	2.9	DS	2.9	88
