Discipline by gender	Number Students With Disabilities	Percent Students With Disabilities 	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian of Alaska Native With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native With Disabilities Served Under IDEA	Number of Asians With Disabilities Served Under IDEA	Percent of Asians With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race With Disabilities Served Under IDEA	Number of Black or African American With Disabilities Served Under IDEA	Percent of Black or African American With Disabilities Served Under IDEA	Number of Whites With Disabilities Served Under IDEA	Percent of Whites With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander With Disabilities Served Under IDEA	Number of two or more races With Disabilities Served Under IDEA	Percent two or more races With Disabilities Served Under IDEA	Number English Language Learners With Disabilities Served Under IDEA	Percent English language learners With Disabilities Served Under IDEA	Number of Schools 	State_ID	Region_ID	Division_ID
More than one out-of-school suspension females	517	19.5	30	1.1	487	18.3	DS	0.1	DS	0.1	31	1.2	253	10	193	7.7	4	0.2	DS	0.1	20	0.8	"1,097"	5	3	7
More than one out-of-school suspension total	"2,658"	100	136	5.1	"2,522"	94.9	13	0.5	10	0.4	147	5.8	"1,253"	49.7	"1,056"	41.9	16	0.6	27	1.1	105	4	"1,097"	5	3	7
One or more out-of-school suspensions males	"4,619"	78.7	245	4.2	"4,374"	74.6	22	0.4	14	0.3	241	4.3	"1,903"	34.3	"2,132"	38.5	19	0.3	43	0.8	150	2.6	"1,097"	5	3	7
One or more out-of-school suspensions females	"1,247"	21.3	79	1.3	"1,168"	19.9	6	0.1	DS	0	66	1.2	586	10.6	499	9	4	0.1	5	0.1	39	0.7	"1,097"	5	3	7
One or more out-of-school suspensions total	"5,866"	100	324	5.5	"5,542"	94.5	28	0.5	16	0.3	307	5.5	"2,489"	44.9	"2,631"	47.5	23	0.4	48	0.9	189	3.2	"1,097"	5	3	7
Expulsions with educational services males	58	82.9	9	12.9	49	70	0	0	0	0	DS	3.4	16	27.1	29	49.2	DS	3.4	0	0	DS	2.9	"1,097"	5	3	7
Expulsions with educational services females	12	17.1	DS	2.9	10	14.3	0	0	0	0	0	0	DS	3.4	8	13.6	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions with educational services total	70	100	11	15.7	59	84.3	0	0	0	0	DS	3.4	18	30.5	37	62.7	DS	3.4	0	0	DS	2.9	"1,097"	5	3	7
Expulsions without educational services males	16	66.7	7	29.2	9	37.5	0	0	0	0	0	0	4	26.7	5	33.3	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions without educational services females	8	33.3	DS	8.3	6	25	0	0	0	0	DS	13.3	0	0	4	26.7	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions without educational services total	24	100	9	37.5	15	62.5	0	0	0	0	DS	13.3	4	26.7	9	60	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions with or without educational services males	74	80.4	16	17.4	58	63	0	0	0	0	DS	2.7	21	28.4	33	44.6	DS	2.7	0	0	DS	2.2	"1,097"	5	3	7
Expulsions with or without educational services females	18	19.6	DS	2.2	16	17.4	0	0	0	0	DS	2.7	DS	2.7	12	16.2	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions with or without educational services total	92	100	18	19.6	74	80.4	0	0	0	0	4	5.4	23	31.1	45	60.8	DS	2.7	0	0	DS	2.2	"1,097"	5	3	7
Expulsions under zero-tolerance policies males	15	71.4	DS	9.5	13	61.9	0	0	0	0	0	0	4	21.1	9	47.4	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions under zero-tolerance policies females	6	28.6	0	0	6	28.6	0	0	0	0	DS	10.5	DS	10.5	DS	10.5	0	0	0	0	0	0	"1,097"	5	3	7
Expulsions under zero-tolerance policies males	21	100	DS	9.5	19	90.5	0	0	0	0	DS	10.5	6	31.6	11	57.9	0	0	0	0	0	0	"1,097"	5	3	7
Referral to law enforcement males	165	78.2	16	7.6	149	70.6	DS	1.1	0	0	8	4.3	54	29	81	43.5	DS	1.1	DS	1.1	5	2.4	"1,097"	5	3	7
Referral to law enforcement females	46	21.8	9	4.3	37	17.5	0	0	0	0	DS	1.1	24	12.9	11	5.9	0	0	0	0	0	0	"1,097"	5	3	7
Referral to law enforcement total	211	100	25	11.8	186	88.2	DS	1.1	0	0	10	5.4	78	41.9	92	49.5	DS	1.1	DS	1.1	5	2.4	"1,097"	5	3	7
 School-related arrests males	80	80.8	7	7.1	73	73.7	0	0	0	0	6	6.7	29	32.2	34	37.8	DS	2.2	DS	2.2	5	5.1	"1,097"	5	3	7
School-related arrests females	19	19.2	DS	2	17	17.2	0	0	0	0	0	0	12	13.3	5	5.6	0	0	0	0	0	0	"1,097"	5	3	7
School-related arrests total	99	100	9	9.1	90	90.9	0	0	0	0	6	6.7	41	45.6	39	43.3	DS	2.2	DS	2.2	5	5.1	"1,097"	5	3	7
