Year,State,Nation_ID,State_ID,Region_ID,Division_ID,Personnel Type,Employed and Certified,Employed but not Certified,Total Employed
2005,Georgia                  ,,13,3,5,Recreation specialists                       ,18,0,18
2005,Georgia                  ,,13,3,5,Diagnostic & evaluation staff                ,502,0,502
2005,Georgia                  ,,13,3,5,Physical therapists                          ,102,0,102
2005,Georgia                  ,,13,3,5,Counselors                                   ,11,0,11
2005,Georgia                  ,,13,3,5,Speech pathologists                          ,"1,810.00",20,"1,830.00"
2005,Georgia                  ,,13,3,5,Supervisors/administrators                   ,643,8,651
2005,Georgia                  ,,13,3,5,Supervisors/administrators (SEA)             ,28,0,28
2005,Georgia                  ,,13,3,5,Interpreters                                 ,51,183,234
2005,Georgia                  ,,13,3,5,Rehabilitation counselors                    ,8,0,8
2005,Georgia                  ,,13,3,5,Other professional staff                     ,81,0,81
2005,Georgia                  ,,13,3,5,Non-professional staff                       ,"1,804.00",0,"1,804.00"
2005,Georgia                  ,,13,3,5,Total                                        ,"17,565.00",253,"17,818.00"
2005,Guam                     ,,66,,,Special ed teachers for 3-5                  ,16,0,16
2005,Guam                     ,,66,,,Special ed teachers for 6-21                 ,193,0,193
2005,Guam                     ,,66,,,Vocational education teachers                ,0,0,0
2005,Guam                     ,,66,,,Physical education teachers                  ,0,0,0
2005,Guam                     ,,66,,,Work-study coordinators                      ,1,0,1
2005,Guam                     ,,66,,,Psychologists                                ,7,0,7
2005,Guam                     ,,66,,,School social workers                        ,8,0,8
2005,Guam                     ,,66,,,Occupational therapists                      ,3,0,3
2005,Guam                     ,,66,,,Audiologists                                 ,1,0,1
2005,Guam                     ,,66,,,Teacher aides                                ,303,0,303
2005,Guam                     ,,66,,,Recreation specialists                       ,4,0,4
2005,Guam                     ,,66,,,Diagnostic & evaluation staff                ,12,0,12
2005,Guam                     ,,66,,,Physical therapists                          ,3,0,3
2005,Guam                     ,,66,,,Counselors                                   ,0,0,0
2005,Guam                     ,,66,,,Speech pathologists                          ,18,0,18
2005,Guam                     ,,66,,,Supervisors/administrators                   ,0,0,0
2005,Guam                     ,,66,,,Supervisors/administrators (SEA)             ,1,0,1
2005,Guam                     ,,66,,,Interpreters                                 ,6,0,6
2005,Guam                     ,,66,,,Rehabilitation counselors                    ,0,0,0
2005,Guam                     ,,66,,,Other professional staff                     ,16,0,16
2005,Guam                     ,,66,,,Non-professional staff                       ,46,0,46
2005,Guam                     ,,66,,,Total                                        ,429,0,429
2005,Hawaii                   ,,15,4,9,Special ed teachers for 3-5                  ,238,15,253
2005,Hawaii                   ,,15,4,9,Special ed teachers for 6-21                 ,"1,469.00",567,"2,036.00"
2005,Hawaii                   ,,15,4,9,Vocational education teachers                ,0,0,0
2005,Hawaii                   ,,15,4,9,Physical education teachers                  ,3,0,3
2005,Hawaii                   ,,15,4,9,Work-study coordinators                      ,18,0,18
2005,Hawaii                   ,,15,4,9,Psychologists                                ,62,0,62
2005,Hawaii                   ,,15,4,9,School social workers                        ,76,0,76
2005,Hawaii                   ,,15,4,9,Occupational therapists                      ,43,0,43
2005,Hawaii                   ,,15,4,9,Audiologists                                 ,1,0,1
2005,Hawaii                   ,,15,4,9,Teacher aides                                ,"2,187.00",8,"2,194.00"
2005,Hawaii                   ,,15,4,9,Recreation specialists                       ,0,0,0
2005,Hawaii                   ,,15,4,9,Diagnostic & evaluation staff                ,368,7,375
2005,Hawaii                   ,,15,4,9,Physical therapists                          ,16,0,16
2005,Hawaii                   ,,15,4,9,Counselors                                   ,493,37,530
2005,Hawaii                   ,,15,4,9,Speech pathologists                          ,201,0,201
2005,Hawaii                   ,,15,4,9,Supervisors/administrators                   ,0,0,0
2005,Hawaii                   ,,15,4,9,Supervisors/administrators (SEA)             ,0,0,0
2005,Hawaii                   ,,15,4,9,Interpreters                                 ,0,0,0
2005,Hawaii                   ,,15,4,9,Rehabilitation counselors                    ,0,0,0
2005,Hawaii                   ,,15,4,9,Other professional staff                     ,579,447,"1,026.00"
2005,Hawaii                   ,,15,4,9,Non-professional staff                       ,27,0,27
2005,Hawaii                   ,,15,4,9,Total                                        ,"4,072.00",499,"4,570.00"
2005,Idaho                    ,,16,4,8,Special ed teachers for 3-5                  ,139,35,174
2005,Idaho                    ,,16,4,8,Special ed teachers for 6-21                 ,"1,166.00",117,"1,283.00"
2005,Idaho                    ,,16,4,8,Vocational education teachers                ,0,0,0
2005,Idaho                    ,,16,4,8,Physical education teachers                  ,3,0,3
2005,Idaho                    ,,16,4,8,Work-study coordinators                      ,1,0,1
2005,Idaho                    ,,16,4,8,Psychologists                                ,143,10,153
2005,Idaho                    ,,16,4,8,School social workers                        ,0,0,0
2005,Idaho                    ,,16,4,8,Occupational therapists                      ,32,0,32
2005,Idaho                    ,,16,4,8,Audiologists                                 ,4,0,4
2005,Idaho                    ,,16,4,8,Teacher aides                                ,"1,694.00",0,"1,694.00"
2005,Idaho                    ,,16,4,8,Recreation specialists                       ,0,0,0
2005,Idaho                    ,,16,4,8,Diagnostic & evaluation staff                ,7,0,7
2005,Idaho                    ,,16,4,8,Physical therapists                          ,4,0,4
2005,Idaho                    ,,16,4,8,Counselors                                   ,0,0,0
2005,Idaho                    ,,16,4,8,Speech pathologists                          ,195,14,209
2005,Idaho                    ,,16,4,8,Supervisors/administrators                   ,55,7,62
2005,Idaho                    ,,16,4,8,Supervisors/administrators (SEA)             ,6,0,6
2005,Idaho                    ,,16,4,8,Interpreters                                 ,62,0,62
2005,Idaho                    ,,16,4,8,Rehabilitation counselors                    ,0,0,0
2005,Idaho                    ,,16,4,8,Other professional staff                     ,7,0,7
2005,Idaho                    ,,16,4,8,Non-professional staff                       ,11,0,11
2005,Idaho                    ,,16,4,8,Total                                        ,"2,224.00",31,"2,255.00"
2005,Illinois                 ,,17,2,3,Special ed teachers for 3-5                  ,"1,249.00",27,"1,276.00"
2005,Illinois                 ,,17,2,3,Special ed teachers for 6-21                 ,"22,491.00",702,"23,193.00"
2005,Illinois                 ,,17,2,3,Vocational education teachers                ,129,1,130
2005,Illinois                 ,,17,2,3,Physical education teachers                  ,202,0,202
2005,Illinois                 ,,17,2,3,Work-study coordinators                      ,          N/V,          N/V,          N/V
2005,Illinois                 ,,17,2,3,Psychologists                                ,"1,970.00",42,"2,012.00"
2005,Illinois                 ,,17,2,3,School social workers                        ,"3,178.00",65,"3,243.00"
