Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaka Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number Native Hawaiian of other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities  	Number of Schools 	State_ID	Region_ID	Division_ID
One or more out-of-school suspensions total	"7,000"	100	411	5.9	"6,589"	94.1	23	0.3	24	0.4	"2,258"	34.3	"1,970"	29.9	"2,153"	32.7	4	0.1	157	2.4	445	6.4	"1,122"	9	1	1
Expulsions with educational services on males	211	83.1	16	6.3	195	76.8	0	0	0	0	53	22.5	46	19.5	94	39.8	0	0	DS	0.8	14	5.5	"1,122"	9	1	1
Expulsions with educational services on females	43	16.9	DS	0.8	41	16.1	DS	0.8	0	0	15	6.4	6	2.5	16	6.8	0	0	DS	0.8	4	1.6	"1,122"	9	1	1
Expulsions with educational services total	254	100	18	7.1	236	92.9	DS	0.8	0	0	68	28.8	52	22	110	46.6	0	0	4	1.7	18	7.1	"1,122"	9	1	1
Expulsions without educational services on males	12	85.7	0	0	12	85.7	0	0	0	0	DS	14.3	4	28.6	6	42.9	0	0	0	0	0	0	"1,122"	9	1	1
Expulsions without educational services on females	DS	14.3	0	0	DS	14.3	0	0	0	0	DS	14.3	0	0	0	0	0	0	0	0	0	0	"1,122"	9	1	1
Expulsions without educational services total	14	100	0	0	14	100	0	0	0	0	4	28.6	4	28.6	6	42.9	0	0	0	0	0	0	"1,122"	9	1	1
Expulsions with or without educational services on males	219	83.3	15	5.7	204	77.6	0	0	0	0	54	22	50	20.3	98	39.8	0	0	DS	0.8	14	5.3	"1,122"	9	1	1
Expulsions with or without educational services on females	44	16.7	DS	0.8	42	16	DS	0.8	0	0	16	6.5	6	2.4	16	6.5	0	0	DS	0.8	4	1.5	"1,122"	9	1	1
Expulsions with or without educational services total	263	100	17	6.5	246	93.5	DS	0.8	0	0	70	28.5	56	22.8	114	46.3	0	0	4	1.6	18	6.8	"1,122"	9	1	1
Expulsions under zero-tolerance policies on males	89	87.3	4	3.9	85	83.3	0	0	0	0	20	20.8	18	18.8	45	46.9	0	0	DS	2.1	DS	2	"1,122"	9	1	1
Expulsions under zero-tolerance policies on females	13	12.7	DS	2	11	10.8	0	0	0	0	DS	2.1	DS	2.1	7	7.3	0	0	0	0	0	0	"1,122"	9	1	1
Expulsions under zero-tolerance policies total	102	100	6	5.9	96	94.1	0	0	0	0	22	22.9	20	20.8	52	54.2	0	0	DS	2.1	DS	2	"1,122"	9	1	1
Referral to law enforcement on males	593	76.6	50	6.5	543	70.2	DS	0.3	DS	0.3	133	18.6	134	18.7	265	37	0	0	7	1	19	2.5	"1,122"	9	1	1
Referral to law enforcement on females	181	23.4	8	1	173	22.4	DS	0.3	DS	0.3	57	8	54	7.5	56	7.8	0	0	DS	0.3	9	1.2	"1,122"	9	1	1
Referral to law enforcement total	774	100	58	7.5	716	92.5	4	0.6	4	0.6	190	26.5	188	26.3	321	44.8	0	0	9	1.3	28	3.6	"1,122"	9	1	1
School-related arrests on males	376	74.5	31	6.1	345	68.3	0	0	DS	0.4	104	22.2	90	19.2	141	30.1	0	0	8	1.7	16	3.2	"1,122"	9	1	1
School-related arrests on females	129	25.5	5	1	124	24.6	0	0	0	0	43	9.2	51	10.9	28	6	0	0	DS	0.4	18	3.6	"1,122"	9	1	1
School-related arrests total	505	100	36	7.1	469	92.9	0	0	DS	0.4	147	31.3	141	30.1	169	36	0	0	10	2.1	34	6.7	"1,122"	9	1	1
