County,2000 Live Births,2000 Low Birthweight,Percentage,2007 Live Births,2007 Low Birthweight,Percentage,2000-2007 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Mills,155,5,3.20%,188,17,9.00%,180.30%,19_129,19,2,4,,
Mitchell,131,4,3.10%,108,5,4.60%,51.60%,19_131,19,2,4,,
Monona,98,7,7.10%,99,5,5.10%,-29.30%,19_133,19,2,4,,
Monroe,102,1,1.00%,93,5,5.40%,448.40%,19_135,19,2,4,,
Montgomery,139,7,5.00%,138,14,10.10%,101.40%,19_137,19,2,4,,
Muscatine,638,27,4.20%,628,37,5.90%,39.20%,19_139,19,2,4,,
O'Brien,187,7,3.70%,176,9,5.10%,36.60%,19_141,19,2,4,,
Osceola,73,5,6.80%,66,C,N/A,N/A,19_143,19,2,4,,
Page,169,9,5.30%,177,12,6.80%,27.30%,19_145,19,2,4,,
Palo Alto,110,3,2.70%,118,14,11.90%,335.00%,19_147,19,2,4,,
Plymouth,309,14,4.50%,336,20,6.00%,31.40%,19_149,19,2,4,,
Pocahontas,73,3,4.10%,74,4,5.40%,31.50%,19_151,19,2,4,,
Polk,"6,216",387,6.20%,"6,915",499,7.20%,15.90%,19_153,19,2,4,,
Pottawattamie,"1,184",76,6.40%,"1,233",101,8.20%,27.60%,19_155,19,2,4,,
Poweshiek,212,13,6.10%,213,16,7.50%,22.50%,19_157,19,2,4,,
Ringgold,69,4,5.80%,60,C,N/A,N/A,19_159,19,2,4,,
Sac,135,12,8.90%,113,4,3.50%,-60.20%,19_161,19,2,4,,
Scott,"2,348",166,7.10%,"2,343",155,6.60%,-6.40%,19_163,19,2,4,,
Shelby,150,12,8.00%,131,6,4.60%,-42.70%,19_165,19,2,4,,
Sioux,457,16,3.50%,501,21,4.20%,19.70%,19_167,19,2,4,,
Story,940,47,5.00%,"1,042",58,5.60%,11.30%,19_169,19,2,4,,
Tama,251,19,7.60%,211,17,8.10%,6.40%,19_171,19,2,4,,
Taylor,87,13,14.90%,64,C,N/A,N/A,19_173,19,2,4,,
Union,127,7,5.50%,165,7,4.20%,-23.00%,19_175,19,2,4,,
Van Buren,97,2,2.10%,106,11,10.40%,403.30%,19_177,19,2,4,,
Wapello,424,36,8.50%,513,42,8.20%,-3.60%,19_179,19,2,4,,
Warren,513,28,5.50%,527,38,7.20%,32.10%,19_181,19,2,4,,
Washington,290,16,5.50%,258,16,6.20%,12.40%,19_183,19,2,4,,
Wayne,79,4,5.10%,92,7,7.60%,50.30%,19_185,19,2,4,,
Webster,492,30,6.10%,495,27,5.50%,-10.50%,19_187,19,2,4,,
Winnebago,134,9,6.70%,99,8,8.10%,20.30%,19_189,19,2,4,,
Winneshiek,191,12,6.30%,232,14,6.00%,-4.00%,19_191,19,2,4,,
Woodbury,"1,692",128,7.60%,"1,622",105,6.50%,-14.40%,19_193,19,2,4,,
Worth,84,11,13.10%,73,C,N/A,N/A,19_195,19,2,4,,
Wright,168,14,8.30%,177,5,2.80%,-66.10%,19_197,19,2,4,,
State,"38,250","2,346",6.10%,"40,835","2,795",6.80%,11.60%,,19,2,4,,
Rural,"5,650",353,6.20%,"5,835",386,6.60%,5.90%,,,,,,IA_Rural_Counties
Small Urban,"13,351",807,6.00%,"14,378",975,6.80%,12.20%,,,,,,IA_Urban_Counties
Metropolitan,"19,249","1,186",6.20%,"20,622","1,434",7.00%,12.90%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","308,219",7.60%,"4,265,996","354,078",8.30%,9.20%,,,,,US_National,
