Kossuth,166,10,6.00%,151,* NA,NA,
Lee,410,42,10.20%,431,44 10.2%,-0.30%,
Linn,"2,715",180,6.60%,"2,722",137 5.0%,-24.10%,
Louisa,164,7,4.30%,137,10 7.3%,71.00%,
Lucas,119,10,8.40%,82,6 7.3%,-12.90%,
Lyon,159,6,3.80%,169,5 3.0%,-21.60%,
Madison,196,10,5.10%,166,5 3.0%,-41.00%,
Mahaska,283,31,11.00%,267,10 3.7%,-65.80%,
Marion,383,23,6.00%,368,13 3.5%,-41.20%,
Marshall,556,73,13.10%,583,62 10.6%,-19.00%,
Mills,155,15,9.70%,179,16 8.9%,-7.60%,
Mitchell,131,4,3.10%,106,* NA,NA,
Monona,98,13,13.30%,95,4 4.2%,-68.30%,
Monroe,102,8,7.80%,82,7 8.5%,8.80%,
Montgomery,139,7,5.00%,114,8 7.0%,39.30%,
Muscatine,638,80,12.50%,557,49 8.8%,-29.80%,
O'Brien,187,16,8.60%,153,7 4.6%,-46.50%,
Osceola,73,5,6.80%,80,6 7.5%,9.50%,
Page,169,17,10.10%,183,24 13.1%,30.40%,
Palo Alto,110,13,11.80%,88,5 5.7%,-51.90%,
Plymouth,309,26,8.40%,293,15 5.1%,-39.20%,
Pocahontas,73,4,5.50%,69,4 5.8%,5.80%,
Polk,"6,216",517,8.30%,"6,729",329 4.9%,-41.20%,
Pottawattamie,"1,184",140,11.80%,"1,180",106 9.0%,-24.00%,
Poweshiek,212,19,9.00%,178,10 5.6%,-37.30%,
Ringgold,69,5,7.20%,56,4 7.1%,-1.40%,
Sac,135,6,4.40%,101,4 4.0%,-10.90%,
Scott,"2,348",258,11.00%,"2,200",159 7.2%,-34.20%,
Shelby,150,12,8.00%,135,7 5.2%,-35.20%,
Sioux,457,22,4.80%,510,20 3.9%,-18.50%,
Story,940,32,3.40%,919,20 2.2%,-36.10%,
Tama,251,24,9.60%,219,15 6.8%,-28.40%,
Taylor,87,8,9.20%,77,* NA,NA,
Union,127,8,6.30%,130,12 9.2%,46.50%,
Van Buren,97,11,11.30%,107,6 5.6%,-50.60%,
Wapello,424,56,13.20%,432,47 10.9%,-17.60%,
Warren,513,37,7.20%,542,43 7.9%,10.00%,
Washington,290,13,4.50%,278,18 6.5%,44.40%,
Wayne,79,5,6.30%,92,4 4.3%,-31.30%,
Webster,492,51,10.40%,449,38 8.5%,-18.40%,
Winnebago,134,13,9.70%,105,8 7.6%,-21.50%,
Winneshiek,191,13,6.80%,163,7 4.3%,-36.90%,
Woodbury,"1,692",181,10.70%,"1,504",133 8.8%,-17.30%,
Worth,84,6,7.10%,86,4 4.7%,-34.90%,
Wright,168,12,-12.5% 7.1%,128,8 6.3%,,
State,"38,250","3,201",8.40%,"38,686","2,294 5.9%",-29.10%,
Rural,"5,454",419,7.70%,"5,130",281 5.5%,-28.70%,
Small Urban,"13,547","1,161",8.60%,"13,567",914 6.7%,-21.40%,
Metropolitan,"19,249","1,621",-34.7% 8.4%,"19,989","1,099 5.5%",,
United States,"4,055,507","377,675",9.30%,"3,953,590","295,675 7.5%",-19.70%,
