Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"1,500"	20.7	48	0.7	"1,452"	20	DS	0	DS	0	32	0.5	992	14	420	5.9	0	0	4	0.1	39	0.5	"1,802"	47	3	6
More than one out-of-school suspension total	"7,259"	100	184	2.5	"7,075"	97.5	12	0.2	15	0.2	160	2.3	"4,592"	64.9	"2,257"	31.9	0	0	39	0.6	191	2.6	"1,802"	47	3	6
One or more out-of-school suspensions on males	"11,978"	77.6	319	2.1	"11,659"	75.5	26	0.2	24	0.2	284	1.9	"6,468"	43.1	"4,784"	31.9	DS	0	71	0.5	233	1.5	"1,802"	47	3	6
One or more out-of-school suspensions on females	"3,456"	22.4	97	0.6	"3,359"	21.8	DS	0	6	0	79	0.5	"2,089"	13.9	"1,171"	7.8	DS	0	10	0.1	62	0.4	"1,802"	47	3	6
One or more out-of-school suspensions total	"15,434"	100	416	2.7	"15,018"	97.3	28	0.2	30	0.2	363	2.4	"8,557"	57	"5,955"	39.7	4	0	81	0.5	295	1.9	"1,802"	47	3	6
Expulsions with educational services on males	723	80	28	3.1	695	76.9	DS	0.2	5	0.6	14	1.6	403	46.4	267	30.7	0	0	4	0.5	13	1.4	"1,802"	47	3	6
Expulsions with educational services on females	181	20	7	0.8	174	19.2	0	0	0	0	DS	0.2	100	11.5	72	8.3	0	0	0	0	0	0	"1,802"	47	3	6
Expulsions with educational services total	904	100	35	3.9	869	96.1	DS	0.2	5	0.6	16	1.8	503	57.9	339	39	0	0	4	0.5	13	1.4	"1,802"	47	3	6
Expulsions without educational services on males	515	81.4	0	0	515	81.4	DS	0.3	0	0	4	0.6	481	76.2	28	4.4	0	0	0	0	DS	0.3	"1,802"	47	3	6
Expulsions without educational services on females	118	18.6	DS	0.3	116	18.3	0	0	0	0	DS	0.3	103	16.3	11	1.7	0	0	0	0	0	0	"1,802"	47	3	6
Expulsions without educational services total	633	100	DS	0.3	631	99.7	DS	0.3	0	0	6	1	584	92.6	39	6.2	0	0	0	0	DS	0.3	"1,802"	47	3	6
Expulsions with or without educational services on males	"1,229"	80.6	28	1.8	"1,201"	78.8	4	0.3	5	0.3	18	1.2	881	59.2	289	19.4	0	0	4	0.3	15	1	"1,802"	47	3	6
Expulsions with or without educational services on females	295	19.4	8	0.5	287	18.8	0	0	0	0	4	0.3	200	13.4	83	5.6	0	0	0	0	0	0	"1,802"	47	3	6
Expulsions with or without educational services total	"1,524"	100	36	2.4	"1,488"	97.6	4	0.3	5	0.3	22	1.5	"1,081"	72.6	372	25	0	0	4	0.3	15	1	"1,802"	47	3	6
Expulsions under zero-tolerance policies on males	343	82.7	8	1.9	335	80.7	0	0	DS	0.5	9	2.2	201	49.6	123	30.4	0	0	0	0	4	1	"1,802"	47	3	6
Expulsions under zero-tolerance policies on females	72	17.3	DS	0.5	70	16.9	0	0	0	0	0	0	42	10.4	26	6.4	0	0	DS	0.5	0	0	"1,802"	47	3	6
Expulsions under zero-tolerance policies total	415	100	10	2.4	405	97.6	0	0	DS	0.5	9	2.2	243	60	149	36.8	0	0	DS	0.5	4	1	"1,802"	47	3	6
Referral to law enforcement on males	498	79.8	4	0.6	494	79.2	DS	0.3	0	0	18	2.9	147	23.7	323	52.1	0	0	4	0.6	DS	0.3	"1,802"	47	3	6
Referral to law enforcement on females	126	20.2	0	0	126	20.2	0	0	0	0	4	0.6	37	6	83	13.4	0	0	DS	0.3	0	0	"1,802"	47	3	6
Referral to law enforcement total	624	100	4	0.6	620	99.4	DS	0.3	0	0	22	3.5	184	29.7	406	65.5	0	0	6	1	DS	0.3	"1,802"	47	3	6
School-related arrests on males	225	79.5	0	0	225	79.5	0	0	0	0	13	4.6	80	28.3	130	45.9	0	0	DS	0.7	0	0	"1,802"	47	3	6
School-related arrests on females	58	20.5	0	0	58	20.5	0	0	0	0	DS	0.7	25	8.8	31	11	0	0	0	0	0	0	"1,802"	47	3	6
School-related arrests total	283	100	0	0	283	100	0	0	0	0	15	5.3	105	37.1	161	56.9	0	0	DS	0.7	0	0	"1,802"	47	3	6
